"Year","Geography","Age group","Sex","Economic family type","GeoCode","Value"
2015,"","","","",,14.5
2016,"","","","",,12.9
2017,"","","","",,11.9
2018,"","","","",,11.2
2019,"","","","",,10.5
2020,"","","","",,6.5
2021,"","","","",,7.6
2022,"","","","",,10.3
2023,"","","","",,10.4
2015,"Alberta","Total","Both sexes","Total",48,9.4
2015,"Alberta","Under 18 years","Both sexes","Total",48,12.3
2015,"Alberta","18 to 64 years","Both sexes","Total",48,9.5
2015,"Alberta","65 years and over","Both sexes","Total",48,3.1
2015,"Alberta","Total","Both sexes","Persons in economic families",48,7.5
2015,"Alberta","Under 18 years","Both sexes","Persons in economic families",48,12.2
2015,"Alberta","Under 18 years","Both sexes","Persons in couple families with children",48,9.6
2015,"Alberta","18 to 64 years","Both sexes","Persons in economic families",48,6.5
2015,"Alberta","Total","Both sexes","Persons not in an economic family",48,20.8
2015,"Alberta","65 years and over","Both sexes","Seniors not in an economic family",48,7.4
2015,"Alberta","","Both sexes","Non-seniors not in an economic family",48,24.2
2016,"Alberta","Total","Both sexes","Total",48,10.1
2016,"Alberta","Under 18 years","Both sexes","Total",48,10.8
2016,"Alberta","18 to 64 years","Both sexes","Total",48,10.9
2016,"Alberta","65 years and over","Both sexes","Total",48,4.3
2016,"Alberta","Total","Both sexes","Persons in economic families",48,7.8
2016,"Alberta","Under 18 years","Both sexes","Persons in economic families",48,10.7
2016,"Alberta","Under 18 years","Both sexes","Persons in couple families with children",48,9.8
2016,"Alberta","18 to 64 years","Both sexes","Persons in economic families",48,7.6
2016,"Alberta","Total","Both sexes","Persons not in an economic family",48,23.7
2016,"Alberta","65 years and over","Both sexes","Seniors not in an economic family",48,10.1
2016,"Alberta","","Both sexes","Non-seniors not in an economic family",48,27.7
2017,"Alberta","Total","Both sexes","Total",48,8.5
2017,"Alberta","Under 18 years","Both sexes","Total",48,7.8
2017,"Alberta","18 to 64 years","Both sexes","Total",48,9.8
2017,"Alberta","65 years and over","Both sexes","Total",48,2.9
2017,"Alberta","Total","Both sexes","Persons in economic families",48,6.4
2017,"Alberta","65 years and over","Both sexes","Seniors in economic families",48,1.7
2017,"Alberta","Under 18 years","Both sexes","Persons in economic families",48,7.8
2017,"Alberta","Under 18 years","Both sexes","Persons in couple families with children",48,6.5
2017,"Alberta","18 to 64 years","Both sexes","Persons in economic families",48,6.6
2017,"Alberta","Total","Both sexes","Persons not in an economic family",48,20.8
2017,"Alberta","65 years and over","Both sexes","Seniors not in an economic family",48,5.8
2017,"Alberta","","Both sexes","Non-seniors not in an economic family",48,25.6
2018,"Alberta","Total","Both sexes","Total",48,9.4
2018,"Alberta","Under 18 years","Both sexes","Total",48,9.2
2018,"Alberta","18 to 64 years","Both sexes","Total",48,10.6
2018,"Alberta","65 years and over","Both sexes","Total",48,3.5
2018,"Alberta","Total","Both sexes","Persons in economic families",48,6.7
2018,"Alberta","65 years and over","Both sexes","Seniors in economic families",48,2.7
2018,"Alberta","Under 18 years","Both sexes","Persons in economic families",48,9.2
2018,"Alberta","Under 18 years","Both sexes","Persons in couple families with children",48,7.3
2018,"Alberta","18 to 64 years","Both sexes","Persons in economic families",48,6.3
2018,"Alberta","Total","Both sexes","Persons not in an economic family",48,24.1
2018,"Alberta","65 years and over","Both sexes","Seniors not in an economic family",48,5.5
2018,"Alberta","","Both sexes","Non-seniors not in an economic family",48,29.4
2019,"Alberta","Total","Both sexes","Total",48,8.3
2019,"Alberta","Under 18 years","Both sexes","Total",48,7
2019,"Alberta","18 to 64 years","Both sexes","Total",48,9.7
2019,"Alberta","65 years and over","Both sexes","Total",48,3.7
2019,"Alberta","Total","Both sexes","Persons in economic families",48,5.9
2019,"Alberta","65 years and over","Both sexes","Seniors in economic families",48,2.9
2019,"Alberta","Under 18 years","Both sexes","Persons in economic families",48,6.6
2019,"Alberta","Under 18 years","Both sexes","Persons in couple families with children",48,5.7
2019,"Alberta","18 to 64 years","Both sexes","Persons in economic families",48,6.1
2019,"Alberta","Total","Both sexes","Persons not in an economic family",48,21.5
2019,"Alberta","65 years and over","Both sexes","Seniors not in an economic family",48,5.6
2019,"Alberta","","Both sexes","Non-seniors not in an economic family",48,26.2
2020,"Alberta","Total","Both sexes","Total",48,6
2020,"Alberta","Under 18 years","Both sexes","Total",48,4.6
2020,"Alberta","18 to 64 years","Both sexes","Total",48,7.1
2020,"Alberta","65 years and over","Both sexes","Total",48,3
2020,"Alberta","Total","Both sexes","Persons in economic families",48,3.6
2020,"Alberta","Under 18 years","Both sexes","Persons in economic families",48,4.5
2020,"Alberta","Under 18 years","Both sexes","Persons in couple families with children",48,2.5
2020,"Alberta","18 to 64 years","Both sexes","Persons in economic families",48,3.6
2020,"Alberta","Total","Both sexes","Persons not in an economic family",48,19
2020,"Alberta","65 years and over","Both sexes","Seniors not in an economic family",48,7.6
2020,"Alberta","","Both sexes","Non-seniors not in an economic family",48,23
2021,"Alberta","Total","Both sexes","Total",48,8.5
2021,"Alberta","Under 18 years","Both sexes","Total",48,8.2
2021,"Alberta","18 to 64 years","Both sexes","Total",48,9.2
2021,"Alberta","65 years and over","Both sexes","Total",48,6.2
2021,"Alberta","Total","Both sexes","Persons in economic families",48,5.4
2021,"Alberta","65 years and over","Both sexes","Seniors in economic families",48,2.5
2021,"Alberta","Under 18 years","Both sexes","Persons in economic families",48,8.1
2021,"Alberta","Under 18 years","Both sexes","Persons in couple families with children",48,5.2
2021,"Alberta","18 to 64 years","Both sexes","Persons in economic families",48,4.9
2021,"Alberta","Total","Both sexes","Persons not in an economic family",48,25.2
2021,"Alberta","65 years and over","Both sexes","Seniors not in an economic family",48,16.9
2021,"Alberta","","Both sexes","Non-seniors not in an economic family",48,27.8
2022,"Alberta","Total","Both sexes","Total",48,10.7
2022,"Alberta","Under 18 years","Both sexes","Total",48,12.3
2022,"Alberta","18 to 64 years","Both sexes","Total",48,11.1
2022,"Alberta","65 years and over","Both sexes","Total",48,6.3
2022,"Alberta","Total","Both sexes","Persons in economic families",48,7.8
2022,"Alberta","65 years and over","Both sexes","Seniors in economic families",48,3.2
2022,"Alberta","Under 18 years","Both sexes","Persons in economic families",48,12.2
2022,"Alberta","Under 18 years","Both sexes","Persons in couple families with children",48,8.2
2022,"Alberta","Under 18 years","Both sexes","Persons in all other economic families",48,13.3
2022,"Alberta","18 to 64 years","Both sexes","Persons in economic families",48,6.8
2022,"Alberta","Total","Both sexes","Persons not in an economic family",48,26.3
2022,"Alberta","65 years and over","Both sexes","Seniors not in an economic family",48,15.2
2022,"Alberta","","Both sexes","Non-seniors not in an economic family",48,30
2023,"Alberta","Total","Both sexes","Total",48,10
2023,"Alberta","Under 18 years","Both sexes","Total",48,11.7
2023,"Alberta","18 to 64 years","Both sexes","Total",48,10.5
2023,"Alberta","65 years and over","Both sexes","Total",48,5.2
2023,"Alberta","Total","Both sexes","Persons in economic families",48,7.2
2023,"Alberta","65 years and over","Both sexes","Seniors in economic families",48,1.9
2023,"Alberta","Under 18 years","Both sexes","Persons in economic families",48,11.6
2023,"Alberta","Under 18 years","Both sexes","Persons in couple families with children",48,8.2
2023,"Alberta","Under 18 years","Both sexes","Persons in all other economic families",48,14.8
2023,"Alberta","18 to 64 years","Both sexes","Persons in economic families",48,6.5
2023,"Alberta","Total","Both sexes","Persons not in an economic family",48,25.2
2023,"Alberta","65 years and over","Both sexes","Seniors not in an economic family",48,14.8
2023,"Alberta","","Both sexes","Non-seniors not in an economic family",48,28.6
2015,"Atlantic provinces","Total","Both sexes","Total",,15.7
2015,"Atlantic provinces","Under 18 years","Both sexes","Total",,19
2015,"Atlantic provinces","18 to 64 years","Both sexes","Total",,16.3
2015,"Atlantic provinces","65 years and over","Both sexes","Total",,10.5
2015,"Atlantic provinces","Total","Both sexes","Persons in economic families",,11.3
2015,"Atlantic provinces","65 years and over","Both sexes","Seniors in economic families",,4.7
2015,"Atlantic provinces","Under 18 years","Both sexes","Persons in economic families",,18.9
2015,"Atlantic provinces","Under 18 years","Both sexes","Persons in couple families with children",,12.7
2015,"Atlantic provinces","Under 18 years","Both sexes","Persons in all other economic families",,19.5
2015,"Atlantic provinces","18 to 64 years","Both sexes","Persons in economic families",,10.5
2015,"Atlantic provinces","Total","Both sexes","Persons not in an economic family",,38.3
2015,"Atlantic provinces","65 years and over","Both sexes","Seniors not in an economic family",,26.5
2015,"Atlantic provinces","","Both sexes","Non-seniors not in an economic family",,43.5
2016,"Atlantic provinces","Total","Both sexes","Total",,14.5
2016,"Atlantic provinces","Under 18 years","Both sexes","Total",,17.2
2016,"Atlantic provinces","18 to 64 years","Both sexes","Total",,15.6
2016,"Atlantic provinces","65 years and over","Both sexes","Total",,8.6
2016,"Atlantic provinces","Total","Both sexes","Persons in economic families",,10.5
2016,"Atlantic provinces","65 years and over","Both sexes","Seniors in economic families",,4
2016,"Atlantic provinces","Under 18 years","Both sexes","Persons in economic families",,17.1
2016,"Atlantic provinces","Under 18 years","Both sexes","Persons in couple families with children",,8.5
2016,"Atlantic provinces","Under 18 years","Both sexes","Persons in all other economic families",,19.2
2016,"Atlantic provinces","18 to 64 years","Both sexes","Persons in economic families",,10.1
2016,"Atlantic provinces","Total","Both sexes","Persons not in an economic family",,34.7
2016,"Atlantic provinces","65 years and over","Both sexes","Seniors not in an economic family",,22.1
2016,"Atlantic provinces","","Both sexes","Non-seniors not in an economic family",,40.1
2017,"Atlantic provinces","Total","Both sexes","Total",,13.5
2017,"Atlantic provinces","Under 18 years","Both sexes","Total",,16.5
2017,"Atlantic provinces","18 to 64 years","Both sexes","Total",,14.7
2017,"Atlantic provinces","65 years and over","Both sexes","Total",,7
2017,"Atlantic provinces","Total","Both sexes","Persons in economic families",,9.6
2017,"Atlantic provinces","65 years and over","Both sexes","Seniors in economic families",,3.1
2017,"Atlantic provinces","Under 18 years","Both sexes","Persons in economic families",,16
2017,"Atlantic provinces","Under 18 years","Both sexes","Persons in couple families with children",,9.8
2017,"Atlantic provinces","Under 18 years","Both sexes","Persons in all other economic families",,13.7
2017,"Atlantic provinces","18 to 64 years","Both sexes","Persons in economic families",,9.2
2017,"Atlantic provinces","Total","Both sexes","Persons not in an economic family",,32.9
