"Year","Units","Geography","Economic family type","GeoCode","Value"
"2015","","","",,69300
"2016","","","",,69200
"2017","","","",,70900
"2018","","","",,71200
"2019","","","",,71500
"2020","","","",,76600
"2021","","","",,75900
"2022","","","",,73300
"2023","","","",,74200
"2015","2023 constant dollars","Canada","Economic families",,96000
"2015","2023 constant dollars","Canada","Senior families",,71600
"2015","2023 constant dollars","Canada","Senior couples",,69900
"2015","2023 constant dollars","Canada","Other senior families",,79100
"2015","2023 constant dollars","Canada","Non-senior families",,103000
"2015","2023 constant dollars","Canada","Couples",,92800
"2015","2023 constant dollars","Canada","Couples with children",,117200
"2015","2023 constant dollars","Canada","Couples with other relatives",,142500
"2015","2023 constant dollars","Canada","Lone-parent families",,56300
"2015","2023 constant dollars","Canada","Male lone-parent families",,71600
"2015","2023 constant dollars","Canada","Female lone-parent families",,52900
"2015","2023 constant dollars","Canada","Other non-senior families",,84000
"2015","2023 constant dollars","Canada","Persons not in an economic family",,35100
"2015","2023 constant dollars","Canada","Seniors not in an economic family",,32700
"2015","2023 constant dollars","Canada","Senior males not in an economic family",,33900
"2015","2023 constant dollars","Canada","Senior females not in an economic family",,32000
"2015","2023 constant dollars","Canada","Non-seniors not in an economic family",,36600
"2015","2023 constant dollars","Canada","Non-senior males not in an economic family",,39600
"2015","2023 constant dollars","Canada","Non-senior females not in an economic family",,32500
"2015","2023 constant dollars","Atlantic provinces","Economic families and persons not in an economic family",,62200
"2015","2023 constant dollars","Atlantic provinces","Economic families",,85600
"2015","2023 constant dollars","Atlantic provinces","Senior families",,61000
"2015","2023 constant dollars","Atlantic provinces","Senior couples",,60100
"2015","2023 constant dollars","Atlantic provinces","Other senior families",,64900
"2015","2023 constant dollars","Atlantic provinces","Non-senior families",,94700
"2015","2023 constant dollars","Atlantic provinces","Couples",,84200
"2015","2023 constant dollars","Atlantic provinces","Couples with children",,111900
"2015","2023 constant dollars","Atlantic provinces","Couples with other relatives",,127400
"2015","2023 constant dollars","Atlantic provinces","Lone-parent families",,47700
"2015","2023 constant dollars","Atlantic provinces","Male lone-parent families",,58000
"2015","2023 constant dollars","Atlantic provinces","Female lone-parent families",,46200
"2015","2023 constant dollars","Atlantic provinces","Other non-senior families",,70500
"2015","2023 constant dollars","Atlantic provinces","Persons not in an economic family",,29900
"2015","2023 constant dollars","Atlantic provinces","Seniors not in an economic family",,29100
"2015","2023 constant dollars","Atlantic provinces","Senior males not in an economic family",,32300
"2015","2023 constant dollars","Atlantic provinces","Senior females not in an economic family",,27900
"2015","2023 constant dollars","Atlantic provinces","Non-seniors not in an economic family",,30700
"2015","2023 constant dollars","Atlantic provinces","Non-senior males not in an economic family",,32900
"2015","2023 constant dollars","Atlantic provinces","Non-senior females not in an economic family",,29300
"2015","2023 constant dollars","Newfoundland and Labrador","Economic families and persons not in an economic family",10,66900
"2015","2023 constant dollars","Newfoundland and Labrador","Economic families",10,94500
"2015","2023 constant dollars","Newfoundland and Labrador","Senior families",10,52100
"2015","2023 constant dollars","Newfoundland and Labrador","Senior couples",10,49700
"2015","2023 constant dollars","Newfoundland and Labrador","Other senior families",10,67800
"2015","2023 constant dollars","Newfoundland and Labrador","Non-senior families",10,106600
"2015","2023 constant dollars","Newfoundland and Labrador","Couples",10,88000
"2015","2023 constant dollars","Newfoundland and Labrador","Couples with children",10,120300
"2015","2023 constant dollars","Newfoundland and Labrador","Couples with other relatives",10,156600
"2015","2023 constant dollars","Newfoundland and Labrador","Lone-parent families",10,41600
"2015","2023 constant dollars","Newfoundland and Labrador","Male lone-parent families",10,
"2015","2023 constant dollars","Newfoundland and Labrador","Female lone-parent families",10,36300
"2015","2023 constant dollars","Newfoundland and Labrador","Other non-senior families",10,84900
"2015","2023 constant dollars","Newfoundland and Labrador","Persons not in an economic family",10,28200
"2015","2023 constant dollars","Newfoundland and Labrador","Seniors not in an economic family",10,27300
"2015","2023 constant dollars","Newfoundland and Labrador","Senior males not in an economic family",10,31700
"2015","2023 constant dollars","Newfoundland and Labrador","Senior females not in an economic family",10,25700
"2015","2023 constant dollars","Newfoundland and Labrador","Non-seniors not in an economic family",10,29300
"2015","2023 constant dollars","Newfoundland and Labrador","Non-senior males not in an economic family",10,33000
"2015","2023 constant dollars","Newfoundland and Labrador","Non-senior females not in an economic family",10,26100
"2015","2023 constant dollars","Prince Edward Island","Economic families and persons not in an economic family",11,63800
"2015","2023 constant dollars","Prince Edward Island","Economic families",11,82300
"2015","2023 constant dollars","Prince Edward Island","Senior families",11,66600
"2015","2023 constant dollars","Prince Edward Island","Senior couples",11,66100
"2015","2023 constant dollars","Prince Edward Island","Other senior families",11,69500
"2015","2023 constant dollars","Prince Edward Island","Non-senior families",11,88700
"2015","2023 constant dollars","Prince Edward Island","Couples",11,78000
"2015","2023 constant dollars","Prince Edward Island","Couples with children",11,102300
"2015","2023 constant dollars","Prince Edward Island","Couples with other relatives",11,120300
"2015","2023 constant dollars","Prince Edward Island","Lone-parent families",11,46400
"2015","2023 constant dollars","Prince Edward Island","Male lone-parent families",11,
"2015","2023 constant dollars","Prince Edward Island","Female lone-parent families",11,46400
"2015","2023 constant dollars","Prince Edward Island","Other non-senior families",11,
"2015","2023 constant dollars","Prince Edward Island","Persons not in an economic family",11,31000
"2015","2023 constant dollars","Prince Edward Island","Seniors not in an economic family",11,29700
"2015","2023 constant dollars","Prince Edward Island","Senior males not in an economic family",11,31500
"2015","2023 constant dollars","Prince Edward Island","Senior females not in an economic family",11,28600
"2015","2023 constant dollars","Prince Edward Island","Non-seniors not in an economic family",11,31700
"2015","2023 constant dollars","Prince Edward Island","Non-senior males not in an economic family",11,32800
"2015","2023 constant dollars","Prince Edward Island","Non-senior females not in an economic family",11,28600
"2015","2023 constant dollars","Nova Scotia","Economic families and persons not in an economic family",12,59300
"2015","2023 constant dollars","Nova Scotia","Economic families",12,85300
"2015","2023 constant dollars","Nova Scotia","Senior families",12,63800
"2015","2023 constant dollars","Nova Scotia","Senior couples",12,61600
"2015","2023 constant dollars","Nova Scotia","Other senior families",12,71000
"2015","2023 constant dollars","Nova Scotia","Non-senior families",12,91600
"2015","2023 constant dollars","Nova Scotia","Couples",12,82300
"2015","2023 constant dollars","Nova Scotia","Couples with children",12,110200
"2015","2023 constant dollars","Nova Scotia","Couples with other relatives",12,127400
"2015","2023 constant dollars","Nova Scotia","Lone-parent families",12,47500
"2015","2023 constant dollars","Nova Scotia","Male lone-parent families",12,
"2015","2023 constant dollars","Nova Scotia","Female lone-parent families",12,47500
"2015","2023 constant dollars","Nova Scotia","Other non-senior families",12,74800
"2015","2023 constant dollars","Nova Scotia","Persons not in an economic family",12,30900
"2015","2023 constant dollars","Nova Scotia","Seniors not in an economic family",12,29700
"2015","2023 constant dollars","Nova Scotia","Senior males not in an economic family",12,31900
"2015","2023 constant dollars","Nova Scotia","Senior females not in an economic family",12,29100
"2015","2023 constant dollars","Nova Scotia","Non-seniors not in an economic family",12,32100
"2015","2023 constant dollars","Nova Scotia","Non-senior males not in an economic family",12,33700
"2015","2023 constant dollars","Nova Scotia","Non-senior females not in an economic family",12,29300
"2015","2023 constant dollars","New Brunswick","Economic families and persons not in an economic family",13,62300
"2015","2023 constant dollars","New Brunswick","Economic families",13,82500
"2015","2023 constant dollars","New Brunswick","Senior families",13,62600
"2015","2023 constant dollars","New Brunswick","Senior couples",13,63500
"2015","2023 constant dollars","New Brunswick","Other senior families",13,53300
"2015","2023 constant dollars","New Brunswick","Non-senior families",13,90600
"2015","2023 constant dollars","New Brunswick","Couples",13,83500
"2015","2023 constant dollars","New Brunswick","Couples with children",13,104600
"2015","2023 constant dollars","New Brunswick","Couples with other relatives",13,108500
"2015","2023 constant dollars","New Brunswick","Lone-parent families",13,54500
"2015","2023 constant dollars","New Brunswick","Male lone-parent families",13,
"2015","2023 constant dollars","New Brunswick","Female lone-parent families",13,48600
"2015","2023 constant dollars","New Brunswick","Other non-senior families",13,60900
"2015","2023 constant dollars","New Brunswick","Persons not in an economic family",13,30100
"2015","2023 constant dollars","New Brunswick","Seniors not in an economic family",13,29800
"2015","2023 constant dollars","New Brunswick","Senior males not in an economic family",13,33300
"2015","2023 constant dollars","New Brunswick","Senior females not in an economic family",13,27500
"2015","2023 constant dollars","New Brunswick","Non-seniors not in an economic family",13,30100
"2015","2023 constant dollars","New Brunswick","Non-senior males not in an economic family",13,31100
"2015","2023 constant dollars","New Brunswick","Non-senior females not in an economic family",13,29700
"2015","2023 constant dollars","Quebec","Economic families and persons not in an economic family",24,59900
"2015","2023 constant dollars","Quebec","Economic families",24,85600
"2015","2023 constant dollars","Quebec","Senior families",24,62600
"2015","2023 constant dollars","Quebec","Senior couples",24,61400
"2015","2023 constant dollars","Quebec","Other senior families",24,70000
"2015","2023 constant dollars","Quebec","Non-senior families",24,91800
"2015","2023 constant dollars","Quebec","Couples",24,82200
"2015","2023 constant dollars","Quebec","Couples with children",24,107100
"2015","2023 constant dollars","Quebec","Couples with other relatives",24,118400
"2015","2023 constant dollars","Quebec","Lone-parent families",24,59200
"2015","2023 constant dollars","Quebec","Male lone-parent families",24,76000
"2015","2023 constant dollars","Quebec","Female lone-parent families",24,57200
"2015","2023 constant dollars","Quebec","Other non-senior families",24,80600
"2015","2023 constant dollars","Quebec","Persons not in an economic family",24,33400
"2015","2023 constant dollars","Quebec","Seniors not in an economic family",24,30600
"2015","2023 constant dollars","Quebec","Senior males not in an economic family",24,30600
"2015","2023 constant dollars","Quebec","Senior females not in an economic family",24,30600
"2015","2023 constant dollars","Quebec","Non-seniors not in an economic family",24,35700
"2015","2023 constant dollars","Quebec","Non-senior males not in an economic family",24,37800
"2015","2023 constant dollars","Quebec","Non-senior females not in an economic family",24,32900
"2015","2023 constant dollars","Ontario","Economic families and persons not in an economic family",35,72500
"2015","2023 constant dollars","Ontario","Economic families",35,99900
"2015","2023 constant dollars","Ontario","Senior families",35,79300
"2015","2023 constant dollars","Ontario","Senior couples",35,77500
"2015","2023 constant dollars","Ontario","Other senior families",35,87500
"2015","2023 constant dollars","Ontario","Non-senior families",35,105400
"2015","2023 constant dollars","Ontario","Couples",35,93100
"2015","2023 constant dollars","Ontario","Couples with children",35,119000
"2015","2023 constant dollars","Ontario","Couples with other relatives",35,152200
"2015","2023 constant dollars","Ontario","Lone-parent families",35,54000
"2015","2023 constant dollars","Ontario","Male lone-parent families",35,62300
"2015","2023 constant dollars","Ontario","Female lone-parent families",35,51300
"2015","2023 constant dollars","Ontario","Other non-senior families",35,84000
"2015","2023 constant dollars","Ontario","Persons not in an economic family",35,35800
"2015","2023 constant dollars","Ontario","Seniors not in an economic family",35,36100
"2015","2023 constant dollars","Ontario","Senior males not in an economic family",35,39400
"2015","2023 constant dollars","Ontario","Senior females not in an economic family",35,34100
"2015","2023 constant dollars","Ontario","Non-seniors not in an economic family",35,35700
"2015","2023 constant dollars","Ontario","Non-senior males not in an economic family",35,42700
"2015","2023 constant dollars","Ontario","Non-senior females not in an economic family",35,31200
"2015","2023 constant dollars","Prairie provinces","Economic families and persons not in an economic family",,83100
"2015","2023 constant dollars","Prairie provinces","Economic families",,111300
"2015","2023 constant dollars","Prairie provinces","Senior families",,78600
"2015","2023 constant dollars","Prairie provinces","Senior couples",,76900
"2015","2023 constant dollars","Prairie provinces","Other senior families",,89100
"2015","2023 constant dollars","Prairie provinces","Non-senior families",,118100
"2015","2023 constant dollars","Prairie provinces","Couples",,111000
"2015","2023 constant dollars","Prairie provinces","Couples with children",,125200
"2015","2023 constant dollars","Prairie provinces","Couples with other relatives",,164800
"2015","2023 constant dollars","Prairie provinces","Lone-parent families",,58000
"2015","2023 constant dollars","Prairie provinces","Male lone-parent families",,89000
"2015","2023 constant dollars","Prairie provinces","Female lone-parent families",,52300
"2015","2023 constant dollars","Prairie provinces","Other non-senior families",,101300
"2015","2023 constant dollars","Prairie provinces","Persons not in an economic family",,44400
"2015","2023 constant dollars","Prairie provinces","Seniors not in an economic family",,37200
"2015","2023 constant dollars","Prairie provinces","Senior males not in an economic family",,42300
"2015","2023 constant dollars","Prairie provinces","Senior females not in an economic family",,35700
"2015","2023 constant dollars","Prairie provinces","Non-seniors not in an economic family",,47600
"2015","2023 constant dollars","Prairie provinces","Non-senior males not in an economic family",,51300
"2015","2023 constant dollars","Prairie provinces","Non-senior females not in an economic family",,43000
"2015","2023 constant dollars","Manitoba","Economic families and persons not in an economic family",46,69000
"2015","2023 constant dollars","Manitoba","Economic families",46,91000
"2015","2023 constant dollars","Manitoba","Senior families",46,74900
"2015","2023 constant dollars","Manitoba","Senior couples",46,73400
"2015","2023 constant dollars","Manitoba","Other senior families",46,95000
"2015","2023 constant dollars","Manitoba","Non-senior families",46,95200
"2015","2023 constant dollars","Manitoba","Couples",46,91200
"2015","2023 constant dollars","Manitoba","Couples with children",46,104100
"2015","2023 constant dollars","Manitoba","Couples with other relatives",46,139900
"2015","2023 constant dollars","Manitoba","Lone-parent families",46,47200
"2015","2023 constant dollars","Manitoba","Male lone-parent families",46,
"2015","2023 constant dollars","Manitoba","Female lone-parent families",46,46100
"2015","2023 constant dollars","Manitoba","Other non-senior families",46,77600
"2015","2023 constant dollars","Manitoba","Persons not in an economic family",46,39300
"2015","2023 constant dollars","Manitoba","Seniors not in an economic family",46,34800
"2015","2023 constant dollars","Manitoba","Senior males not in an economic family",46,40600
"2015","2023 constant dollars","Manitoba","Senior females not in an economic family",46,32500
"2015","2023 constant dollars","Manitoba","Non-seniors not in an economic family",46,41100
"2015","2023 constant dollars","Manitoba","Non-senior males not in an economic family",46,43300
"2015","2023 constant dollars","Manitoba","Non-senior females not in an economic family",46,38200
"2015","2023 constant dollars","Saskatchewan","Economic families and persons not in an economic family",47,75700
"2015","2023 constant dollars","Saskatchewan","Economic families",47,104300
"2015","2023 constant dollars","Saskatchewan","Senior families",47,74500
"2015","2023 constant dollars","Saskatchewan","Senior couples",47,73000
"2015","2023 constant dollars","Saskatchewan","Other senior families",47,93700
"2015","2023 constant dollars","Saskatchewan","Non-senior families",47,110600
"2015","2023 constant dollars","Saskatchewan","Couples",47,98200
"2015","2023 constant dollars","Saskatchewan","Couples with children",47,120100
"2015","2023 constant dollars","Saskatchewan","Couples with other relatives",47,152500
"2015","2023 constant dollars","Saskatchewan","Lone-parent families",47,55900
"2015","2023 constant dollars","Saskatchewan","Male lone-parent families",47,
"2015","2023 constant dollars","Saskatchewan","Female lone-parent families",47,53300
"2015","2023 constant dollars","Saskatchewan","Other non-senior families",47,101200
"2015","2023 constant dollars","Saskatchewan","Persons not in an economic family",47,42100
"2015","2023 constant dollars","Saskatchewan","Seniors not in an economic family",47,36600
"2015","2023 constant dollars","Saskatchewan","Senior males not in an economic family",47,41200
"2015","2023 constant dollars","Saskatchewan","Senior females not in an economic family",47,35700
"2015","2023 constant dollars","Saskatchewan","Non-seniors not in an economic family",47,44900
"2015","2023 constant dollars","Saskatchewan","Non-senior males not in an economic family",47,47800
"2015","2023 constant dollars","Saskatchewan","Non-senior females not in an economic family",47,39900
"2015","2023 constant dollars","Alberta","Economic families and persons not in an economic family",48,90900
"2015","2023 constant dollars","Alberta","Economic families",48,119900
"2015","2023 constant dollars","Alberta","Senior families",48,81900
"2015","2023 constant dollars","Alberta","Senior couples",48,79200
"2015","2023 constant dollars","Alberta","Other senior families",48,89100
"2015","2023 constant dollars","Alberta","Non-senior families",48,125500
"2015","2023 constant dollars","Alberta","Couples",48,123600
"2015","2023 constant dollars","Alberta","Couples with children",48,132000
"2015","2023 constant dollars","Alberta","Couples with other relatives",48,170300
"2015","2023 constant dollars","Alberta","Lone-parent families",48,67700
"2015","2023 constant dollars","Alberta","Male lone-parent families",48,93500
"2015","2023 constant dollars","Alberta","Female lone-parent families",48,56800
"2015","2023 constant dollars","Alberta","Other non-senior families",48,105200
"2015","2023 constant dollars","Alberta","Persons not in an economic family",48,47600
"2015","2023 constant dollars","Alberta","Seniors not in an economic family",48,39700
"2015","2023 constant dollars","Alberta","Senior males not in an economic family",48,43400
"2015","2023 constant dollars","Alberta","Senior females not in an economic family",48,36700
"2015","2023 constant dollars","Alberta","Non-seniors not in an economic family",48,51300
