Year,data.Geography,GeoCode,Value
2016,data.Newfoundland and Labrador,10,0.4
2016,data.Prince Edward Island,11,2
2016,data.Nova Scotia,12,2.2
2016,data.New Brunswick,13,2.4
2016,data.Quebec,24,4
2016,data.Ontario,35,4.4
2016,data.Manitoba,46,2.8
2016,data.Saskatchewan,47,2.6
2016,data.Alberta,48,3.3
2016,data.British Columbia,59,4.3
2017,data.Newfoundland and Labrador,10,0.4
2017,data.Prince Edward Island,11,0.7
2017,data.Nova Scotia,12,2.2
2017,data.New Brunswick,13,2.9
2017,data.Quebec,24,5.9
2017,data.Ontario,35,7.3
2017,data.Manitoba,46,2.7
2017,data.Saskatchewan,47,1.8
2017,data.Alberta,48,4.5
2017,data.British Columbia,59,5.2
2018,data.Newfoundland and Labrador,10,0.4
2018,data.Prince Edward Island,11,1.3
2018,data.Nova Scotia,12,3.3
2018,data.New Brunswick,13,1.9
2018,data.Quebec,24,4.5
2018,data.Ontario,35,5.7
2018,data.Manitoba,46,3.1
2018,data.Saskatchewan,47,2.6
2018,data.Alberta,48,5.7
2018,data.British Columbia,59,5.2
2019,data.Newfoundland and Labrador,10,1.1
2019,data.Prince Edward Island,11,4.5
2019,data.Nova Scotia,12,3.3
2019,data.New Brunswick,13,4.2
2019,data.Quebec,24,4.8
2019,data.Ontario,35,5.9
2019,data.Manitoba,46,4.1
2019,data.Saskatchewan,47,2.8
2019,data.Alberta,48,4.7
2019,data.British Columbia,59,6.1
2020,data.Newfoundland and Labrador,10,1.7
2021,data.Newfoundland and Labrador,10,2.3
2020,data.Prince Edward Island,11,5
2021,data.Prince Edward Island,11,11.6
2020,data.Nova Scotia,12,5.9
2021,data.Nova Scotia,12,7.3
2020,data.New Brunswick,13,2.4
2021,data.New Brunswick,13,4.9
2020,data.Quebec,24,5.3
2021,data.Quebec,24,5.7
2020,data.Ontario,35,7.9
2021,data.Ontario,35,11
2020,data.Manitoba,46,4.2
2021,data.Manitoba,46,5.4
2020,data.Saskatchewan,47,4.4
2021,data.Saskatchewan,47,4.9
2020,data.Alberta,48,6.6
2021,data.Alberta,48,7.6
2020,data.British Columbia,59,10.1
2021,data.British Columbia,59,11.5
2015,,NA,3.8
2015,data.Total Non-Census metropolitan area,NA,2.1
2015,data.Total Census metropolitan area,NA,4.5
2015,"data.Abbotsford–Mission, British Columbia",NA,3.8
2015,"data.Barrie, Ontario",NA,0
2015,"data.Brantford, Ontario",NA,3.6
2015,"data.Calgary, Alberta",NA,4.7
2015,"data.Edmonton, Alberta",NA,6
2015,"data.Gatineau, Quebec",NA,2.4
2015,"data.Greater Sudbury, Ontario",NA,0.6
2015,"data.Guelph, Ontario",NA,0
2015,"data.Halifax, Nova Scotia",NA,1.9
2015,"data.Hamilton, Ontario",NA,9.9
2015,"data.Kelowna, British Columbia",NA,1.5
2015,"data.Kingston, Ontario",NA,4.8
2015,"data.Kitchener–Cambridge–Waterloo, Ontario",NA,9.4
2015,"data.London, Ontario",NA,3.9
2015,"data.Moncton, New Brunswick",NA,1.3
2015,"data.Montréal, Quebec",NA,4.2
2015,"data.Ottawa, Ontario",NA,7.3
2015,"data.Peterborough, Ontario",NA,7.4
2015,"data.Québec, Quebec",NA,3.5
2015,"data.Regina, Saskatchewan",NA,0.4
2015,"data.Saguenay, Quebec",NA,3
2015,"data.Saint John, New Brunswick",NA,2.4
2015,"data.Saskatoon, Saskatchewan",NA,2.3
2015,"data.Sherbrooke, Quebec",NA,4
2015,"data.St. Catharines–Niagara, Ontario",NA,2
2015,"data.St. John's, Newfoundland and Labrador",NA,0.5
2015,"data.Thunder Bay, Ontario",NA,22.3
2015,"data.Toronto, Ontario",NA,5.4
2015,"data.Trois-Rivières, Quebec",NA,1.3
2015,"data.Vancouver, British Columbia",NA,4.6
2015,"data.Victoria, British Columbia",NA,1.9
2015,"data.Windsor, Ontario",NA,1.3
2015,"data.Winnipeg, Manitoba",NA,3.1
2016,,NA,3.9
2016,data.Total Non-Census metropolitan area,NA,2.3
2016,data.Total Census metropolitan area,NA,4.6
2016,"data.Abbotsford–Mission, British Columbia",NA,3.8
