"Year","data.Geography","data.Economic family type","GeoCode","Value"
"2015","","",,66700
"2016","","",,66600
"2017","","",,68300
"2018","","",,68500
"2019","","",,68800
"2020","","",,73700
"2021","","",,73000
"2022","","",,70500
"2015","data.Canada","data.Economic families",,92400
"2015","data.Canada","data.Elderly families",,68900
"2015","data.Canada","data.Elderly couples",,67200
"2015","data.Canada","data.Other elderly families",,76200
"2015","data.Canada","data.Non-elderly families",,99100
"2015","data.Canada","data.Couples",,89400
"2015","data.Canada","data.Couples with children",,112800
"2015","data.Canada","data.Couples with other relatives",,137100
"2015","data.Canada","data.Lone-parent families",,54200
"2015","data.Canada","data.Male lone-parent families",,68900
"2015","data.Canada","data.Female lone-parent families",,50900
"2015","data.Canada","data.Other non-elderly families",,80800
"2015","data.Canada","data.Persons not in an economic family",,33800
"2015","data.Canada","data.Elderly persons not in an economic family",,31500
"2015","data.Canada","data.Elderly males not in an economic family",,32600
"2015","data.Canada","data.Elderly females not in an economic family",,30800
"2015","data.Canada","data.Non-elderly persons not in an economic family",,35200
"2015","data.Canada","data.Non-elderly males not in an economic family",,38100
"2015","data.Canada","data.Non-elderly females not in an economic family",,31300
"2015","data.Atlantic provinces","data.Economic families and persons not in an economic family",,59900
"2015","data.Atlantic provinces","data.Economic families",,82300
"2015","data.Atlantic provinces","data.Elderly families",,58700
"2015","data.Atlantic provinces","data.Elderly couples",,57900
"2015","data.Atlantic provinces","data.Other elderly families",,62500
"2015","data.Atlantic provinces","data.Non-elderly families",,91200
"2015","data.Atlantic provinces","data.Couples",,81000
"2015","data.Atlantic provinces","data.Couples with children",,107700
"2015","data.Atlantic provinces","data.Couples with other relatives",,122600
"2015","data.Atlantic provinces","data.Lone-parent families",,45900
"2015","data.Atlantic provinces","data.Male lone-parent families",,55800
"2015","data.Atlantic provinces","data.Female lone-parent families",,44500
"2015","data.Atlantic provinces","data.Other non-elderly families",,67800
"2015","data.Atlantic provinces","data.Persons not in an economic family",,28800
"2015","data.Atlantic provinces","data.Elderly persons not in an economic family",,28000
"2015","data.Atlantic provinces","data.Elderly males not in an economic family",,31100
"2015","data.Atlantic provinces","data.Elderly females not in an economic family",,26900
"2015","data.Atlantic provinces","data.Non-elderly persons not in an economic family",,29500
"2015","data.Atlantic provinces","data.Non-elderly males not in an economic family",,31600
"2015","data.Atlantic provinces","data.Non-elderly females not in an economic family",,28200
"2015","data.Newfoundland and Labrador","data.Economic families and persons not in an economic family",10,64400
"2015","data.Newfoundland and Labrador","data.Economic families",10,91000
"2015","data.Newfoundland and Labrador","data.Elderly families",10,50100
"2015","data.Newfoundland and Labrador","data.Elderly couples",10,47800
"2015","data.Newfoundland and Labrador","data.Other elderly families",10,65300
"2015","data.Newfoundland and Labrador","data.Non-elderly families",10,102600
"2015","data.Newfoundland and Labrador","data.Couples",10,84700
"2015","data.Newfoundland and Labrador","data.Couples with children",10,115800
"2015","data.Newfoundland and Labrador","data.Couples with other relatives",10,150700
"2015","data.Newfoundland and Labrador","data.Lone-parent families",10,40000
"2015","data.Newfoundland and Labrador","data.Male lone-parent families",10,
"2015","data.Newfoundland and Labrador","data.Female lone-parent families",10,34900
"2015","data.Newfoundland and Labrador","data.Other non-elderly families",10,81800
"2015","data.Newfoundland and Labrador","data.Persons not in an economic family",10,27200
"2015","data.Newfoundland and Labrador","data.Elderly persons not in an economic family",10,26300
"2015","data.Newfoundland and Labrador","data.Elderly males not in an economic family",10,30500
"2015","data.Newfoundland and Labrador","data.Elderly females not in an economic family",10,24700
"2015","data.Newfoundland and Labrador","data.Non-elderly persons not in an economic family",10,28200
"2015","data.Newfoundland and Labrador","data.Non-elderly males not in an economic family",10,31800
"2015","data.Newfoundland and Labrador","data.Non-elderly females not in an economic family",10,25100
"2015","data.Prince Edward Island","data.Economic families and persons not in an economic family",11,61400
"2015","data.Prince Edward Island","data.Economic families",11,79200
"2015","data.Prince Edward Island","data.Elderly families",11,64100
"2015","data.Prince Edward Island","data.Elderly couples",11,63600
"2015","data.Prince Edward Island","data.Other elderly families",11,66900
"2015","data.Prince Edward Island","data.Non-elderly families",11,85300
"2015","data.Prince Edward Island","data.Couples",11,75100
"2015","data.Prince Edward Island","data.Couples with children",11,98400
"2015","data.Prince Edward Island","data.Couples with other relatives",11,115800
"2015","data.Prince Edward Island","data.Lone-parent families",11,44700
"2015","data.Prince Edward Island","data.Male lone-parent families",11,
"2015","data.Prince Edward Island","data.Female lone-parent families",11,44700
"2015","data.Prince Edward Island","data.Other non-elderly families",11,
"2015","data.Prince Edward Island","data.Persons not in an economic family",11,29900
"2015","data.Prince Edward Island","data.Elderly persons not in an economic family",11,28600
"2015","data.Prince Edward Island","data.Elderly males not in an economic family",11,30400
"2015","data.Prince Edward Island","data.Elderly females not in an economic family",11,27500
"2015","data.Prince Edward Island","data.Non-elderly persons not in an economic family",11,30500
"2015","data.Prince Edward Island","data.Non-elderly males not in an economic family",11,31600
"2015","data.Prince Edward Island","data.Non-elderly females not in an economic family",11,27500
"2015","data.Nova Scotia","data.Economic families and persons not in an economic family",12,57000
"2015","data.Nova Scotia","data.Economic families",12,82100
"2015","data.Nova Scotia","data.Elderly families",12,61400
"2015","data.Nova Scotia","data.Elderly couples",12,59300
"2015","data.Nova Scotia","data.Other elderly families",12,68400
"2015","data.Nova Scotia","data.Non-elderly families",12,88100
"2015","data.Nova Scotia","data.Couples",12,79200
"2015","data.Nova Scotia","data.Couples with children",12,106000
"2015","data.Nova Scotia","data.Couples with other relatives",12,122600
"2015","data.Nova Scotia","data.Lone-parent families",12,45700
"2015","data.Nova Scotia","data.Male lone-parent families",12,
"2015","data.Nova Scotia","data.Female lone-parent families",12,45700
"2015","data.Nova Scotia","data.Other non-elderly families",12,72000
"2015","data.Nova Scotia","data.Persons not in an economic family",12,29700
"2015","data.Nova Scotia","data.Elderly persons not in an economic family",12,28500
"2015","data.Nova Scotia","data.Elderly males not in an economic family",12,30700
"2015","data.Nova Scotia","data.Elderly females not in an economic family",12,28000
"2015","data.Nova Scotia","data.Non-elderly persons not in an economic family",12,30900
"2015","data.Nova Scotia","data.Non-elderly males not in an economic family",12,32400
"2015","data.Nova Scotia","data.Non-elderly females not in an economic family",12,28200
"2015","data.New Brunswick","data.Economic families and persons not in an economic family",13,60000
"2015","data.New Brunswick","data.Economic families",13,79400
"2015","data.New Brunswick","data.Elderly families",13,60200
"2015","data.New Brunswick","data.Elderly couples",13,61200
"2015","data.New Brunswick","data.Other elderly families",13,51300
"2015","data.New Brunswick","data.Non-elderly families",13,87200
"2015","data.New Brunswick","data.Couples",13,80400
"2015","data.New Brunswick","data.Couples with children",13,100700
"2015","data.New Brunswick","data.Couples with other relatives",13,104400
"2015","data.New Brunswick","data.Lone-parent families",13,52500
"2015","data.New Brunswick","data.Male lone-parent families",13,
"2015","data.New Brunswick","data.Female lone-parent families",13,46700
"2015","data.New Brunswick","data.Other non-elderly families",13,58600
"2015","data.New Brunswick","data.Persons not in an economic family",13,29000
"2015","data.New Brunswick","data.Elderly persons not in an economic family",13,28600
"2015","data.New Brunswick","data.Elderly males not in an economic family",13,32000
