"Year","Geography","Industries","Environmental management practices","GeoCode","Value","Environmental protection activities"
"2018",,,,,90.3,"Total, environmental protection activities"
"2019",,,,,86.6,"Total, environmental protection activities"
"2020",,,,,86.3,"Total, environmental protection activities"
"2021",,,,,86.4,"Total, environmental protection activities"
"2022",,,,,86.6,"Total, environmental protection activities"
"2023",,,,,86.4,"Total, environmental protection activities"
"2018",,,"Reported using one or more environmental management practices",,40.7,
"2019",,,"Reported using one or more environmental management practices",,35.2,
"2020",,,"Reported using one or more environmental management practices",,34.9,
"2021",,,"Reported using one or more environmental management practices",,40.4,
"2022",,,"Reported using one or more environmental management practices",,36.3,
"2023",,,"Reported using one or more environmental management practices",,36.5,
"2018","Canada","Total, industries","Environmental management system",,22.3,
"2018","Canada","Total, industries","Pollution prevention plan",,19.9,
"2018","Canada","Total, industries","Life cycle management",,7.5,
"2018","Canada","Total, industries","ISO 14000 family certification",,7.3,
"2018","Canada","Total, industries","Environmental voluntary agreements or programs",,6.5,
"2018","Canada","Total, industries","Green procurements policy or guidelines",,10,
"2018","Canada","Total, industries","Environmental supply chain management policy",,7.6,
"2018","Canada","Total, industries","New or improved environmental supply chain management policy",,3.8,
"2018","Canada","Total, industries","Environmental incentive programs, grants, loans, or tax credits",,7.1,
"2018","Canada","Total, industries","Greenhouse gas emission inventory",,13.1,
"2018","Canada","Total, industries","Purchased carbon offset credits only or purchased more than sold",,0.9,
"2018","Canada","Total, industries","Sold carbon offset credits only or sold more than purchased",,0.9,
"2018","Canada","Total, industries","Other environmental management practices",,6.2,
"2018","Canada","Logging (except contract)","Reported using one or more environmental management practices",,33.6,
"2018","Canada","Logging (except contract)","Environmental management system",,20,
"2018","Canada","Logging (except contract)","Pollution prevention plan",,20.8,
"2018","Canada","Logging (except contract)","Life cycle management",,1.7,
"2018","Canada","Logging (except contract)","ISO 14000 family certification",,2.9,
"2018","Canada","Logging (except contract)","Environmental voluntary agreements or programs",,6.5,
"2018","Canada","Logging (except contract)","Green procurements policy or guidelines",,2.4,
"2018","Canada","Logging (except contract)","Environmental supply chain management policy",,2.9,
"2018","Canada","Logging (except contract)","New or improved environmental supply chain management policy",,1,
"2018","Canada","Logging (except contract)","Environmental incentive programs, grants, loans, or tax credits",,1.4,
"2018","Canada","Logging (except contract)","Greenhouse gas emission inventory",,0.6,
