"Year","Geography","Source","GeoCode","Value"
1990,"","",,607.907
1991,"","",,603.23
1992,"","",,621.376
1993,"","",,626.533
1994,"","",,648.617
1995,"","",,666.95
1996,"","",,688.359
1997,"","",,704.827
1998,"","",,711.291
1999,"","",,721.214
2000,"","",,748.696
2001,"","",,741.534
2002,"","",,748.752
2003,"","",,767.211
2004,"","",,767.348
2005,"","",,763.017
2006,"","",,759.131
2007,"","",,778.556
2008,"","",,761.206
2009,"","",,717.107
2010,"","",,732.333
2011,"","",,740.2
2012,"","",,744.212
2013,"","",,751.357
2014,"","",,748.409
2015,"","",,743.371
2016,"","",,726.808
2017,"","",,738.815
2018,"","",,749.308
2019,"","",,748.008
2020,"","",,680.926
2021,"","",,691.322
2022,"","",,695.853
2023,"","",,686.881
2024,"","",,684.704
1990,"Alberta","Provincial Inventory Total",48,176.606
1990,"Alberta","Oil and Gas",48,72.556
1990,"Alberta","Transport",48,15.292
1990,"Alberta","Heavy Industry",48,12.792
1990,"Alberta","Light Manufacturing, Construction and Forest Resources",48,6.268
1990,"Alberta","Buildings",48,12.194
1990,"Alberta","Waste",48,2.146
1990,"Alberta","Agriculture",48,14.7
1990,"British Columbia","Provincial Inventory Total",59,50.721
1990,"British Columbia","Oil and Gas",59,7.954
1990,"British Columbia","Transport",59,15.174
1990,"British Columbia","Heavy Industry",59,8.904
1990,"British Columbia","Light Manufacturing, Construction and Forest Resources",59,3.327
1990,"British Columbia","Buildings",59,7.55
1990,"British Columbia","Waste",59,2.654
1990,"British Columbia","Agriculture",59,2.476
1990,"Canada","Oil and Gas",,118.231
1990,"Canada","Transport",,117.749
1990,"Canada","Heavy Industry",,97.624
1990,"Canada","Light Manufacturing, Construction and Forest Resources",,31.456
1990,"Canada","Buildings",,71.574
1990,"Canada","Waste",,21.288
1990,"Canada","Agriculture",,50.958
1990,"Manitoba","Provincial Inventory Total",46,18.349
1990,"Manitoba","Oil and Gas",46,1.562
1990,"Manitoba","Transport",46,4.959
1990,"Manitoba","Heavy Industry",46,1.452
1990,"Manitoba","Light Manufacturing, Construction and Forest Resources",46,0.772
1990,"Manitoba","Buildings",46,3.109
1990,"Manitoba","Waste",46,0.891
1990,"Manitoba","Agriculture",46,5.08
1990,"New Brunswick","Provincial Inventory Total",13,16.17
1990,"New Brunswick","Oil and Gas",13,1.28
1990,"New Brunswick","Transport",13,3.498
1990,"New Brunswick","Heavy Industry",13,1.812
1990,"New Brunswick","Light Manufacturing, Construction and Forest Resources",13,0.632
