Year,data.Geography,Value
1990,data.Canada,5.8
1991,data.Canada,5.8
1992,data.Canada,5.9
1993,data.Canada,6.1
1994,data.Canada,6.1
1995,data.Canada,6.4
1996,data.Canada,6.6
1997,data.Canada,6.8
1998,data.Canada,7.1
1999,data.Canada,7.3
2000,data.Canada,7.4
2001,data.Canada,7.7
2002,data.Canada,7.7
2003,data.Canada,8.4
2004,data.Canada,8.4
2005,data.Canada,8.7
2006,data.Canada,8.7
2007,data.Canada,9
2008,data.Canada,9.6
2009,data.Canada,9.8
2010,data.Canada,9.9
2011,data.Canada,10.2
2012,data.Canada,10.3
2013,data.Canada,11
2014,data.Canada,11
2015,data.Canada,11.2
2016,data.Canada,11.3
2017,data.Canada,11.3
2018,data.Canada,11.7
2019,data.Canada,12.1
