Year,Value
1990,53.71652715
1991,53.70819837
1992,53.69971534
1993,53.6920035
1994,53.68012726
1995,53.67411202
1996,53.66871373
1997,53.66300697
1998,53.65730021
1999,53.6509765
2000,53.6438816
2001,53.63786637
2002,53.63185113
2003,53.62383081
2004,53.61642745
2005,53.60902408
2006,53.60208342
2007,53.59051566
2008,53.58311229
2009,53.57601739
2010,53.56938521
2011,53.5630615
2012,53.55704626
2013,53.55118526
2014,53.54439884
2015,53.53761242
2016,53.53144295
2017,53.52558195
2018,53.52002942
2019,53.51478537
