Year,Units,data.Geography,data.Offences,data.Age of accused,data.Sex of accused,GeoCode,Value
2014/2015,data.Adult criminal courts,,,,,,123
2015/2016,data.Adult criminal courts,,,,,,126
2016/2017,data.Adult criminal courts,,,,,,136
2017/2018,data.Adult criminal courts,,,,,,137
2018/2019,data.Adult criminal courts,,,,,,141
2019/2020,data.Adult criminal courts,,,,,,141
2020/2021,data.Adult criminal courts,,,,,,187
2021/2022,data.Adult criminal courts,,,,,,199
2014/2015,data.Youth courts,,,,,,120
2015/2016,data.Youth courts,,,,,,125
2016/2017,data.Youth courts,,,,,,135
2017/2018,data.Youth courts,,,,,,141
2018/2019,data.Youth courts,,,,,,155
2019/2020,data.Youth courts,,,,,,162
2020/2021,data.Youth courts,,,,,,236
2021/2022,data.Youth courts,,,,,,227
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,"data.Total, age of accused",data.Males,,123
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,"data.Total, age of accused",data.Females,,113
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,"data.Total, age of accused",data.Company,,215
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,"data.Total, age of accused",data.Sex unknown,,148
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.18 to 24 years,"data.Total, sex of accused",,129
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.18 to 24 years,data.Males,,131
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.18 to 24 years,data.Females,,114
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.18 to 24 years,data.Sex unknown,,151
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.25 to 34 years,"data.Total, sex of accused",,121
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.25 to 34 years,data.Males,,121
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.25 to 34 years,data.Females,,113
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.25 to 34 years,data.Sex unknown,,147
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.35 to 44 years,"data.Total, sex of accused",,123
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.35 to 44 years,data.Males,,123
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.35 to 44 years,data.Females,,116
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.35 to 44 years,data.Sex unknown,,148
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.45 to 54 years,"data.Total, sex of accused",,120
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.45 to 54 years,data.Males,,121
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.45 to 54 years,data.Females,,107
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.45 to 54 years,data.Sex unknown,,146
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.55 years and over,"data.Total, sex of accused",,107
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.55 years and over,data.Males,,110
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.55 years and over,data.Females,,90
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.55 years and over,data.Sex unknown,,138
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.Other ages,"data.Total, sex of accused",,130
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.Other ages,data.Males,,125
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.Other ages,data.Females,,72
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.Other ages,data.Sex unknown,,166
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.Age not applicable,"data.Total, sex of accused",,215
2014/2015,data.Adult criminal courts,data.Canada,data.Total offences,data.Age not applicable,data.Company,,215
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,"data.Total, age of accused","data.Total, sex of accused",,122
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,"data.Total, age of accused",data.Males,,123
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,"data.Total, age of accused",data.Females,,107
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,"data.Total, age of accused",data.Company,,171
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,"data.Total, age of accused",data.Sex unknown,,149
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.18 to 24 years,"data.Total, sex of accused",,128
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.18 to 24 years,data.Males,,131
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.18 to 24 years,data.Females,,113
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.18 to 24 years,data.Sex unknown,,153
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.25 to 34 years,"data.Total, sex of accused",,120
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.25 to 34 years,data.Males,,120
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.25 to 34 years,data.Females,,109
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.25 to 34 years,data.Sex unknown,,144
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.35 to 44 years,"data.Total, sex of accused",,121
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.35 to 44 years,data.Males,,122
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.35 to 44 years,data.Females,,113
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.35 to 44 years,data.Sex unknown,,149
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.45 to 54 years,"data.Total, sex of accused",,120
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.45 to 54 years,data.Males,,123
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.45 to 54 years,data.Females,,105
