Year,data.Index,Value
1986,data.Biodiversity,
1991,data.Biodiversity,
1996,data.Biodiversity,
2001,data.Biodiversity,51
2006,data.Biodiversity,54
2011,data.Biodiversity,55
1981,data.Soil Quality,64
1986,data.Soil Quality,65
1991,data.Soil Quality,66
1996,data.Soil Quality,70
2001,data.Soil Quality,75
2006,data.Soil Quality,78
2011,data.Soil Quality,78
1981,data.Water Quality,82
1986,data.Water Quality,79
1991,data.Water Quality,79
1996,data.Water Quality,76
2001,data.Water Quality,74
2006,data.Water Quality,75
2011,data.Water Quality,75
1981,data.Air Quality,51
1986,data.Air Quality,52
1991,data.Air Quality,54
1996,data.Air Quality,54
2001,data.Air Quality,55
2006,data.Air Quality,60
2011,data.Air Quality,63
2016,data.Soil Quality,77
2016,data.Water Quality,77
2016,data.Air Quality,63
2016,data.Biodiversity,54
