"Year","Geography","Type of event","Sex","GeoCode","Value"
"2016","","",,,7.8
"2017","","",,,10.7
"2018","","",,,11.4
"2019","","",,,9.9
"2020","","",,,16.9
"2021","","",,,20.6
"2022","","",,,19.4
"2023","","",,,20.8
"2016","British Columbia","Total apparent opioid toxicity deaths",,59,16.6
"2017","British Columbia","Total apparent opioid toxicity deaths",,59,26.3
"2018","British Columbia","Total apparent opioid toxicity deaths",,59,27.4
"2019","British Columbia","Total apparent opioid toxicity deaths",,59,20.1
"2020","British Columbia","Total apparent opioid toxicity deaths",,59,34.7
"2021","British Columbia","Total apparent opioid toxicity deaths",,59,44.7
"2022","British Columbia","Total apparent opioid toxicity deaths",,59,45
"2023","British Columbia","Total apparent opioid toxicity deaths",,59,46.6
"2016","Alberta","Total apparent opioid toxicity deaths",,48,14.3
"2017","Alberta","Total apparent opioid toxicity deaths",,48,17.6
"2018","Alberta","Total apparent opioid toxicity deaths",,48,18.8
"2019","Alberta","Total apparent opioid toxicity deaths",,48,14.4
"2020","Alberta","Total apparent opioid toxicity deaths",,48,27
"2021","Alberta","Total apparent opioid toxicity deaths",,48,37
"2022","Alberta","Total apparent opioid toxicity deaths",,48,33.9
"2023","Alberta","Total apparent opioid toxicity deaths",,48,39.4
"2016","Saskatchewan","Total apparent opioid toxicity deaths",,47,7.3
"2017","Saskatchewan","Total apparent opioid toxicity deaths",,47,7.4
"2018","Saskatchewan","Total apparent opioid toxicity deaths",,47,10
"2019","Saskatchewan","Total apparent opioid toxicity deaths",,47,9.9
"2020","Saskatchewan","Total apparent opioid toxicity deaths",,47,21.4
"2021","Saskatchewan","Total apparent opioid toxicity deaths",,47,28
"2022","Saskatchewan","Total apparent opioid toxicity deaths",,47,24.8
"2023","Saskatchewan","Total apparent opioid toxicity deaths",,47,24
"2016","Manitoba","Total apparent opioid toxicity deaths",,46,6.7
"2017","Manitoba","Total apparent opioid toxicity deaths",,46,7.9
"2018","Manitoba","Total apparent opioid toxicity deaths",,46,6.9
"2019","Manitoba","Total apparent opioid toxicity deaths",,46,4.5
"2020","Manitoba","Total apparent opioid toxicity deaths",,46,18.8
"2021","Manitoba","Total apparent opioid toxicity deaths",,46,19.4
"2022","Manitoba","Total apparent opioid toxicity deaths",,46,3.7
"2016","Ontario","Total apparent opioid toxicity deaths",,35,6.2
"2017","Ontario","Total apparent opioid toxicity deaths",,35,9
"2018","Ontario","Total apparent opioid toxicity deaths",,35,10.5
"2019","Ontario","Total apparent opioid toxicity deaths",,35,10.7
"2020","Ontario","Total apparent opioid toxicity deaths",,35,16.7
"2021","Ontario","Total apparent opioid toxicity deaths",,35,19.3
"2022","Ontario","Total apparent opioid toxicity deaths",,35,16.7
"2023","Ontario","Total apparent opioid toxicity deaths",,35,16.6
"2016","Quebec","Total apparent opioid toxicity deaths",,24,3.2
"2017","Quebec","Total apparent opioid toxicity deaths",,24,3.4
"2018","Quebec","Total apparent opioid toxicity deaths",,24,2.5
"2019","Quebec","Total apparent opioid toxicity deaths",,24,2.5
"2020","Quebec","Total apparent opioid toxicity deaths",,24,3.7
"2021","Quebec","Total apparent opioid toxicity deaths",,24,3.4
"2022","Quebec","Total apparent opioid toxicity deaths",,24,6.2
"2023","Quebec","Total apparent opioid toxicity deaths",,24,6
"2016","New Brunswick","Total apparent opioid toxicity deaths",,13,4.5
"2017","New Brunswick","Total apparent opioid toxicity deaths",,13,5
"2018","New Brunswick","Total apparent opioid toxicity deaths",,13,3.9
"2019","New Brunswick","Total apparent opioid toxicity deaths",,13,4.5
"2020","New Brunswick","Total apparent opioid toxicity deaths",,13,5.7
"2021","New Brunswick","Total apparent opioid toxicity deaths",,13,5.9
"2022","New Brunswick","Total apparent opioid toxicity deaths",,13,9.5
"2023","New Brunswick","Total apparent opioid toxicity deaths",,13,8.6
"2016","Nova Scotia","Total apparent opioid toxicity deaths",,12,5.6
"2017","Nova Scotia","Total apparent opioid toxicity deaths",,12,6.7
"2018","Nova Scotia","Total apparent opioid toxicity deaths",,12,5.7
"2019","Nova Scotia","Total apparent opioid toxicity deaths",,12,5.7
"2020","Nova Scotia","Total apparent opioid toxicity deaths",,12,5
"2021","Nova Scotia","Total apparent opioid toxicity deaths",,12,4
"2022","Nova Scotia","Total apparent opioid toxicity deaths",,12,6.1
"2023","Nova Scotia","Total apparent opioid toxicity deaths",,12,7
"2016","Prince Edward Island","Total apparent opioid toxicity deaths",,11,3.4
"2017","Prince Edward Island","Total apparent opioid toxicity deaths",,11,3.3
"2018","Prince Edward Island","Total apparent opioid toxicity deaths",,11,5.3
"2019","Prince Edward Island","Total apparent opioid toxicity deaths",,11,3.2
"2020","Prince Edward Island","Total apparent opioid toxicity deaths",,11,5
"2021","Prince Edward Island","Total apparent opioid toxicity deaths",,11,7.4
"2022","Prince Edward Island","Total apparent opioid toxicity deaths",,11,3.6
"2023","Prince Edward Island","Total apparent opioid toxicity deaths",,11,4
"2016","Newfoundland and Labrador","Total apparent opioid toxicity deaths",,10,3.4
"2017","Newfoundland and Labrador","Total apparent opioid toxicity deaths",,10,6.2
"2018","Newfoundland and Labrador","Total apparent opioid toxicity deaths",,10,2.3
"2019","Newfoundland and Labrador","Total apparent opioid toxicity deaths",,10,3.4
"2020","Newfoundland and Labrador","Total apparent opioid toxicity deaths",,10,4.6
"2021","Newfoundland and Labrador","Total apparent opioid toxicity deaths",,10,5.1
"2022","Newfoundland and Labrador","Total apparent opioid toxicity deaths",,10,5.6
"2023","Newfoundland and Labrador","Total apparent opioid toxicity deaths",,10,6.7
"2016","Yukon","Total apparent opioid toxicity deaths",,60,18.2
"2017","Yukon","Total apparent opioid toxicity deaths",,60,17.7
"2018","Yukon","Total apparent opioid toxicity deaths",,60,12.4
"2019","Yukon","Total apparent opioid toxicity deaths",,60,9.7
"2020","Yukon","Total apparent opioid toxicity deaths",,60,23.8
"2021","Yukon","Total apparent opioid toxicity deaths",,60,53.5
"2022","Yukon","Total apparent opioid toxicity deaths",,60,43.3
"2023","Yukon","Total apparent opioid toxicity deaths",,60,37.8
"2016","Northwest Territories","Total apparent opioid toxicity deaths",,61,11.2
"2017","Northwest Territories","Total apparent opioid toxicity deaths",,61,2.2
"2018","Northwest Territories","Total apparent opioid toxicity deaths",,61,4.5
"2019","Northwest Territories","Total apparent opioid toxicity deaths",,61,2.3
"2020","Northwest Territories","Total apparent opioid toxicity deaths",,61,6.7
"2021","Northwest Territories","Total apparent opioid toxicity deaths",,61,9
"2022","Northwest Territories","Total apparent opioid toxicity deaths",,61,15.7
"2023","Northwest Territories","Total apparent opioid toxicity deaths",,61,4.4
"2016","Nunavut","Total apparent opioid toxicity deaths",,62,0
"2017","Nunavut","Total apparent opioid toxicity deaths",,62,0
"2018","Nunavut","Total apparent opioid toxicity deaths",,62,0
"2023","Nunavut","Total apparent opioid toxicity deaths",,62,0
"2016","Canada","Accidental apparent opioid toxicity deaths",,,6.8
"2017","Canada","Accidental apparent opioid toxicity deaths",,,9.7
"2018","Canada","Accidental apparent opioid toxicity deaths",,,10.6
"2019","Canada","Accidental apparent opioid toxicity deaths",,,9.2
"2020","Canada","Accidental apparent opioid toxicity deaths",,,16
"2021","Canada","Accidental apparent opioid toxicity deaths",,,19.8
"2022","Canada","Accidental apparent opioid toxicity deaths",,,18.7
"2023","Canada","Accidental apparent opioid toxicity deaths",,,20.4
"2016","British Columbia","Accidental apparent opioid toxicity deaths",,59,16.3
"2017","British Columbia","Accidental apparent opioid toxicity deaths",,59,25.9
"2018","British Columbia","Accidental apparent opioid toxicity deaths",,59,27.1
"2019","British Columbia","Accidental apparent opioid toxicity deaths",,59,19.2
"2020","British Columbia","Accidental apparent opioid toxicity deaths",,59,34.1
"2021","British Columbia","Accidental apparent opioid toxicity deaths",,59,43.9
"2022","British Columbia","Accidental apparent opioid toxicity deaths",,59,44.1
"2023","British Columbia","Accidental apparent opioid toxicity deaths",,59,46
"2016","Alberta","Accidental apparent opioid toxicity deaths",,48,13
"2017","Alberta","Accidental apparent opioid toxicity deaths",,48,16.1
"2018","Alberta","Accidental apparent opioid toxicity deaths",,48,18.6
"2019","Alberta","Accidental apparent opioid toxicity deaths",,48,14.2
"2020","Alberta","Accidental apparent opioid toxicity deaths",,48,26.6
"2021","Alberta","Accidental apparent opioid toxicity deaths",,48,36.8
"2022","Alberta","Accidental apparent opioid toxicity deaths",,48,33.6
"2023","Alberta","Accidental apparent opioid toxicity deaths",,48,39.2
"2016","Saskatchewan","Accidental apparent opioid toxicity deaths",,47,6.7
"2017","Saskatchewan","Accidental apparent opioid toxicity deaths",,47,6.4
"2018","Saskatchewan","Accidental apparent opioid toxicity deaths",,47,9.1
"2019","Saskatchewan","Accidental apparent opioid toxicity deaths",,47,9.2
"2020","Saskatchewan","Accidental apparent opioid toxicity deaths",,47,20.3
"2021","Saskatchewan","Accidental apparent opioid toxicity deaths",,47,27.1
"2022","Saskatchewan","Accidental apparent opioid toxicity deaths",,47,23.8
"2023","Saskatchewan","Accidental apparent opioid toxicity deaths",,47,23.6
"2016","Manitoba","Accidental apparent opioid toxicity deaths",,46,4.6
"2017","Manitoba","Accidental apparent opioid toxicity deaths",,46,6.5
"2018","Manitoba","Accidental apparent opioid toxicity deaths",,46,5.8
"2019","Manitoba","Accidental apparent opioid toxicity deaths",,46,3.9
"2020","Manitoba","Accidental apparent opioid toxicity deaths",,46,18
"2021","Manitoba","Accidental apparent opioid toxicity deaths",,46,19
"2022","Manitoba","Accidental apparent opioid toxicity deaths",,46,3.6
"2016","Ontario","Accidental apparent opioid toxicity deaths",,35,5.2
"2017","Ontario","Accidental apparent opioid toxicity deaths",,35,8
"2018","Ontario","Accidental apparent opioid toxicity deaths",,35,9.3
"2019","Ontario","Accidental apparent opioid toxicity deaths",,35,9.8
"2020","Ontario","Accidental apparent opioid toxicity deaths",,35,15.8
"2021","Ontario","Accidental apparent opioid toxicity deaths",,35,18.3
"2022","Ontario","Accidental apparent opioid toxicity deaths",,35,15.7
"2023","Ontario","Accidental apparent opioid toxicity deaths",,35,16
"2016","Quebec","Accidental apparent opioid toxicity deaths",,24,2.1
"2017","Quebec","Accidental apparent opioid toxicity deaths",,24,2.2
"2018","Quebec","Accidental apparent opioid toxicity deaths",,24,1.8
"2019","Quebec","Accidental apparent opioid toxicity deaths",,24,1.9
"2020","Quebec","Accidental apparent opioid toxicity deaths",,24,2.7
"2021","Quebec","Accidental apparent opioid toxicity deaths",,24,2.5
"2022","Quebec","Accidental apparent opioid toxicity deaths",,24,6.2
"2023","Quebec","Accidental apparent opioid toxicity deaths",,24,6
"2016","New Brunswick","Accidental apparent opioid toxicity deaths",,13,3.5
"2017","New Brunswick","Accidental apparent opioid toxicity deaths",,13,4.2
"2018","New Brunswick","Accidental apparent opioid toxicity deaths",,13,3
"2019","New Brunswick","Accidental apparent opioid toxicity deaths",,13,3.5
"2020","New Brunswick","Accidental apparent opioid toxicity deaths",,13,4.9
"2021","New Brunswick","Accidental apparent opioid toxicity deaths",,13,5.3
"2022","New Brunswick","Accidental apparent opioid toxicity deaths",,13,8.4
"2023","New Brunswick","Accidental apparent opioid toxicity deaths",,13,8.5
"2016","Nova Scotia","Accidental apparent opioid toxicity deaths",,12,4.2
"2017","Nova Scotia","Accidental apparent opioid toxicity deaths",,12,6.1
"2018","Nova Scotia","Accidental apparent opioid toxicity deaths",,12,5.2
"2019","Nova Scotia","Accidental apparent opioid toxicity deaths",,12,4.5
"2020","Nova Scotia","Accidental apparent opioid toxicity deaths",,12,4.1
"2021","Nova Scotia","Accidental apparent opioid toxicity deaths",,12,3.4
"2022","Nova Scotia","Accidental apparent opioid toxicity deaths",,12,4.7
"2023","Nova Scotia","Accidental apparent opioid toxicity deaths",,12,6.2
"2016","Prince Edward Island","Accidental apparent opioid toxicity deaths",,11,3.4
"2017","Prince Edward Island","Accidental apparent opioid toxicity deaths",,11,3.3
"2018","Prince Edward Island","Accidental apparent opioid toxicity deaths",,11,5.3
"2019","Prince Edward Island","Accidental apparent opioid toxicity deaths",,11,3.2
"2020","Prince Edward Island","Accidental apparent opioid toxicity deaths",,11,5
"2021","Prince Edward Island","Accidental apparent opioid toxicity deaths",,11,7.4
"2022","Prince Edward Island","Accidental apparent opioid toxicity deaths",,11,3.6
"2023","Prince Edward Island","Accidental apparent opioid toxicity deaths",,11,4
"2016","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths",,10,2.5
"2017","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths",,10,4.3
"2018","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths",,10,1.9
"2019","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths",,10,2.5
"2020","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths",,10,3.6
"2021","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths",,10,4.6
"2022","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths",,10,4.3
"2023","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths",,10,6.3
"2016","Yukon","Accidental apparent opioid toxicity deaths",,60,13
"2017","Yukon","Accidental apparent opioid toxicity deaths",,60,15.2
"2018","Yukon","Accidental apparent opioid toxicity deaths",,60,9.9
"2019","Yukon","Accidental apparent opioid toxicity deaths",,60,9.7
"2020","Yukon","Accidental apparent opioid toxicity deaths",,60,23.8
"2021","Yukon","Accidental apparent opioid toxicity deaths",,60,53.5
"2022","Yukon","Accidental apparent opioid toxicity deaths",,60,43.3
"2023","Yukon","Accidental apparent opioid toxicity deaths",,60,37.8
"2016","Northwest Territories","Accidental apparent opioid toxicity deaths",,61,9
"2017","Northwest Territories","Accidental apparent opioid toxicity deaths",,61,2.2
"2018","Northwest Territories","Accidental apparent opioid toxicity deaths",,61,4.5
"2019","Northwest Territories","Accidental apparent opioid toxicity deaths",,61,0
"2020","Northwest Territories","Accidental apparent opioid toxicity deaths",,61,6.7
"2021","Northwest Territories","Accidental apparent opioid toxicity deaths",,61,9
"2022","Northwest Territories","Accidental apparent opioid toxicity deaths",,61,15.7
"2023","Northwest Territories","Accidental apparent opioid toxicity deaths",,61,2.2
"2016","Nunavut","Accidental apparent opioid toxicity deaths",,62,0
"2017","Nunavut","Accidental apparent opioid toxicity deaths",,62,0
"2018","Nunavut","Accidental apparent opioid toxicity deaths",,62,0
"2019","Nunavut","Accidental apparent opioid toxicity deaths",,62,0
"2020","Nunavut","Accidental apparent opioid toxicity deaths",,62,0
"2021","Nunavut","Accidental apparent opioid toxicity deaths",,62,0
"2023","Nunavut","Accidental apparent opioid toxicity deaths",,62,0
"2016","Canada","Accidental apparent opioid toxicity deaths","Female",,3.6
"2016","Canada","Accidental apparent opioid toxicity deaths","Male",,10.1
"2017","Canada","Accidental apparent opioid toxicity deaths","Female",,4.5
"2017","Canada","Accidental apparent opioid toxicity deaths","Male",,15
"2018","Canada","Accidental apparent opioid toxicity deaths","Female",,5.4
"2018","Canada","Accidental apparent opioid toxicity deaths","Male",,15.8
"2019","Canada","Accidental apparent opioid toxicity deaths","Female",,4.5
"2019","Canada","Accidental apparent opioid toxicity deaths","Male",,12
"2020","Canada","Accidental apparent opioid toxicity deaths","Female",,7
"2020","Canada","Accidental apparent opioid toxicity deaths","Male",,22.7
"2021","Canada","Accidental apparent opioid toxicity deaths","Female",,9.2
"2021","Canada","Accidental apparent opioid toxicity deaths","Male",,26.1
"2022","Canada","Accidental apparent opioid toxicity deaths","Female",,8.1
"2022","Canada","Accidental apparent opioid toxicity deaths","Male",,24.7
"2023","Canada","Accidental apparent opioid toxicity deaths","Female",,9.4
"2023","Canada","Accidental apparent opioid toxicity deaths","Male",,24.5
"2016","British Columbia","Accidental apparent opioid toxicity deaths","Female",59,6.3
"2016","British Columbia","Accidental apparent opioid toxicity deaths","Male",59,26.4
"2017","British Columbia","Accidental apparent opioid toxicity deaths","Female",59,9.1
"2017","British Columbia","Accidental apparent opioid toxicity deaths","Male",59,43
"2018","British Columbia","Accidental apparent opioid toxicity deaths","Female",59,10.6
"2018","British Columbia","Accidental apparent opioid toxicity deaths","Male",59,44
"2019","British Columbia","Accidental apparent opioid toxicity deaths","Female",59,6
"2019","British Columbia","Accidental apparent opioid toxicity deaths","Male",59,19.6
"2020","British Columbia","Accidental apparent opioid toxicity deaths","Female",59,9.2
"2020","British Columbia","Accidental apparent opioid toxicity deaths","Male",59,42.1
"2021","British Columbia","Accidental apparent opioid toxicity deaths","Female",59,12.2
"2021","British Columbia","Accidental apparent opioid toxicity deaths","Male",59,44.4
"2022","British Columbia","Accidental apparent opioid toxicity deaths","Female",59,11.4
"2022","British Columbia","Accidental apparent opioid toxicity deaths","Male",59,43.4
"2023","British Columbia","Accidental apparent opioid toxicity deaths","Female",59,10.2
"2023","British Columbia","Accidental apparent opioid toxicity deaths","Male",59,33.7
"2016","Alberta","Accidental apparent opioid toxicity deaths","Female",48,7.1
"2016","Alberta","Accidental apparent opioid toxicity deaths","Male",48,18.9
"2017","Alberta","Accidental apparent opioid toxicity deaths","Female",48,7.8
"2017","Alberta","Accidental apparent opioid toxicity deaths","Male",48,24.3
"2018","Alberta","Accidental apparent opioid toxicity deaths","Female",48,9.8
"2018","Alberta","Accidental apparent opioid toxicity deaths","Male",48,27.3
"2019","Alberta","Accidental apparent opioid toxicity deaths","Female",48,7.5
"2019","Alberta","Accidental apparent opioid toxicity deaths","Male",48,20.8
"2020","Alberta","Accidental apparent opioid toxicity deaths","Female",48,12.5
"2020","Alberta","Accidental apparent opioid toxicity deaths","Male",48,40.4
"2021","Alberta","Accidental apparent opioid toxicity deaths","Female",48,19.9
"2021","Alberta","Accidental apparent opioid toxicity deaths","Male",48,53.4
"2022","Alberta","Accidental apparent opioid toxicity deaths","Female",48,18.5
"2022","Alberta","Accidental apparent opioid toxicity deaths","Male",48,48.4
"2023","Alberta","Accidental apparent opioid toxicity deaths","Female",48,24.9
"2023","Alberta","Accidental apparent opioid toxicity deaths","Male",48,53.2
"2016","Saskatchewan","Accidental apparent opioid toxicity deaths","Female",47,5.5
"2016","Saskatchewan","Accidental apparent opioid toxicity deaths","Male",47,7.9
"2017","Saskatchewan","Accidental apparent opioid toxicity deaths","Female",47,5.6
"2017","Saskatchewan","Accidental apparent opioid toxicity deaths","Male",47,7.3
"2018","Saskatchewan","Accidental apparent opioid toxicity deaths","Female",47,7.5
"2018","Saskatchewan","Accidental apparent opioid toxicity deaths","Male",47,10.6
"2019","Saskatchewan","Accidental apparent opioid toxicity deaths","Female",47,6.4
"2019","Saskatchewan","Accidental apparent opioid toxicity deaths","Male",47,11.9
"2020","Saskatchewan","Accidental apparent opioid toxicity deaths","Female",47,14
"2020","Saskatchewan","Accidental apparent opioid toxicity deaths","Male",47,26.5
"2021","Saskatchewan","Accidental apparent opioid toxicity deaths","Female",47,18.8
"2021","Saskatchewan","Accidental apparent opioid toxicity deaths","Male",47,35.2
"2022","Saskatchewan","Accidental apparent opioid toxicity deaths","Female",47,17.1
"2022","Saskatchewan","Accidental apparent opioid toxicity deaths","Male",47,30.3
"2023","Saskatchewan","Accidental apparent opioid toxicity deaths","Female",47,16.7
