"Year","Geography","Age group","Gender","GeoCode","Value"
"2018","",,"",,5.1
"2019","",,"",,6.1
"2020","",,"",,7.2
"2021","",,"",,7.9
"2022","",,"",,9.2
"2023","",,"",,9.1
"2024","",,"",,8.8
"2018","Canada","15 to 24 years","Total - Gender",,4
"2018","Canada","15 to 24 years","Men+",,3.5
"2018","Canada","15 to 24 years","Women+",,4.6
"2018","Canada","25 to 54 years","Total - Gender",,5.7
"2018","Canada","25 to 54 years","Men+",,4.9
"2018","Canada","25 to 54 years","Women+",,6.5
"2018","Canada","25 to 34 years","Total - Gender",,5.9
"2018","Canada","25 to 34 years","Men+",,4.9
"2018","Canada","25 to 34 years","Women+",,6.9
"2018","Canada","35 to 44 years","Total - Gender",,5.8
"2018","Canada","35 to 44 years","Men+",,5.5
"2018","Canada","35 to 44 years","Women+",,6
"2018","Canada","45 to 54 years","Total - Gender",,5.4
"2018","Canada","45 to 54 years","Men+",,4.4
"2018","Canada","45 to 54 years","Women+",,6.5
"2018","Canada","55 to 64 years","Total - Gender",,5.7
"2018","Canada","55 to 64 years","Men+",,6.1
"2018","Canada","55 to 64 years","Women+",,5.3
"2018","Canada","65 years and over","Total - Gender",,3.9
"2018","Canada","65 years and over","Men+",,3.2
"2018","Canada","65 years and over","Women+",,4.5
"2019","Canada","15 to 24 years","Total - Gender",,3.8
"2019","Canada","15 to 24 years","Men+",,1.8
"2019","Canada","15 to 24 years","Women+",,5.8
"2019","Canada","25 to 54 years","Total - Gender",,6.9
"2019","Canada","25 to 54 years","Men+",,6.5
"2019","Canada","25 to 54 years","Women+",,7.4
"2019","Canada","25 to 34 years","Total - Gender",,7.5
"2019","Canada","25 to 34 years","Men+",,6.9
"2019","Canada","25 to 34 years","Women+",,8.1
"2019","Canada","35 to 44 years","Total - Gender",,6.9
"2019","Canada","35 to 44 years","Men+",,6.5
"2019","Canada","35 to 44 years","Women+",,7.2
"2019","Canada","45 to 54 years","Total - Gender",,6.3
"2019","Canada","45 to 54 years","Men+",,5.9
"2019","Canada","45 to 54 years","Women+",,6.8
"2019","Canada","55 to 64 years","Total - Gender",,6.1
"2019","Canada","55 to 64 years","Men+",,5.1
"2019","Canada","55 to 64 years","Women+",,7.1
"2019","Canada","65 years and over","Total - Gender",,5.6
"2019","Canada","65 years and over","Men+",,5.1
"2019","Canada","65 years and over","Women+",,5.9
"2020","Canada","15 to 24 years","Total - Gender",,5.3
"2020","Canada","15 to 24 years","Men+",,4.7
"2020","Canada","15 to 24 years","Women+",,5.9
"2020","Canada","25 to 54 years","Total - Gender",,8.3
"2020","Canada","25 to 54 years","Men+",,7
"2020","Canada","25 to 54 years","Women+",,9.7
"2020","Canada","25 to 34 years","Total - Gender",,8.7
"2020","Canada","25 to 34 years","Men+",,7.2
"2020","Canada","25 to 34 years","Women+",,10.2
"2020","Canada","35 to 44 years","Total - Gender",,8.5
"2020","Canada","35 to 44 years","Men+",,7.4
"2020","Canada","35 to 44 years","Women+",,9.5
"2020","Canada","45 to 54 years","Total - Gender",,7.8
"2020","Canada","45 to 54 years","Men+",,6.2
"2020","Canada","45 to 54 years","Women+",,9.3
"2020","Canada","55 to 64 years","Total - Gender",,7.5
"2020","Canada","55 to 64 years","Men+",,6.9
"2020","Canada","55 to 64 years","Women+",,8.1
"2020","Canada","65 years and over","Total - Gender",,5.5
"2020","Canada","65 years and over","Men+",,5.1
"2020","Canada","65 years and over","Women+",,5.8
"2021","Canada","15 to 24 years","Total - Gender",,6.1
"2021","Canada","15 to 24 years","Men+",,3.9
"2021","Canada","15 to 24 years","Women+",,8.4
"2021","Canada","25 to 54 years","Total - Gender",,9.3
"2021","Canada","25 to 54 years","Men+",,8.2
"2021","Canada","25 to 54 years","Women+",,10.4
"2021","Canada","25 to 34 years","Total - Gender",,9.2
"2021","Canada","25 to 34 years","Men+",,8.2
"2021","Canada","25 to 34 years","Women+",,10.2
"2021","Canada","35 to 44 years","Total - Gender",,9.5
"2021","Canada","35 to 44 years","Men+",,7.5
"2021","Canada","35 to 44 years","Women+",,11.4
"2021","Canada","45 to 54 years","Total - Gender",,9.2
"2021","Canada","45 to 54 years","Men+",,8.9
"2021","Canada","45 to 54 years","Women+",,9.5
"2021","Canada","55 to 64 years","Total - Gender",,7.3
"2021","Canada","55 to 64 years","Men+",,6.8
"2021","Canada","55 to 64 years","Women+",,7.8
"2021","Canada","65 years and over","Total - Gender",,6.4
"2021","Canada","65 years and over","Men+",,5.9
"2021","Canada","65 years and over","Women+",,6.9
"2022","Canada","15 to 24 years","Total - Gender",,7.4
"2022","Canada","15 to 24 years","Men+",,5.2
"2022","Canada","15 to 24 years","Women+",,9.8
"2022","Canada","25 to 54 years","Total - Gender",,11
"2022","Canada","25 to 54 years","Men+",,9.5
"2022","Canada","25 to 54 years","Women+",,12.4
"2022","Canada","25 to 34 years","Total - Gender",,11.1
"2022","Canada","25 to 34 years","Men+",,9
"2022","Canada","25 to 34 years","Women+",,13.3
"2022","Canada","35 to 44 years","Total - Gender",,11
"2022","Canada","35 to 44 years","Men+",,9.7
"2022","Canada","35 to 44 years","Women+",,12.2
"2022","Canada","45 to 54 years","Total - Gender",,10.8
"2022","Canada","45 to 54 years","Men+",,10
"2022","Canada","45 to 54 years","Women+",,11.6
"2022","Canada","55 to 64 years","Total - Gender",,9.3
"2022","Canada","55 to 64 years","Men+",,8.9
"2022","Canada","55 to 64 years","Women+",,9.8
"2022","Canada","65 years and over","Total - Gender",,6.5
"2022","Canada","65 years and over","Men+",,6
"2022","Canada","65 years and over","Women+",,7.1
"2023","Canada","15 to 24 years","Total - Gender",,6.9
"2023","Canada","15 to 24 years","Men+",,5.6
"2023","Canada","15 to 24 years","Women+",,8.3
"2023","Canada","25 to 54 years","Total - Gender",,10.7
"2023","Canada","25 to 54 years","Men+",,9.6
"2023","Canada","25 to 54 years","Women+",,11.8
"2023","Canada","25 to 34 years","Total - Gender",,10.7
"2023","Canada","25 to 34 years","Men+",,9.6
"2023","Canada","25 to 34 years","Women+",,11.8
