Year,data.Type of perpetrator,data.Sex,Value
2018,data.All types of perpetrators,data.Women,3.6
2018,data.All types of perpetrators,data.Men,1.3
2018,data.Intimate partner,data.Women,1.2
2018,data.Intimate partner,data.Men,0.4
2018,data.Non-intimate partner,data.Women,2.9
2018,data.Non-intimate partner,data.Men,1
2025,data.All types of perpetrators,data.Women,3.2
2025,data.All types of perpetrators,data.Men,1.1
2025,data.Intimate partner,data.Women,2.0
2025,data.Intimate partner,data.Men,0.4
2025,data.Non-intimate partner,data.Women,2.4
2025,data.Non-intimate partner,data.Men,0.9
