"Year","data.Geography","data.Age group","data.Gender","GeoCode","Value"
"2015","","","",,13
"2016","","","",,13
"2017","","","",,12
"2018","","","",,12
"2019","","","",,11
"2020","","","",,14
"2021","","","",,14
"2022","","","",,11
"2023","","","",,11
"2024","","","",,12
"2025","","","",,12
"2015","data.Canada","data.Total, 15 to 29 years","data.Men+",,13
"2015","data.Canada","data.Total, 15 to 29 years","data.Women+",,13
"2015","data.Canada","data.15 to 19 years","data.Total - Gender",,7
"2015","data.Canada","data.15 to 19 years","data.Men+",,7
"2015","data.Canada","data.15 to 19 years","data.Women+",,6
"2015","data.Canada","data.15 to 24 years","data.Total - Gender",,11
"2015","data.Canada","data.15 to 24 years","data.Men+",,12
"2015","data.Canada","data.15 to 24 years","data.Women+",,9
"2015","data.Canada","data.18 to 24 years","data.Total - Gender",,13
"2015","data.Canada","data.18 to 24 years","data.Men+",,14
"2015","data.Canada","data.18 to 24 years","data.Women+",,11
"2015","data.Canada","data.20 to 24 years","data.Total - Gender",,14
"2015","data.Canada","data.20 to 24 years","data.Men+",,15
"2015","data.Canada","data.20 to 24 years","data.Women+",,12
"2015","data.Canada","data.25 to 29 years","data.Total - Gender",,17
"2015","data.Canada","data.25 to 29 years","data.Men+",,16
"2015","data.Canada","data.25 to 29 years","data.Women+",,18
"2015","data.Newfoundland and Labrador","data.Total, 15 to 29 years","data.Total - Gender",10,17
"2015","data.Newfoundland and Labrador","data.Total, 15 to 29 years","data.Men+",10,19
"2015","data.Newfoundland and Labrador","data.Total, 15 to 29 years","data.Women+",10,15
"2015","data.Newfoundland and Labrador","data.15 to 19 years","data.Total - Gender",10,7
"2015","data.Newfoundland and Labrador","data.15 to 19 years","data.Men+",10,10
"2015","data.Newfoundland and Labrador","data.15 to 19 years","data.Women+",10,
"2015","data.Newfoundland and Labrador","data.15 to 24 years","data.Total - Gender",10,14
"2015","data.Newfoundland and Labrador","data.15 to 24 years","data.Men+",10,18
"2015","data.Newfoundland and Labrador","data.15 to 24 years","data.Women+",10,10
"2015","data.Newfoundland and Labrador","data.18 to 24 years","data.Total - Gender",10,19
"2015","data.Newfoundland and Labrador","data.18 to 24 years","data.Men+",10,24
"2015","data.Newfoundland and Labrador","data.18 to 24 years","data.Women+",10,13
"2015","data.Newfoundland and Labrador","data.20 to 24 years","data.Total - Gender",10,21
"2015","data.Newfoundland and Labrador","data.20 to 24 years","data.Men+",10,26
"2015","data.Newfoundland and Labrador","data.20 to 24 years","data.Women+",10,15
"2015","data.Newfoundland and Labrador","data.25 to 29 years","data.Total - Gender",10,23
"2015","data.Newfoundland and Labrador","data.25 to 29 years","data.Men+",10,22
