Year,data.Geography,data.Industry,Value
2015,data.Canada,"data.Total, all industries",1.716483
2016,data.Canada,"data.Total, all industries",1.6816213
2017,data.Canada,"data.Total, all industries",1.7161676
2018,data.Canada,"data.Total, all industries",1.7090543
2019,data.Canada,"data.Total, all industries",1.7531492
2015,data.Canada,data.Utilities [BS220],55.9694607
2016,data.Canada,data.Utilities [BS220],56.8557891
2017,data.Canada,data.Utilities [BS220],58.7697759
2018,data.Canada,data.Utilities [BS220],59.2795472
2019,data.Canada,data.Utilities [BS220],61.2472889
2015,data.Canada,data.Engineering construction [BS23C],5.6102516
2016,data.Canada,data.Engineering construction [BS23C],5.2477201
2017,data.Canada,data.Engineering construction [BS23C],5.0022669
2018,data.Canada,data.Engineering construction [BS23C],4.2209556
2019,data.Canada,data.Engineering construction [BS23C],4.2640188
2015,data.Canada,data.Manufacturing [BS3A0],2.1994372
2016,data.Canada,data.Manufacturing [BS3A0],1.8980394
2017,data.Canada,data.Manufacturing [BS3A0],2.2220485
2018,data.Canada,data.Manufacturing [BS3A0],2.401851
2019,data.Canada,data.Manufacturing [BS3A0],2.4071571
2015,data.Canada,"data.Professional, scientific and technical services [BS540]",3.1431428
2016,data.Canada,"data.Professional, scientific and technical services [BS540]",3.3323208
2017,data.Canada,"data.Professional, scientific and technical services [BS540]",3.5353489
2018,data.Canada,"data.Professional, scientific and technical services [BS540]",3.7405163
2019,data.Canada,"data.Professional, scientific and technical services [BS540]",4.000353
2015,data.Canada,"data.Administrative and support, waste management and remediation services [BS560]",4.3089583
2016,data.Canada,"data.Administrative and support, waste management and remediation services [BS560]",4.6237337
2017,data.Canada,"data.Administrative and support, waste management and remediation services [BS560]",4.6754721
2018,data.Canada,"data.Administrative and support, waste management and remediation services [BS560]",4.9554573
2019,data.Canada,"data.Administrative and support, waste management and remediation services [BS560]",4.9488701
2015,data.Canada,data.Other industries,0.4072426
2016,data.Canada,data.Other industries,0.408637
2017,data.Canada,data.Other industries,0.4212947
2018,data.Canada,data.Other industries,0.4287545
