"Year","Geography","Type of charging or fuelling stations","GeoCode","Value"
2010,"","",,107
2011,"","",,119
2012,"","",,147
2013,"","",,218
2014,"","",,337
2015,"","",,664
2016,"","",,845
2017,"","",,1339
2018,"","",,1727
2019,"","",,3586
2020,"","",,4107
2021,"","",,5010
2022,"","",,7006
2023,"","",,9619
2024,"","",,12001
2025,"","",,14181
2026,"","",,15330
2010,"Alberta","Total electric charging and alternative fuelling stations",48,26
2010,"Alberta","Propane",48,26
2011,"Alberta","Total electric charging and alternative fuelling stations",48,27
2011,"Alberta","Propane",48,27
2012,"Alberta","Total electric charging and alternative fuelling stations",48,32
2012,"Alberta","Electric",48,2
2012,"Alberta","Propane",48,30
2013,"Alberta","Total electric charging and alternative fuelling stations",48,39
2013,"Alberta","Electric",48,8
2013,"Alberta","Propane",48,31
2014,"Alberta","Total electric charging and alternative fuelling stations",48,45
2014,"Alberta","Electric",48,14
2015,"Alberta","Total electric charging and alternative fuelling stations",48,75
2015,"Alberta","Electric",48,43
2015,"Alberta","Propane",48,32
2016,"Alberta","Total electric charging and alternative fuelling stations",48,85
2016,"Alberta","Electric",48,52
2016,"Alberta","Propane",48,33
2017,"Alberta","Total electric charging and alternative fuelling stations",48,135
2017,"Alberta","Compressed natural gas",48,1
2017,"Alberta","Electric",48,66
2017,"Alberta","Propane",48,68
2018,"Alberta","Total electric charging and alternative fuelling stations",48,218
2018,"Alberta","Compressed natural gas",48,10
2018,"Alberta","Electric",48,75
2018,"Alberta","Propane",48,133
2019,"Alberta","Total electric charging and alternative fuelling stations",48,243
2019,"Alberta","Electric",48,99
2019,"Alberta","Propane",48,134
2020,"Alberta","Total electric charging and alternative fuelling stations",48,256
2020,"Alberta","Compressed natural gas",48,11
2020,"Alberta","Electric",48,108
2020,"Alberta","Propane",48,137
2021,"Alberta","Total electric charging and alternative fuelling stations",48,300
2021,"Alberta","Electric",48,149
2021,"Alberta","Propane",48,140
2022,"Alberta","Total electric charging and alternative fuelling stations",48,448
2022,"Alberta","Electric",48,297
2023,"Alberta","Total electric charging and alternative fuelling stations",48,646
2023,"Alberta","Compressed natural gas",48,12
2023,"Alberta","Electric",48,493
2023,"Alberta","Propane",48,141
2024,"Alberta","Total electric charging and alternative fuelling stations",48,809
2024,"Alberta","Electric",48,653
2024,"Alberta","Propane",48,144
2025,"Alberta","Total electric charging and alternative fuelling stations",48,966
2025,"Alberta","Compressed natural gas",48,14
2025,"Alberta","Electric",48,807
2025,"Alberta","Propane",48,145
2026,"Alberta","Total electric charging and alternative fuelling stations",48,1040
2026,"Alberta","Compressed natural gas",48,15
2026,"Alberta","Electric",48,880
2010,"British Columbia","Total electric charging and alternative fuelling stations",59,35
2010,"British Columbia","Biodiesel",59,1
2010,"British Columbia","Propane",59,34
2011,"British Columbia","Total electric charging and alternative fuelling stations",59,40
2011,"British Columbia","Electric",59,5
2012,"British Columbia","Total electric charging and alternative fuelling stations",59,45
2012,"British Columbia","Electric",59,9
2012,"British Columbia","Propane",59,35
2013,"British Columbia","Total electric charging and alternative fuelling stations",59,58
2013,"British Columbia","Electric",59,22
2014,"British Columbia","Total electric charging and alternative fuelling stations",59,81
2014,"British Columbia","Electric",59,45
2015,"British Columbia","Total electric charging and alternative fuelling stations",59,173
2015,"British Columbia","Compressed natural gas",59,2
2015,"British Columbia","Electric",59,134
2015,"British Columbia","Propane",59,36
2016,"British Columbia","Total electric charging and alternative fuelling stations",59,194
2016,"British Columbia","Electric",59,154
2016,"British Columbia","Propane",59,37
2017,"British Columbia","Total electric charging and alternative fuelling stations",59,273
2017,"British Columbia","Compressed natural gas",59,4
2017,"British Columbia","Electric",59,200
2017,"British Columbia","Propane",59,68
2018,"British Columbia","Total electric charging and alternative fuelling stations",59,355
2018,"British Columbia","Electric",59,248
2018,"British Columbia","Hydrogen",59,1
2018,"British Columbia","Propane",59,101
2019,"British Columbia","Total electric charging and alternative fuelling stations",59,514
2019,"British Columbia","Electric",59,403
2019,"British Columbia","Hydrogen",59,2
2019,"British Columbia","Propane",59,104
2020,"British Columbia","Total electric charging and alternative fuelling stations",59,583
2020,"British Columbia","Electric",59,469
2020,"British Columbia","Hydrogen",59,3
2020,"British Columbia","Propane",59,106
2021,"British Columbia","Total electric charging and alternative fuelling stations",59,736
2021,"British Columbia","Compressed natural gas",59,5
2021,"British Columbia","Electric",59,619
2021,"British Columbia","Hydrogen",59,4
2021,"British Columbia","Propane",59,107
2022,"British Columbia","Total electric charging and alternative fuelling stations",59,1132
2022,"British Columbia","Electric",59,1012
2022,"British Columbia","Propane",59,110
2023,"British Columbia","Total electric charging and alternative fuelling stations",59,1570
2023,"British Columbia","Compressed natural gas",59,7
2023,"British Columbia","Electric",59,1446
2023,"British Columbia","Ethanol",59,1
2023,"British Columbia","Hydrogen",59,5
2024,"British Columbia","Total electric charging and alternative fuelling stations",59,2007
2024,"British Columbia","Electric",59,1878
2024,"British Columbia","Propane",59,115
2025,"British Columbia","Total electric charging and alternative fuelling stations",59,2388
2025,"British Columbia","Compressed natural gas",59,9
2025,"British Columbia","Electric",59,2253
2025,"British Columbia","Propane",59,119
2026,"British Columbia","Total electric charging and alternative fuelling stations",59,2600
2026,"British Columbia","Electric",59,2465
2010,"Canada","Biodiesel",,1
2010,"Canada","Electric",,4
2010,"Canada","Propane",,102
2011,"Canada","Electric",,15
2011,"Canada","Propane",,103
2012,"Canada","Electric",,39
2012,"Canada","Propane",,107
2013,"Canada","Compressed natural gas",,2
2013,"Canada","Electric",,104
2013,"Canada","Propane",,111
2014,"Canada","Compressed natural gas",,3
2014,"Canada","Electric",,219
2014,"Canada","Propane",,114
