Year,Age,Generation,Type of household,Ownership status,Income quintile,Main source of household income,Value
2015 Q4,,,,,,,178.8
2016 Q4,,,,,,,188.4
2017 Q4,,,,,,,188.8
2018 Q4,,,,,,,190.8
2019 Q4,,,,,,,189.6
2020 Q4,,,,,,,176.8
2021 Q4,,,,,,,183.7
2022 Q4,,,,,,,180.8
2023 Q4,,,,,,,176.5
2024 Q4,,,,,,,171.8
2025 Q4,,,,,,,173.3
2015 Q4,Less than 35 years,,,,,,204.9
2015 Q4,35 to 44 years,,,,,,246.1
2015 Q4,45 to 54 years,,,,,,202.4
2015 Q4,55 to 64 years,,,,,,165.9
2015 Q4,65 years and over,,,,,,70.0
2016 Q4,Less than 35 years,,,,,,211.1
2016 Q4,35 to 44 years,,,,,,251.7
2016 Q4,45 to 54 years,,,,,,220.7
2016 Q4,55 to 64 years,,,,,,181.9
2016 Q4,65 years and over,,,,,,74.2
2017 Q4,Less than 35 years,,,,,,209.1
2017 Q4,35 to 44 years,,,,,,246.4
2017 Q4,45 to 54 years,,,,,,225.1
2017 Q4,55 to 64 years,,,,,,186.2
2017 Q4,65 years and over,,,,,,75.5
2018 Q4,Less than 35 years,,,,,,205.2
2018 Q4,35 to 44 years,,,,,,255.8
2018 Q4,45 to 54 years,,,,,,239.2
2018 Q4,55 to 64 years,,,,,,178.9
2018 Q4,65 years and over,,,,,,74.4
2019 Q4,Less than 35 years,,,,,,202.2
2019 Q4,35 to 44 years,,,,,,261.3
2019 Q4,45 to 54 years,,,,,,245.9
2019 Q4,55 to 64 years,,,,,,169.4
2019 Q4,65 years and over,,,,,,71.7
2020 Q4,Less than 35 years,,,,,,189.2
2020 Q4,35 to 44 years,,,,,,237.6
2020 Q4,45 to 54 years,,,,,,214.4
2020 Q4,55 to 64 years,,,,,,167.5
2020 Q4,65 years and over,,,,,,72.2
2021 Q4,Less than 35 years,,,,,,191.5
2021 Q4,35 to 44 years,,,,,,248.1
2021 Q4,45 to 54 years,,,,,,219.6
2021 Q4,55 to 64 years,,,,,,172.5
2021 Q4,65 years and over,,,,,,77.4
2022 Q4,Less than 35 years,,,,,,192.3
2022 Q4,35 to 44 years,,,,,,259.2
2022 Q4,45 to 54 years,,,,,,221.6
2022 Q4,55 to 64 years,,,,,,165.7
2022 Q4,65 years and over,,,,,,70.0
2023 Q4,Less than 35 years,,,,,,178.0
2023 Q4,35 to 44 years,,,,,,257.1
2023 Q4,45 to 54 years,,,,,,221.3
2023 Q4,55 to 64 years,,,,,,167.9
2023 Q4,65 years and over,,,,,,68.1
2024 Q4,Less than 35 years,,,,,,169.8
2024 Q4,35 to 44 years,,,,,,247.4
2024 Q4,45 to 54 years,,,,,,216.7
2024 Q4,55 to 64 years,,,,,,171.6
2024 Q4,65 years and over,,,,,,66.9
2025 Q4,Less than 35 years,,,,,,166.0
2025 Q4,35 to 44 years,,,,,,245.8
2025 Q4,45 to 54 years,,,,,,220.3
2025 Q4,55 to 64 years,,,,,,174.4
2025 Q4,65 years and over,,,,,,70.2
2015 Q4,,Pre-1946,,,,,59.0
2015 Q4,,Baby boom,,,,,163.0
2015 Q4,,Generation X,,,,,231.7
2015 Q4,,Millennials,,,,,198.9
2016 Q4,,Pre-1946,,,,,57.1
2016 Q4,,Baby boom,,,,,169.7
2016 Q4,,Generation X,,,,,247.3
2016 Q4,,Millennials,,,,,206.4
2017 Q4,,Pre-1946,,,,,53.8
2017 Q4,,Baby boom,,,,,167.5
2017 Q4,,Generation X,,,,,246.1
2017 Q4,,Millennials,,,,,207.2
2018 Q4,,Pre-1946,,,,,45.4
2018 Q4,,Baby boom,,,,,162.1
2018 Q4,,Generation X,,,,,253.1
2018 Q4,,Millennials,,,,,209.4
2019 Q4,,Pre-1946,,,,,43.7
2019 Q4,,Baby boom,,,,,153.2
2019 Q4,,Generation X,,,,,246.8
2019 Q4,,Millennials,,,,,215.5
2020 Q4,,Pre-1946,,,,,41.6
2020 Q4,,Baby boom,,,,,143.8
2020 Q4,,Generation X,,,,,229.4
2020 Q4,,Millennials,,,,,188.3
2021 Q4,,Pre-1946,,,,,40.5
2021 Q4,,Baby boom,,,,,132.7
2021 Q4,,Generation X,,,,,233.9
2021 Q4,,Millennials,,,,,212.3
2022 Q4,,Pre-1946,,,,,31.3
2022 Q4,,Baby boom,,,,,115.1
2022 Q4,,Generation X,,,,,227.4
2022 Q4,,Millennials,,,,,235.1
2023 Q4,,Pre-1946,,,,,28.2
2023 Q4,,Baby boom,,,,,103.8
2023 Q4,,Generation X,,,,,214.5
2023 Q4,,Millennials,,,,,243.8
2024 Q4,,Pre-1946,,,,,26.6
2024 Q4,,Baby boom,,,,,100.1
2024 Q4,,Generation X,,,,,205.4
2024 Q4,,Millennials,,,,,228.5
2025 Q4,,Pre-1946,,,,,24.8
2025 Q4,,Baby boom,,,,,94.6
2025 Q4,,Generation X,,,,,207.1
2025 Q4,,Millennials,,,,,230.4
2015 Q4,,,One-person households,,,,144.2
2015 Q4,,,Multiple-person households,,,,184.9
2016 Q4,,,One-person households,,,,151.8
2016 Q4,,,Multiple-person households,,,,194.8
2017 Q4,,,One-person households,,,,153.9
2017 Q4,,,Multiple-person households,,,,194.9
2018 Q4,,,One-person households,,,,155.8
2018 Q4,,,Multiple-person households,,,,197.0
2019 Q4,,,One-person households,,,,155.2
2019 Q4,,,Multiple-person households,,,,195.6
2020 Q4,,,One-person households,,,,149.8
2020 Q4,,,Multiple-person households,,,,181.6
2021 Q4,,,One-person households,,,,159.8
2021 Q4,,,Multiple-person households,,,,187.9
2022 Q4,,,One-person households,,,,149.5
2022 Q4,,,Multiple-person households,,,,186.7
2023 Q4,,,One-person households,,,,161.2
2023 Q4,,,Multiple-person households,,,,179.1
2024 Q4,,,One-person households,,,,168.7
2024 Q4,,,Multiple-person households,,,,172.3
2025 Q4,,,One-person households,,,,144.6
2025 Q4,,,Multiple-person households,,,,178.6
2015 Q4,,,,Owner,,,209.1
2015 Q4,,,,Owner with mortgage,,,302.0
2015 Q4,,,,Owner without mortgage,,,81.1
2015 Q4,,,,Renter,,,57.3
2016 Q4,,,,Owner,,,223.1
2016 Q4,,,,Owner with mortgage,,,317.7
2016 Q4,,,,Owner without mortgage,,,87.2
2016 Q4,,,,Renter,,,57.4
2017 Q4,,,,Owner,,,224.0
2017 Q4,,,,Owner with mortgage,,,319.2
2017 Q4,,,,Owner without mortgage,,,87.2
2017 Q4,,,,Renter,,,56.7
2018 Q4,,,,Owner,,,225.1
2018 Q4,,,,Owner with mortgage,,,326.1
2018 Q4,,,,Owner without mortgage,,,82.1
2018 Q4,,,,Renter,,,62.9
2019 Q4,,,,Owner,,,222.4
2019 Q4,,,,Owner with mortgage,,,327.9
2019 Q4,,,,Owner without mortgage,,,75.6
2019 Q4,,,,Renter,,,66.6
2020 Q4,,,,Owner,,,209.4
2020 Q4,,,,Owner with mortgage,,,312.1
2020 Q4,,,,Owner without mortgage,,,61.2
2020 Q4,,,,Renter,,,59.4
2021 Q4,,,,Owner,,,216.8
2021 Q4,,,,Owner with mortgage,,,319.0
