Year,Units,Stock status,Region,Stock group,Value
2011,Number of stocks,Healthy zone,Canada,All stock groups,72.0
2012,Number of stocks,Healthy zone,Canada,All stock groups,75.0
2013,Number of stocks,Healthy zone,Canada,All stock groups,74.0
2014,Number of stocks,Healthy zone,Canada,All stock groups,75.0
2015,Number of stocks,Healthy zone,Canada,All stock groups,78.0
2016,Number of stocks,Healthy zone,Canada,All stock groups,76.0
2017,Number of stocks,Healthy zone,Canada,All stock groups,63.0
2018,Number of stocks,Healthy zone,Canada,All stock groups,58.0
2019,Number of stocks,Healthy zone,Canada,All stock groups,52.0
2020,Number of stocks,Healthy zone,Canada,All stock groups,56.0
2021,Number of stocks,Healthy zone,Canada,All stock groups,66.0
2022,Number of stocks,Healthy zone,Canada,All stock groups,66.0
2011,Number of stocks,Cautious zone,Canada,All stock groups,31.0
2012,Number of stocks,Cautious zone,Canada,All stock groups,37.0
2013,Number of stocks,Cautious zone,Canada,All stock groups,41.0
2014,Number of stocks,Cautious zone,Canada,All stock groups,40.0
2015,Number of stocks,Cautious zone,Canada,All stock groups,31.0
2016,Number of stocks,Cautious zone,Canada,All stock groups,31.0
2017,Number of stocks,Cautious zone,Canada,All stock groups,25.0
2018,Number of stocks,Cautious zone,Canada,All stock groups,27.0
2019,Number of stocks,Cautious zone,Canada,All stock groups,29.0
2020,Number of stocks,Cautious zone,Canada,All stock groups,23.0
2021,Number of stocks,Cautious zone,Canada,All stock groups,27.0
2022,Number of stocks,Cautious zone,Canada,All stock groups,24.0
2011,Number of stocks,Critical zone,Canada,All stock groups,17.0
2012,Number of stocks,Critical zone,Canada,All stock groups,15.0
2013,Number of stocks,Critical zone,Canada,All stock groups,16.0
2014,Number of stocks,Critical zone,Canada,All stock groups,15.0
2015,Number of stocks,Critical zone,Canada,All stock groups,19.0
2016,Number of stocks,Critical zone,Canada,All stock groups,21.0
2017,Number of stocks,Critical zone,Canada,All stock groups,18.0
2018,Number of stocks,Critical zone,Canada,All stock groups,19.0
2019,Number of stocks,Critical zone,Canada,All stock groups,25.0
2020,Number of stocks,Critical zone,Canada,All stock groups,23.0
2021,Number of stocks,Critical zone,Canada,All stock groups,22.0
2022,Number of stocks,Critical zone,Canada,All stock groups,23.0
2011,Number of stocks,Status uncertain,Canada,All stock groups,35.0
2012,Number of stocks,Status uncertain,Canada,All stock groups,28.0
2013,Number of stocks,Status uncertain,Canada,All stock groups,24.0
2014,Number of stocks,Status uncertain,Canada,All stock groups,24.0
2015,Number of stocks,Status uncertain,Canada,All stock groups,31.0
2016,Number of stocks,Status uncertain,Canada,All stock groups,42.0
2017,Number of stocks,Status uncertain,Canada,All stock groups,73.0
2018,Number of stocks,Status uncertain,Canada,All stock groups,73.0
2019,Number of stocks,Status uncertain,Canada,All stock groups,70.0
2020,Number of stocks,Status uncertain,Canada,All stock groups,78.0
2021,Number of stocks,Status uncertain,Canada,All stock groups,77.0
2022,Number of stocks,Status uncertain,Canada,All stock groups,82.0
2011,Percentage,Healthy zone,Canada,All stock groups,46.4516129032258
2012,Percentage,Healthy zone,Canada,All stock groups,48.3870967741936
2013,Percentage,Healthy zone,Canada,All stock groups,47.741935483871
2014,Percentage,Healthy zone,Canada,All stock groups,48.7012987012987
2015,Percentage,Healthy zone,Canada,All stock groups,49.0566037735849
2016,Percentage,Healthy zone,Canada,All stock groups,44.7058823529412
2017,Percentage,Healthy zone,Canada,All stock groups,35.195530726257
2018,Percentage,Healthy zone,Canada,All stock groups,32.7683615819209
