Year,Geography,Violations,GeoCode,Value
2015,,,,5934.2
2016,,,,5987.14
2017,,,,6056.3
2018,,,,6152.21
2019,,,,6491.82
2020,,,,5856.04
2015,Canada,Homicide,,1.71
2016,Canada,Homicide,,1.69
2017,Canada,Homicide,,1.82
2018,Canada,Homicide,,1.78
2019,Canada,Homicide,,1.83
2020,Canada,Homicide,,1.95
2015,Canada,Total other violations causing death,,0.24
2016,Canada,Total other violations causing death,,0.3
2017,Canada,Total other violations causing death,,0.27
2018,Canada,Total other violations causing death,,0.36
2019,Canada,Total other violations causing death,,0.31
2020,Canada,Total other violations causing death,,0.31
2015,Canada,Attempted murder,,2.18
2016,Canada,Attempted murder,,2.18
2017,Canada,Attempted murder,,2.25
2018,Canada,Attempted murder,,2.22
2019,Canada,Attempted murder,,2.33
2020,Canada,Attempted murder,,2.27
2015,Canada,"Sexual assault, level 3, aggravated",,0.29
2016,Canada,"Sexual assault, level 3, aggravated",,0.31
2017,Canada,"Sexual assault, level 3, aggravated",,0.44
2018,Canada,"Sexual assault, level 3, aggravated",,0.43
2019,Canada,"Sexual assault, level 3, aggravated",,0.33
2020,Canada,"Sexual assault, level 3, aggravated",,0.36
2015,Canada,"Sexual assault, level 2, weapon or bodily harm",,1.06
2016,Canada,"Sexual assault, level 2, weapon or bodily harm",,1.09
2017,Canada,"Sexual assault, level 2, weapon or bodily harm",,1.16
2018,Canada,"Sexual assault, level 2, weapon or bodily harm",,1.32
2019,Canada,"Sexual assault, level 2, weapon or bodily harm",,1.42
2020,Canada,"Sexual assault, level 2, weapon or bodily harm",,1.6
2015,Canada,"Sexual assault, level 1",,57.32
2016,Canada,"Sexual assault, level 1",,58.36
2017,Canada,"Sexual assault, level 1",,66.1
2018,Canada,"Sexual assault, level 1",,75.3
2019,Canada,"Sexual assault, level 1",,80.69
2020,Canada,"Sexual assault, level 1",,73.4
2015,Canada,Total sexual violations against children,,14.72
2016,Canada,Total sexual violations against children,,20.31
2017,Canada,Total sexual violations against children,,22.65
2018,Canada,Total sexual violations against children,,24.48
2019,Canada,Total sexual violations against children,,27.5
2020,Canada,Total sexual violations against children,,27.33
2015,Canada,"Assault, level 3, aggravated",,9.3
2016,Canada,"Assault, level 3, aggravated",,9.6
2017,Canada,"Assault, level 3, aggravated",,9.81
2018,Canada,"Assault, level 3, aggravated",,9.67
2019,Canada,"Assault, level 3, aggravated",,10.57
2020,Canada,"Assault, level 3, aggravated",,10.04
2015,Canada,"Assault, level 2, weapon or bodily harm",,132.73
2016,Canada,"Assault, level 2, weapon or bodily harm",,138.32
2017,Canada,"Assault, level 2, weapon or bodily harm",,142.67
2018,Canada,"Assault, level 2, weapon or bodily harm",,146.28
2019,Canada,"Assault, level 2, weapon or bodily harm",,158.82
2020,Canada,"Assault, level 2, weapon or bodily harm",,170.52
2015,Canada,"Assault, level 1",,439.87
2016,Canada,"Assault, level 1",,441.97
2017,Canada,"Assault, level 1",,446.79
2018,Canada,"Assault, level 1",,459.02
2019,Canada,"Assault, level 1",,500.58
2020,Canada,"Assault, level 1",,467.25
2015,Canada,Total robbery,,62.04
2016,Canada,Total robbery,,60.81
2017,Canada,Total robbery,,62.47
2018,Canada,Total robbery,,60.84
2019,Canada,Total robbery,,62.17
2020,Canada,Total robbery,,50.7
2015,Canada,Uttering threats,,175.94
2016,Canada,Uttering threats,,168.68
2017,Canada,Uttering threats,,173.19
2018,Canada,Uttering threats,,180.24
2019,Canada,Uttering threats,,215.01
2020,Canada,Uttering threats,,221.47
2015,Canada,Total other violent violations,,14.16
2016,Canada,Total other violent violations,,14.56
2017,Canada,Total other violent violations,,17.31
2018,Canada,Total other violent violations,,15.94
2019,Canada,Total other violent violations,,19.32
2020,Canada,Total other violent violations,,19.36
2015,data.Newfoundland and Labrador [10],"Total, all violations",10,6370.75
2016,data.Newfoundland and Labrador [10],"Total, all violations",10,6500.63
2017,data.Newfoundland and Labrador [10],"Total, all violations",10,6042.04
2018,data.Newfoundland and Labrador [10],"Total, all violations",10,6041.56
2019,data.Newfoundland and Labrador [10],"Total, all violations",10,6686.65
2020,data.Newfoundland and Labrador [10],"Total, all violations",10,6727.98
2015,data.Newfoundland and Labrador [10],Homicide,,0.57
2016,data.Newfoundland and Labrador [10],Homicide,,1.32
2017,data.Newfoundland and Labrador [10],Homicide,,0.76
2018,data.Newfoundland and Labrador [10],Homicide,,0.38
2019,data.Newfoundland and Labrador [10],Homicide,,0.96
2020,data.Newfoundland and Labrador [10],Homicide,,0.77
2015,data.Newfoundland and Labrador [10],Total other violations causing death,,0.0
2016,data.Newfoundland and Labrador [10],Total other violations causing death,,0.38
2017,data.Newfoundland and Labrador [10],Total other violations causing death,,0.19
2018,data.Newfoundland and Labrador [10],Total other violations causing death,,0.38
2019,data.Newfoundland and Labrador [10],Total other violations causing death,,0.0
2020,data.Newfoundland and Labrador [10],Total other violations causing death,,0.38
2015,data.Newfoundland and Labrador [10],Attempted murder,,0.76
2016,data.Newfoundland and Labrador [10],Attempted murder,,1.51
2017,data.Newfoundland and Labrador [10],Attempted murder,,0.95
2018,data.Newfoundland and Labrador [10],Attempted murder,,0.76
2019,data.Newfoundland and Labrador [10],Attempted murder,,0.76
2020,data.Newfoundland and Labrador [10],Attempted murder,,0.19
2015,data.Newfoundland and Labrador [10],"Sexual assault, level 3, aggravated",,0.19
2016,data.Newfoundland and Labrador [10],"Sexual assault, level 3, aggravated",,0.0
2017,data.Newfoundland and Labrador [10],"Sexual assault, level 3, aggravated",,0.19
2018,data.Newfoundland and Labrador [10],"Sexual assault, level 3, aggravated",,0.0
2019,data.Newfoundland and Labrador [10],"Sexual assault, level 3, aggravated",,0.0
2020,data.Newfoundland and Labrador [10],"Sexual assault, level 3, aggravated",,0.0
2015,data.Newfoundland and Labrador [10],"Sexual assault, level 2, weapon or bodily harm",,0.19
2016,data.Newfoundland and Labrador [10],"Sexual assault, level 2, weapon or bodily harm",,0.76
2017,data.Newfoundland and Labrador [10],"Sexual assault, level 2, weapon or bodily harm",,0.38
2018,data.Newfoundland and Labrador [10],"Sexual assault, level 2, weapon or bodily harm",,0.95
2019,data.Newfoundland and Labrador [10],"Sexual assault, level 2, weapon or bodily harm",,0.96
2020,data.Newfoundland and Labrador [10],"Sexual assault, level 2, weapon or bodily harm",,0.38
2015,data.Newfoundland and Labrador [10],"Sexual assault, level 1",,68.55
2016,data.Newfoundland and Labrador [10],"Sexual assault, level 1",,56.85
