Year,Index,Value
2001,,62
2006,,65
2011,,66
2016,,67
2021,,65
2001,Biodiversity,51
2006,Biodiversity,54
2011,Biodiversity,55
1981,Soil Quality,64
1986,Soil Quality,65
1991,Soil Quality,66
1996,Soil Quality,70
2001,Soil Quality,75
2006,Soil Quality,78
2011,Soil Quality,78
1981,Water Quality,82
1986,Water Quality,79
1991,Water Quality,79
1996,Water Quality,76
2001,Water Quality,74
2006,Water Quality,75
2011,Water Quality,75
1981,Air Quality,51
1986,Air Quality,52
1991,Air Quality,54
1996,Air Quality,54
2001,Air Quality,55
2006,Air Quality,60
2011,Air Quality,63
2016,Soil Quality,77
2016,Water Quality,77
2016,Air Quality,63
2016,Biodiversity,54
