Year,Geography,Age group,Gender,Economic family type,GeoCode,Value
2015,,,,,,14.5
2016,,,,,,12.9
2017,,,,,,11.9
2018,,,,,,11.2
2019,,,,,,10.5
2020,,,,,,6.5
2021,,,,,,7.6
2022,,,,,,10.3
2023,,,,,,10.4
2015,Alberta,Total,All genders,Total,48,9.4
2015,Alberta,Under 18 years,All genders,Total,48,12.3
2015,Alberta,18 to 64 years,All genders,Total,48,9.5
2015,Alberta,65 years and over,All genders,Total,48,3.1
2015,Alberta,Total,Man+,Total,48,8.9
2015,Alberta,Under 18 years,Man+,Total,48,9.8
2015,Alberta,18 to 64 years,Man+,Total,48,9.6
2015,Alberta,Total,Woman+,Total,48,9.9
2015,Alberta,Under 18 years,Woman+,Total,48,15.0
2015,Alberta,18 to 64 years,Woman+,Total,48,9.5
2015,Alberta,65 years and over,Woman+,Total,48,3.2
2015,Alberta,Total,All genders,Persons in economic families,48,7.5
2015,Alberta,Total,Man+,Persons in economic families,48,6.6
2015,Alberta,Total,Woman+,Persons in economic families,48,8.4
2015,Alberta,Under 18 years,All genders,Persons in economic families,48,12.2
2015,Alberta,Under 18 years,All genders,Persons in couple families with children,48,9.6
2015,Alberta,18 to 64 years,All genders,Persons in economic families,48,6.5
2015,Alberta,18 to 64 years,Man+,Persons in economic families,48,6.1
2015,Alberta,18 to 64 years,Woman+,Persons in economic families,48,6.9
2015,Alberta,Total,All genders,Persons not in an economic family,48,20.8
2015,Alberta,Total,Man+,Persons not in an economic family,48,22.1
2015,Alberta,Total,Woman+,Persons not in an economic family,48,19.3
2015,Alberta,65 years and over,All genders,Seniors not in an economic family,48,7.4
2015,Alberta,,All genders,Non-seniors not in an economic family,48,24.2
2015,Alberta,,Man+,Non-seniors not in an economic family,48,24.1
2015,Alberta,,Woman+,Non-seniors not in an economic family,48,24.2
2016,Alberta,Total,All genders,Total,48,10.1
2016,Alberta,Under 18 years,All genders,Total,48,10.8
2016,Alberta,18 to 64 years,All genders,Total,48,10.9
2016,Alberta,65 years and over,All genders,Total,48,4.3
2016,Alberta,Total,Man+,Total,48,9.8
2016,Alberta,Under 18 years,Man+,Total,48,10.8
2016,Alberta,18 to 64 years,Man+,Total,48,10.3
2016,Alberta,65 years and over,Man+,Total,48,4.5
2016,Alberta,Total,Woman+,Total,48,10.5
2016,Alberta,Under 18 years,Woman+,Total,48,10.8
2016,Alberta,18 to 64 years,Woman+,Total,48,11.6
2016,Alberta,65 years and over,Woman+,Total,48,4.1
2016,Alberta,Total,All genders,Persons in economic families,48,7.8
2016,Alberta,Total,Man+,Persons in economic families,48,7.8
2016,Alberta,Total,Woman+,Persons in economic families,48,7.9
2016,Alberta,Under 18 years,All genders,Persons in economic families,48,10.7
2016,Alberta,Under 18 years,All genders,Persons in couple families with children,48,9.8
2016,Alberta,18 to 64 years,All genders,Persons in economic families,48,7.6
2016,Alberta,18 to 64 years,Man+,Persons in economic families,48,7.5
2016,Alberta,18 to 64 years,Woman+,Persons in economic families,48,7.7
2016,Alberta,Total,All genders,Persons not in an economic family,48,23.7
2016,Alberta,Total,Man+,Persons not in an economic family,48,21.7
2016,Alberta,Total,Woman+,Persons not in an economic family,48,25.8
2016,Alberta,65 years and over,All genders,Seniors not in an economic family,48,10.1
2016,Alberta,65 years and over,Woman+,Seniors not in an economic family,48,8.6
2016,Alberta,,All genders,Non-seniors not in an economic family,48,27.7
2016,Alberta,,Man+,Non-seniors not in an economic family,48,23.5
2016,Alberta,,Woman+,Non-seniors not in an economic family,48,32.8
2017,Alberta,Total,All genders,Total,48,8.5
2017,Alberta,Under 18 years,All genders,Total,48,7.8
2017,Alberta,18 to 64 years,All genders,Total,48,9.8
2017,Alberta,65 years and over,All genders,Total,48,2.9
2017,Alberta,Total,Man+,Total,48,7.8
2017,Alberta,Under 18 years,Man+,Total,48,7.2
2017,Alberta,18 to 64 years,Man+,Total,48,8.8
2017,Alberta,65 years and over,Man+,Total,48,2.7
2017,Alberta,Total,Woman+,Total,48,9.3
2017,Alberta,Under 18 years,Woman+,Total,48,8.4
2017,Alberta,18 to 64 years,Woman+,Total,48,10.8
2017,Alberta,65 years and over,Woman+,Total,48,3.0
2017,Alberta,Total,All genders,Persons in economic families,48,6.4
2017,Alberta,Total,Man+,Persons in economic families,48,6.0
2017,Alberta,Total,Woman+,Persons in economic families,48,6.8
2017,Alberta,65 years and over,All genders,Seniors in economic families,48,1.7
2017,Alberta,Under 18 years,All genders,Persons in economic families,48,7.8
2017,Alberta,Under 18 years,All genders,Persons in couple families with children,48,6.5
2017,Alberta,18 to 64 years,All genders,Persons in economic families,48,6.6
2017,Alberta,18 to 64 years,Man+,Persons in economic families,48,6.3
2017,Alberta,18 to 64 years,Woman+,Persons in economic families,48,6.9
2017,Alberta,Total,All genders,Persons not in an economic family,48,20.8
2017,Alberta,Total,Man+,Persons not in an economic family,48,18.3
2017,Alberta,Total,Woman+,Persons not in an economic family,48,23.4
2017,Alberta,65 years and over,All genders,Seniors not in an economic family,48,5.8
2017,Alberta,,All genders,Non-seniors not in an economic family,48,25.6
2017,Alberta,,Man+,Non-seniors not in an economic family,48,20.3
2017,Alberta,,Woman+,Non-seniors not in an economic family,48,31.8
2018,Alberta,Total,All genders,Total,48,9.4
2018,Alberta,Under 18 years,All genders,Total,48,9.2
2018,Alberta,18 to 64 years,All genders,Total,48,10.6
2018,Alberta,65 years and over,All genders,Total,48,3.5
2018,Alberta,Total,Man+,Total,48,9.4
2018,Alberta,Under 18 years,Man+,Total,48,10.1
2018,Alberta,18 to 64 years,Man+,Total,48,10.4
2018,Alberta,65 years and over,Man+,Total,48,2.4
2018,Alberta,Total,Woman+,Total,48,9.4
2018,Alberta,Under 18 years,Woman+,Total,48,8.4
2018,Alberta,18 to 64 years,Woman+,Total,48,10.7
2018,Alberta,65 years and over,Woman+,Total,48,4.4
2018,Alberta,Total,All genders,Persons in economic families,48,6.7
2018,Alberta,Total,Man+,Persons in economic families,48,6.6
2018,Alberta,Total,Woman+,Persons in economic families,48,6.8
2018,Alberta,65 years and over,All genders,Seniors in economic families,48,2.7
2018,Alberta,Under 18 years,All genders,Persons in economic families,48,9.2
2018,Alberta,Under 18 years,All genders,Persons in couple families with children,48,7.3
2018,Alberta,18 to 64 years,All genders,Persons in economic families,48,6.3
2018,Alberta,18 to 64 years,Man+,Persons in economic families,48,6.0
2018,Alberta,18 to 64 years,Woman+,Persons in economic families,48,6.7
2018,Alberta,Total,All genders,Persons not in an economic family,48,24.1
2018,Alberta,Total,Man+,Persons not in an economic family,48,23.5
2018,Alberta,Total,Woman+,Persons not in an economic family,48,24.9
2018,Alberta,65 years and over,All genders,Seniors not in an economic family,48,5.5
2018,Alberta,65 years and over,Woman+,Seniors not in an economic family,48,6.8
2018,Alberta,,All genders,Non-seniors not in an economic family,48,29.4
2018,Alberta,,Man+,Non-seniors not in an economic family,48,26.8
2018,Alberta,,Woman+,Non-seniors not in an economic family,48,33.1
2019,Alberta,Total,All genders,Total,48,8.3
2019,Alberta,Under 18 years,All genders,Total,48,7.0
2019,Alberta,18 to 64 years,All genders,Total,48,9.7
2019,Alberta,65 years and over,All genders,Total,48,3.7
2019,Alberta,Total,Man+,Total,48,8.4
2019,Alberta,Under 18 years,Man+,Total,48,7.4
2019,Alberta,18 to 64 years,Man+,Total,48,9.5
2019,Alberta,65 years and over,Man+,Total,48,4.6
2019,Alberta,Total,Woman+,Total,48,8.2
2019,Alberta,Under 18 years,Woman+,Total,48,6.6
2019,Alberta,18 to 64 years,Woman+,Total,48,9.9
2019,Alberta,65 years and over,Woman+,Total,48,2.8
2019,Alberta,Total,All genders,Persons in economic families,48,5.9
2019,Alberta,Total,Man+,Persons in economic families,48,5.7
2019,Alberta,Total,Woman+,Persons in economic families,48,6.1
2019,Alberta,65 years and over,All genders,Seniors in economic families,48,2.9
2019,Alberta,Under 18 years,All genders,Persons in economic families,48,6.6
2019,Alberta,Under 18 years,All genders,Persons in couple families with children,48,5.7
2019,Alberta,18 to 64 years,All genders,Persons in economic families,48,6.1
2019,Alberta,18 to 64 years,Man+,Persons in economic families,48,5.6
2019,Alberta,18 to 64 years,Woman+,Persons in economic families,48,6.7
2019,Alberta,Total,All genders,Persons not in an economic family,48,21.5
2019,Alberta,Total,Man+,Persons not in an economic family,48,23.3
2019,Alberta,Total,Woman+,Persons not in an economic family,48,19.7
2019,Alberta,65 years and over,All genders,Seniors not in an economic family,48,5.6
2019,Alberta,,All genders,Non-seniors not in an economic family,48,26.2
2019,Alberta,,Man+,Non-seniors not in an economic family,48,25.8
2019,Alberta,,Woman+,Non-seniors not in an economic family,48,26.6
2020,Alberta,Total,All genders,Total,48,6.0
2020,Alberta,Under 18 years,All genders,Total,48,4.6
2020,Alberta,18 to 64 years,All genders,Total,48,7.1
2020,Alberta,65 years and over,All genders,Total,48,3.0
2020,Alberta,Total,Man+,Total,48,5.9
2020,Alberta,Under 18 years,Man+,Total,48,4.4
2020,Alberta,18 to 64 years,Man+,Total,48,7.1
2020,Alberta,65 years and over,Man+,Total,48,2.4
2020,Alberta,Total,Woman+,Total,48,6.1
2020,Alberta,Under 18 years,Woman+,Total,48,4.9
2020,Alberta,18 to 64 years,Woman+,Total,48,7.1
2020,Alberta,65 years and over,Woman+,Total,48,3.6
2020,Alberta,Total,All genders,Persons in economic families,48,3.6
2020,Alberta,Total,Man+,Persons in economic families,48,3.4
2020,Alberta,Total,Woman+,Persons in economic families,48,3.8
2020,Alberta,Under 18 years,All genders,Persons in economic families,48,4.5
2020,Alberta,Under 18 years,All genders,Persons in couple families with children,48,2.5
2020,Alberta,18 to 64 years,All genders,Persons in economic families,48,3.6
2020,Alberta,18 to 64 years,Man+,Persons in economic families,48,3.4
2020,Alberta,18 to 64 years,Woman+,Persons in economic families,48,3.9
2020,Alberta,Total,All genders,Persons not in an economic family,48,19.0
2020,Alberta,Total,Man+,Persons not in an economic family,48,17.9
2020,Alberta,Total,Woman+,Persons not in an economic family,48,20.4
2020,Alberta,65 years and over,All genders,Seniors not in an economic family,48,7.6
2020,Alberta,65 years and over,Woman+,Seniors not in an economic family,48,8.6
