Year,Province,Reporting entity,Offence,Value
2016,Canada,Police-reported,Hate crime,3.9
2016,Newfoundland and Labrador,Police-reported,Hate crime,0.4
2016,Prince Edward Island,Police-reported,Hate crime,2.0
2016,Nova Scotia,Police-reported,Hate crime,2.2
2016,New Brunswick,Police-reported,Hate crime,2.4
2016,Quebec,Police-reported,Hate crime,4.0
2016,Ontario,Police-reported,Hate crime,4.4
2016,Manitoba,Police-reported,Hate crime,2.8
2016,Saskatchewan,Police-reported,Hate crime,2.6
2016,Alberta,Police-reported,Hate crime,3.3
2016,British Columbia,Police-reported,Hate crime,4.3
2017,Canada,Police-reported,Hate crime,5.7
2017,Newfoundland and Labrador,Police-reported,Hate crime,0.4
2017,Prince Edward Island,Police-reported,Hate crime,0.7
2017,Nova Scotia,Police-reported,Hate crime,2.2
2017,New Brunswick,Police-reported,Hate crime,2.9
2017,Quebec,Police-reported,Hate crime,5.9
2017,Ontario,Police-reported,Hate crime,7.3
2017,Manitoba,Police-reported,Hate crime,2.7
2017,Saskatchewan,Police-reported,Hate crime,1.8
2017,Alberta,Police-reported,Hate crime,4.5
2017,British Columbia,Police-reported,Hate crime,5.2
2018,Canada,Police-reported,Hate crime,4.9
2018,Newfoundland and Labrador,Police-reported,Hate crime,0.4
2018,Prince Edward Island,Police-reported,Hate crime,1.3
2018,Nova Scotia,Police-reported,Hate crime,3.3
2018,New Brunswick,Police-reported,Hate crime,1.9
2018,Quebec,Police-reported,Hate crime,4.5
2018,Ontario,Police-reported,Hate crime,5.7
2018,Manitoba,Police-reported,Hate crime,3.1
2018,Saskatchewan,Police-reported,Hate crime,2.6
2018,Alberta,Police-reported,Hate crime,5.7
2018,British Columbia,Police-reported,Hate crime,5.2
2019,Canada,Police-reported,Hate crime,5.2
2019,Newfoundland and Labrador,Police-reported,Hate crime,1.1
2019,Prince Edward Island,Police-reported,Hate crime,4.5
2019,Nova Scotia,Police-reported,Hate crime,3.3
2019,New Brunswick,Police-reported,Hate crime,4.2
2019,Quebec,Police-reported,Hate crime,4.8
2019,Ontario,Police-reported,Hate crime,5.9
2019,Manitoba,Police-reported,Hate crime,4.1
2019,Saskatchewan,Police-reported,Hate crime,2.8
2019,Alberta,Police-reported,Hate crime,4.7
2019,British Columbia,Police-reported,Hate crime,6.1
