Year,Geography,Product category,GeoCode,Value
2015,,,,1.43
2016,,,,1.42
2017,,,,1.42
2018,,,,1.43
2019,,,,1.42
2020,,,,1.43
2021,,,,1.43
2022,,,,1.43
2015,Canada,Construction materials,,1.17
2015,Canada,Electrical and electronic equipment,,1.0
2015,Canada,Electronics,,1.06
2015,Canada,Major appliances,,0.31
2015,Canada,Other electrical and electronic equipment,,1.06
2015,Canada,Packaging,,1.35
2015,Canada,Bottles,,1.36
2015,Canada,Film,,1.35
2015,Canada,Non-bottle rigid,,1.35
2015,Canada,Other packaging products,,1.35
2015,Canada,Agriculture film,,1.2
2015,Canada,Textiles,,1.09
2015,Canada,Transportation vehicles,,1.37
2015,Canada,Light-duty vehicles,,1.45
2015,Canada,Other transportation vehicles,,1.26
2015,Canada,Other products,,1.82
2015,Newfoundland and Labrador,"Total, all product categories",10,2.34
2015,Newfoundland and Labrador,Construction materials,10,1.19
2015,Newfoundland and Labrador,Electrical and electronic equipment,10,0.99
2015,Newfoundland and Labrador,Packaging,10,1.35
2015,Newfoundland and Labrador,Agriculture film,10,1.43
2015,Newfoundland and Labrador,Textiles,10,1.08
2015,Newfoundland and Labrador,Transportation vehicles,10,6.04
2015,Newfoundland and Labrador,Other products,10,1.78
2015,Prince Edward Island,"Total, all product categories",11,1.38
2015,Prince Edward Island,Construction materials,11,1.31
2015,Prince Edward Island,Electrical and electronic equipment,11,1.0
2015,Prince Edward Island,Packaging,11,1.34
2015,Prince Edward Island,Agriculture film,11,1.26
2015,Prince Edward Island,Textiles,11,1.05
2015,Prince Edward Island,Transportation vehicles,11,1.26
2015,Prince Edward Island,Other products,11,1.79
2015,Nova Scotia,"Total, all product categories",12,1.37
2015,Nova Scotia,Construction materials,12,1.17
2015,Nova Scotia,Electrical and electronic equipment,12,0.96
2015,Nova Scotia,Packaging,12,1.35
2015,Nova Scotia,Agriculture film,12,1.26
2015,Nova Scotia,Textiles,12,1.08
2015,Nova Scotia,Transportation vehicles,12,1.24
2015,Nova Scotia,Other products,12,1.8
2015,New Brunswick,"Total, all product categories",13,1.39
2015,New Brunswick,Construction materials,13,1.16
2015,New Brunswick,Electrical and electronic equipment,13,1.0
2015,New Brunswick,Packaging,13,1.35
2015,New Brunswick,Agriculture film,13,1.26
2015,New Brunswick,Textiles,13,1.09
2015,New Brunswick,Transportation vehicles,13,1.23
2015,New Brunswick,Other products,13,1.78
2015,Quebec,"Total, all product categories",24,1.39
2015,Quebec,Construction materials,24,1.17
2015,Quebec,Electrical and electronic equipment,24,0.99
2015,Quebec,Packaging,24,1.35
2015,Quebec,Agriculture film,24,1.19
2015,Quebec,Textiles,24,1.09
2015,Quebec,Transportation vehicles,24,1.23
2015,Quebec,Other products,24,1.83
2015,Ontario,"Total, all product categories",35,1.42
2015,Ontario,Construction materials,35,1.17
2015,Ontario,Electrical and electronic equipment,35,1.0
2015,Ontario,Packaging,35,1.35
2015,Ontario,Agriculture film,35,1.2
2015,Ontario,Textiles,35,1.09
2015,Ontario,Transportation vehicles,35,1.26
2015,Ontario,Other products,35,1.82
2015,Manitoba,"Total, all product categories",46,1.4
2015,Manitoba,Construction materials,46,1.18
2015,Manitoba,Electrical and electronic equipment,46,0.99
2015,Manitoba,Packaging,46,1.35
2015,Manitoba,Agriculture film,46,1.21
2015,Manitoba,Textiles,46,1.09
2015,Manitoba,Transportation vehicles,46,1.23
2015,Manitoba,Other products,46,1.84
2015,Saskatchewan,"Total, all product categories",47,1.39
2015,Saskatchewan,Construction materials,47,1.17
2015,Saskatchewan,Electrical and electronic equipment,47,1.0
2015,Saskatchewan,Packaging,47,1.35
2015,Saskatchewan,Agriculture film,47,1.2
2015,Saskatchewan,Textiles,47,1.09
2015,Saskatchewan,Transportation vehicles,47,1.24
2015,Saskatchewan,Other products,47,1.75
2015,Alberta,"Total, all product categories",48,1.43
2015,Alberta,Construction materials,48,1.17
2015,Alberta,Electrical and electronic equipment,48,1.03
2015,Alberta,Packaging,48,1.35
2015,Alberta,Agriculture film,48,1.2
2015,Alberta,Textiles,48,1.09
2015,Alberta,Transportation vehicles,48,1.24
2015,Alberta,Other products,48,1.79
2015,British Columbia,"Total, all product categories",59,1.41
2015,British Columbia,Construction materials,59,1.17
2015,British Columbia,Electrical and electronic equipment,59,0.97
2015,British Columbia,Packaging,59,1.35
2015,British Columbia,Agriculture film,59,1.2
2015,British Columbia,Textiles,59,1.09
2015,British Columbia,Transportation vehicles,59,1.24
2015,British Columbia,Other products,59,1.82
2015,Yukon,"Total, all product categories",60,2.1
2015,Yukon,Construction materials,60,1.08
2015,Yukon,Electrical and electronic equipment,60,1.07
2015,Yukon,Packaging,60,1.35
2015,Yukon,Agriculture film,60,0.0
2015,Yukon,Textiles,60,0.95
2015,Yukon,Transportation vehicles,60,5.76
2015,Yukon,Other products,60,1.8
2015,Northwest Territories,"Total, all product categories",61,1.91
2015,Northwest Territories,Construction materials,61,1.12
2015,Northwest Territories,Electrical and electronic equipment,61,0.85
2015,Northwest Territories,Packaging,61,1.35
2015,Northwest Territories,Agriculture film,61,0.0
2015,Northwest Territories,Textiles,61,1.12
2015,Northwest Territories,Transportation vehicles,61,5.23
2015,Northwest Territories,Other products,61,1.69
2015,Nunavut,"Total, all product categories",62,1.98
2015,Nunavut,Construction materials,62,1.04
2015,Nunavut,Electrical and electronic equipment,62,1.12
2015,Nunavut,Packaging,62,1.38
2015,Nunavut,Textiles,62,0.74
2015,Nunavut,Transportation vehicles,62,5.26
2015,Nunavut,Other products,62,1.67
2015,Canadian territorial enclaves abroad,"Total, all product categories",,6.35
2015,Canadian territorial enclaves abroad,Construction materials,,4.76
2015,Canadian territorial enclaves abroad,Electrical and electronic equipment,,6.73
2015,Canadian territorial enclaves abroad,Packaging,,6.32
2015,Canadian territorial enclaves abroad,Textiles,,6.3
