Year,Units,Geography,data.Core public infrastructure assets,data.Type of municipality by population size,Value
2016,Number,Alberta,data.Bridges and tunnels,data.All municipalities,27.0
2016,Number,Alberta,data.Bridges and tunnels,data.All urban municipalities,15.0
2016,Number,Alberta,data.Bridges and tunnels,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Alberta,data.Bridges and tunnels,"data.Urban municipalities, population 5,000 to 29,999",8.0
2016,Number,Alberta,data.Bridges and tunnels,"data.Urban municipalities, population 30,000 or more",7.0
2016,Number,Alberta,data.Bridges and tunnels,data.All rural municipalities,12.0
2016,Number,Alberta,data.Bridges and tunnels,"data.Rural municipalities, population 1 to 4,999",6.0
2016,Number,Alberta,data.Bridges and tunnels,"data.Rural municipalities, population 5,000 or more",6.0
2016,Number,Alberta,"data.Culture, recreation and sports facilities",data.All municipalities,44.0
2016,Number,Alberta,"data.Culture, recreation and sports facilities",data.All urban municipalities,19.0
2016,Number,Alberta,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 1 to 4,999",6.0
2016,Number,Alberta,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 5,000 to 29,999",7.0
2016,Number,Alberta,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 30,000 or more",6.0
2016,Number,Alberta,"data.Culture, recreation and sports facilities",data.All rural municipalities,25.0
2016,Number,Alberta,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 1 to 4,999",17.0
2016,Number,Alberta,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 5,000 or more",8.0
2016,Number,Alberta,data.Potable water,data.All municipalities,52.0
2016,Number,Alberta,data.Potable water,data.All urban municipalities,21.0
2016,Number,Alberta,data.Potable water,"data.Urban municipalities, population 1 to 4,999",4.0
2016,Number,Alberta,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",8.0
2016,Number,Alberta,data.Potable water,"data.Urban municipalities, population 30,000 or more",8.0
2016,Number,Alberta,data.Potable water,data.All rural municipalities,31.0
2016,Number,Alberta,data.Potable water,"data.Rural municipalities, population 1 to 4,999",22.0
2016,Number,Alberta,data.Potable water,"data.Rural municipalities, population 5,000 or more",9.0
2016,Number,Alberta,Public transit,data.All municipalities,14.0
2016,Number,Alberta,Public transit,data.All urban municipalities,13.0
2016,Number,Alberta,Public transit,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Alberta,Public transit,"data.Urban municipalities, population 5,000 to 29,999",5.0
2016,Number,Alberta,Public transit,"data.Urban municipalities, population 30,000 or more",8.0
2016,Number,Alberta,Public transit,data.All rural municipalities,1.0
2016,Number,Alberta,Public transit,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,Alberta,Public transit,"data.Rural municipalities, population 5,000 or more",1.0
2016,Number,Alberta,data.Roads,data.All municipalities,55.0
2016,Number,Alberta,data.Roads,data.All urban municipalities,19.0
2016,Number,Alberta,data.Roads,"data.Urban municipalities, population 1 to 4,999",4.0
2016,Number,Alberta,data.Roads,"data.Urban municipalities, population 5,000 to 29,999",8.0
2016,Number,Alberta,data.Roads,"data.Urban municipalities, population 30,000 or more",7.0
2016,Number,Alberta,data.Roads,data.All rural municipalities,36.0
2016,Number,Alberta,data.Roads,"data.Rural municipalities, population 1 to 4,999",17.0
2016,Number,Alberta,data.Roads,"data.Rural municipalities, population 5,000 or more",19.0
2016,Number,Alberta,data.Social and affordable housing,data.All municipalities,6.0
2016,Number,Alberta,data.Social and affordable housing,data.All urban municipalities,3.0
2016,Number,Alberta,data.Social and affordable housing,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Alberta,data.Social and affordable housing,"data.Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,Alberta,data.Social and affordable housing,"data.Urban municipalities, population 30,000 or more",2.0
2016,Number,Alberta,data.Social and affordable housing,data.All rural municipalities,3.0
2016,Number,Alberta,data.Social and affordable housing,"data.Rural municipalities, population 1 to 4,999",3.0
2016,Number,Alberta,data.Social and affordable housing,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Alberta,data.Solid waste,data.All municipalities,28.0
2016,Number,Alberta,data.Solid waste,data.All urban municipalities,13.0
2016,Number,Alberta,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",1.0
2016,Number,Alberta,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",6.0
2016,Number,Alberta,data.Solid waste,"data.Urban municipalities, population 30,000 or more",6.0
2016,Number,Alberta,data.Solid waste,data.All rural municipalities,15.0
2016,Number,Alberta,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",12.0
2016,Number,Alberta,data.Solid waste,"data.Rural municipalities, population 5,000 or more",2.0
2016,Number,Alberta,data.Stormwater,data.All municipalities,74.0
2016,Number,Alberta,data.Stormwater,data.All urban municipalities,29.0
2016,Number,Alberta,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",6.0
2016,Number,Alberta,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",14.0
2016,Number,Alberta,data.Stormwater,"data.Urban municipalities, population 30,000 or more",9.0
2016,Number,Alberta,data.Stormwater,data.All rural municipalities,45.0
2016,Number,Alberta,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",25.0
2016,Number,Alberta,data.Stormwater,"data.Rural municipalities, population 5,000 or more",20.0
2016,Number,Alberta,data.Wastewater,data.All municipalities,58.0
2016,Number,Alberta,data.Wastewater,data.All urban municipalities,24.0
2016,Number,Alberta,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",7.0
2016,Number,Alberta,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",11.0
2016,Number,Alberta,data.Wastewater,"data.Urban municipalities, population 30,000 or more",6.0
2016,Number,Alberta,data.Wastewater,data.All rural municipalities,35.0
2016,Number,Alberta,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",19.0
2016,Number,Alberta,data.Wastewater,"data.Rural municipalities, population 5,000 or more",16.0
2016,Number,British Columbia,data.Bridges and tunnels,data.All municipalities,42.0
2016,Number,British Columbia,data.Bridges and tunnels,data.All urban municipalities,29.0
2016,Number,British Columbia,data.Bridges and tunnels,"data.Urban municipalities, population 1 to 4,999",5.0
2016,Number,British Columbia,data.Bridges and tunnels,"data.Urban municipalities, population 5,000 to 29,999",7.0
2016,Number,British Columbia,data.Bridges and tunnels,"data.Urban municipalities, population 30,000 or more",16.0
2016,Number,British Columbia,data.Bridges and tunnels,data.All rural municipalities,13.0
2016,Number,British Columbia,data.Bridges and tunnels,"data.Rural municipalities, population 1 to 4,999",10.0
2016,Number,British Columbia,data.Bridges and tunnels,"data.Rural municipalities, population 5,000 or more",3.0
2016,Number,British Columbia,"data.Culture, recreation and sports facilities",data.All municipalities,33.0
2016,Number,British Columbia,"data.Culture, recreation and sports facilities",data.All urban municipalities,20.0
2016,Number,British Columbia,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 1 to 4,999",3.0
2016,Number,British Columbia,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 5,000 to 29,999",5.0
2016,Number,British Columbia,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 30,000 or more",11.0
2016,Number,British Columbia,"data.Culture, recreation and sports facilities",data.All rural municipalities,13.0
2016,Number,British Columbia,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 1 to 4,999",8.0
2016,Number,British Columbia,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 5,000 or more",5.0
2016,Number,British Columbia,data.Potable water,data.All municipalities,65.0
2016,Number,British Columbia,data.Potable water,data.All urban municipalities,41.0
2016,Number,British Columbia,data.Potable water,"data.Urban municipalities, population 1 to 4,999",5.0
2016,Number,British Columbia,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",17.0
2016,Number,British Columbia,data.Potable water,"data.Urban municipalities, population 30,000 or more",19.0
2016,Number,British Columbia,data.Potable water,data.All rural municipalities,24.0
2016,Number,British Columbia,data.Potable water,"data.Rural municipalities, population 1 to 4,999",17.0
2016,Number,British Columbia,data.Potable water,"data.Rural municipalities, population 5,000 or more",7.0
2016,Number,British Columbia,Public transit,data.All municipalities,5.0
2016,Number,British Columbia,Public transit,data.All urban municipalities,5.0
2016,Number,British Columbia,Public transit,"data.Urban municipalities, population 1 to 4,999",1.0
2016,Number,British Columbia,Public transit,"data.Urban municipalities, population 5,000 to 29,999",2.0
2016,Number,British Columbia,Public transit,"data.Urban municipalities, population 30,000 or more",2.0
2016,Number,British Columbia,Public transit,data.All rural municipalities,0.0
2016,Number,British Columbia,Public transit,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,British Columbia,Public transit,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,British Columbia,data.Roads,data.All municipalities,56.0
2016,Number,British Columbia,data.Roads,data.All urban municipalities,32.0
2016,Number,British Columbia,data.Roads,"data.Urban municipalities, population 1 to 4,999",2.0
2016,Number,British Columbia,data.Roads,"data.Urban municipalities, population 5,000 to 29,999",15.0
2016,Number,British Columbia,data.Roads,"data.Urban municipalities, population 30,000 or more",15.0
2016,Number,British Columbia,data.Roads,data.All rural municipalities,24.0
2016,Number,British Columbia,data.Roads,"data.Rural municipalities, population 1 to 4,999",15.0
2016,Number,British Columbia,data.Roads,"data.Rural municipalities, population 5,000 or more",9.0
2016,Number,British Columbia,data.Social and affordable housing,data.All municipalities,1.0
2016,Number,British Columbia,data.Social and affordable housing,data.All urban municipalities,1.0
2016,Number,British Columbia,data.Social and affordable housing,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,British Columbia,data.Social and affordable housing,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,British Columbia,data.Social and affordable housing,"data.Urban municipalities, population 30,000 or more",1.0
2016,Number,British Columbia,data.Social and affordable housing,data.All rural municipalities,0.0
2016,Number,British Columbia,data.Social and affordable housing,"data.Rural municipalities, population 1 to 4,999",0.0
