Year,Geography,Value
1990,Canada,5.8
1991,Canada,5.8
1992,Canada,5.9
1993,Canada,6.1
1994,Canada,6.1
1995,Canada,6.4
1996,Canada,6.6
1997,Canada,6.8
1998,Canada,7.1
1999,Canada,7.3
2000,Canada,7.4
2001,Canada,7.7
2002,Canada,7.7
2003,Canada,8.4
2004,Canada,8.4
2005,Canada,8.7
2006,Canada,8.7
2007,Canada,9.0
2008,Canada,9.6
2009,Canada,9.8
2010,Canada,9.9
2011,Canada,10.2
2012,Canada,10.3
2013,Canada,11.0
2014,Canada,11.0
2015,Canada,11.2
2016,Canada,11.3
2017,Canada,11.3
2018,Canada,11.7
2019,Canada,12.1
