Year,Units,Geography,Type of cyber-related violation,Cyber-related violation,Value
2015,"Rate per 100,000 population",,,,55.6
2016,"Rate per 100,000 population",,,,73.7
2017,"Rate per 100,000 population",,,,81.7
2018,"Rate per 100,000 population",,,,91.9
2019,"Rate per 100,000 population",,,,129.3
2020,"Rate per 100,000 population",,,,172.0
2021,"Rate per 100,000 population",,,,188.2
2022,"Rate per 100,000 population",,,,191.0
2015,Number,,,,17887.0
2016,Number,,,,23996.0
2017,Number,,,,27829.0
2018,Number,,,,33893.0
2019,Number,,,,48318.0
2020,Number,,,,65141.0
2021,Number,,,,71727.0
2022,Number,,,,74073.0
2015,Number,Canada,Against a person,Luring a child via a computer,850.0
2015,Number,Canada,Against a person,Non-consensual distribution of intimate images,97.0
2015,Number,Canada,Against a person,Extortion,709.0
2015,Number,Canada,Against a person,Criminal harassment,1001.0
2015,Number,Canada,Against a person,Indecent/Harassing communications,1202.0
2015,Number,Canada,Against a person,Uttering threats,1139.0
2015,Number,Canada,Against a person,Fraud,8429.0
2015,Number,Canada,Against a person,Identity theft,191.0
2015,Number,Canada,Against a person,Identity fraud,695.0
2015,Number,Canada,Against a person,Child pornography,1753.0
2015,Number,Canada,Against a person,Making or distribution of child pornography,850.0
2016,Number,Canada,Against a person,Luring a child via a computer,1108.0
2016,Number,Canada,Against a person,Non-consensual distribution of intimate images,295.0
2016,Number,Canada,Against a person,Extortion,797.0
2016,Number,Canada,Against a person,Criminal harassment,1058.0
2016,Number,Canada,Against a person,Indecent/Harassing communications,1655.0
2016,Number,Canada,Against a person,Uttering threats,1356.0
2016,Number,Canada,Against a person,Fraud,11383.0
2016,Number,Canada,Against a person,Identity theft,260.0
2016,Number,Canada,Against a person,Identity fraud,828.0
2016,Number,Canada,Against a person,Child pornography,1278.0
2016,Number,Canada,Against a person,Making or distribution of child pornography,2886.0
2017,Number,Canada,Against a person,Luring a child via a computer,1132.0
2017,Number,Canada,Against a person,Non-consensual distribution of intimate images,516.0
2017,Number,Canada,Against a person,Extortion,893.0
2017,Number,Canada,Against a person,Criminal harassment,1291.0
