Year,Geography,Age group,Sex,Value
,,,,72.4
,,,,70.9
,,,,70.3
,,,,68.6
,,,,67.1
Canada,"Total, 12 years and over",Males,74.5,
Canada,"Total, 12 years and over",Males,72.9,
Canada,"Total, 12 years and over",Males,72.7,
Canada,"Total, 12 years and over",Males,71.2,
Canada,"Total, 12 years and over",Males,69.7,
Canada,"Total, 12 years and over",Females,70.5,
Canada,"Total, 12 years and over",Females,68.9,
Canada,"Total, 12 years and over",Females,68.0,
Canada,"Total, 12 years and over",Females,66.1,
Canada,"Total, 12 years and over",Females,64.5,
Canada,12 to 17 years,Both sexes,77.9,
Canada,12 to 17 years,Both sexes,77.4,
Canada,12 to 17 years,Both sexes,76.0,
Canada,12 to 17 years,Both sexes,74.1,
Canada,12 to 17 years,Both sexes,73.0,
Canada,12 to 17 years,Males,80.2,
Canada,12 to 17 years,Males,79.1,
Canada,12 to 17 years,Males,79.6,
Canada,12 to 17 years,Males,78.5,
Canada,12 to 17 years,Males,79.0,
Canada,12 to 17 years,Females,75.6,
Canada,12 to 17 years,Females,75.5,
Canada,12 to 17 years,Females,72.2,
Canada,12 to 17 years,Females,69.5,
Canada,12 to 17 years,Females,66.7,
Canada,18 to 34 years,Both sexes,72.5,
Canada,18 to 34 years,Both sexes,69.8,
Canada,18 to 34 years,Both sexes,68.7,
Canada,18 to 34 years,Both sexes,64.0,
Canada,18 to 34 years,Both sexes,60.9,
Canada,18 to 34 years,Males,75.3,
Canada,18 to 34 years,Males,72.3,
Canada,18 to 34 years,Males,73.2,
Canada,18 to 34 years,Males,68.5,
Canada,18 to 34 years,Males,65.5,
Canada,18 to 34 years,Females,69.6,
Canada,18 to 34 years,Females,67.1,
Canada,18 to 34 years,Females,64.2,
Canada,18 to 34 years,Females,59.5,
Canada,18 to 34 years,Females,56.2,
Canada,35 to 49 years,Both sexes,72.4,
Canada,35 to 49 years,Both sexes,71.1,
Canada,35 to 49 years,Both sexes,69.9,
Canada,35 to 49 years,Both sexes,68.5,
Canada,35 to 49 years,Both sexes,66.6,
Canada,35 to 49 years,Males,74.3,
Canada,35 to 49 years,Males,74.5,
Canada,35 to 49 years,Males,71.5,
Canada,35 to 49 years,Males,71.6,
Canada,35 to 49 years,Males,69.3,
Canada,35 to 49 years,Females,70.6,
Canada,35 to 49 years,Females,67.8,
Canada,35 to 49 years,Females,68.2,
Canada,35 to 49 years,Females,65.5,
Canada,35 to 49 years,Females,63.9,
Canada,50 to 64 years,Both sexes,72.0,
Canada,50 to 64 years,Both sexes,70.4,
Canada,50 to 64 years,Both sexes,70.0,
Canada,50 to 64 years,Both sexes,69.4,
Canada,50 to 64 years,Both sexes,69.6,
Canada,50 to 64 years,Males,73.6,
Canada,50 to 64 years,Males,71.4,
Canada,50 to 64 years,Males,71.5,
Canada,50 to 64 years,Males,70.3,
Canada,50 to 64 years,Males,70.8,
Canada,50 to 64 years,Females,70.5,
Canada,50 to 64 years,Females,69.5,
Canada,50 to 64 years,Females,68.5,
Canada,50 to 64 years,Females,68.6,
Canada,50 to 64 years,Females,68.5,
Canada,65 years and over,Both sexes,70.5,
Canada,65 years and over,Both sexes,70.3,
Canada,65 years and over,Both sexes,71.4,
Canada,65 years and over,Both sexes,72.2,
Canada,65 years and over,Both sexes,70.8,
Canada,65 years and over,Males,71.9,
Canada,65 years and over,Males,71.2,
Canada,65 years and over,Males,72.3,
Canada,65 years and over,Males,73.2,
Canada,65 years and over,Males,71.4,
Canada,65 years and over,Females,69.4,
Canada,65 years and over,Females,69.5,
Canada,65 years and over,Females,70.6,
Canada,65 years and over,Females,71.3,
Canada,65 years and over,Females,70.3,
Newfoundland and Labrador,"Total, 12 years and over",Both sexes,71.6,
Newfoundland and Labrador,"Total, 12 years and over",Both sexes,70.3,
Newfoundland and Labrador,"Total, 12 years and over",Both sexes,69.1,
Newfoundland and Labrador,"Total, 12 years and over",Both sexes,69.2,
Newfoundland and Labrador,"Total, 12 years and over",Both sexes,68.7,
Newfoundland and Labrador,"Total, 12 years and over",Males,73.7,
Newfoundland and Labrador,"Total, 12 years and over",Males,71.0,
Newfoundland and Labrador,"Total, 12 years and over",Males,70.5,
Newfoundland and Labrador,"Total, 12 years and over",Males,72.3,
Newfoundland and Labrador,"Total, 12 years and over",Males,69.8,
Newfoundland and Labrador,"Total, 12 years and over",Females,69.7,
Newfoundland and Labrador,"Total, 12 years and over",Females,69.6,
Newfoundland and Labrador,"Total, 12 years and over",Females,67.8,
Newfoundland and Labrador,"Total, 12 years and over",Females,66.3,
Newfoundland and Labrador,"Total, 12 years and over",Females,67.7,
Newfoundland and Labrador,12 to 17 years,Both sexes,83.7,
Newfoundland and Labrador,12 to 17 years,Both sexes,70.8,
Newfoundland and Labrador,12 to 17 years,Both sexes,71.4,
Newfoundland and Labrador,12 to 17 years,Both sexes,78.9,
Newfoundland and Labrador,12 to 17 years,Both sexes,73.4,
Newfoundland and Labrador,12 to 17 years,Males,89.1,
Newfoundland and Labrador,12 to 17 years,Males,80.7,
Newfoundland and Labrador,12 to 17 years,Males,70.3,
Newfoundland and Labrador,12 to 17 years,Males,83.4,
Newfoundland and Labrador,12 to 17 years,Males,72.7,
Newfoundland and Labrador,12 to 17 years,Females,77.7,
Newfoundland and Labrador,12 to 17 years,Females,60.9,
Newfoundland and Labrador,12 to 17 years,Females,72.5,
Newfoundland and Labrador,12 to 17 years,Females,73.7,
Newfoundland and Labrador,12 to 17 years,Females,74.1,
Newfoundland and Labrador,18 to 34 years,Both sexes,66.7,
Newfoundland and Labrador,18 to 34 years,Both sexes,69.5,
Newfoundland and Labrador,18 to 34 years,Both sexes,66.3,
Newfoundland and Labrador,18 to 34 years,Both sexes,67.6,
Newfoundland and Labrador,18 to 34 years,Both sexes,63.5,
Newfoundland and Labrador,18 to 34 years,Males,69.4,
Newfoundland and Labrador,18 to 34 years,Males,78.4,
Newfoundland and Labrador,18 to 34 years,Males,72.8,
Newfoundland and Labrador,18 to 34 years,Males,68.4,
Newfoundland and Labrador,18 to 34 years,Males,60.5,
Newfoundland and Labrador,18 to 34 years,Females,64.1,
Newfoundland and Labrador,18 to 34 years,Females,60.4,
Newfoundland and Labrador,18 to 34 years,Females,59.5,
Newfoundland and Labrador,18 to 34 years,Females,66.8,
Newfoundland and Labrador,18 to 34 years,Females,66.5,
Newfoundland and Labrador,35 to 49 years,Both sexes,72.8,
Newfoundland and Labrador,35 to 49 years,Both sexes,69.7,
Newfoundland and Labrador,35 to 49 years,Both sexes,68.3,
Newfoundland and Labrador,35 to 49 years,Both sexes,70.9,
Newfoundland and Labrador,35 to 49 years,Both sexes,67.8,
Newfoundland and Labrador,35 to 49 years,Males,76.9,
Newfoundland and Labrador,35 to 49 years,Males,65.9,
Newfoundland and Labrador,35 to 49 years,Males,71.2,
Newfoundland and Labrador,35 to 49 years,Males,85.2,
Newfoundland and Labrador,35 to 49 years,Males,77.1,
Newfoundland and Labrador,35 to 49 years,Females,69.1,
Newfoundland and Labrador,35 to 49 years,Females,73.3,
Newfoundland and Labrador,35 to 49 years,Females,65.4,
Newfoundland and Labrador,35 to 49 years,Females,57.7,
Newfoundland and Labrador,35 to 49 years,Females,59.2,
Newfoundland and Labrador,50 to 64 years,Both sexes,73.7,
Newfoundland and Labrador,50 to 64 years,Both sexes,73.3,
Newfoundland and Labrador,50 to 64 years,Both sexes,70.6,
Newfoundland and Labrador,50 to 64 years,Both sexes,66.4,
Newfoundland and Labrador,50 to 64 years,Both sexes,72.0,
Newfoundland and Labrador,50 to 64 years,Males,72.0,
Newfoundland and Labrador,50 to 64 years,Males,71.6,
Newfoundland and Labrador,50 to 64 years,Males,70.0,
Newfoundland and Labrador,50 to 64 years,Males,66.6,
Newfoundland and Labrador,50 to 64 years,Males,71.6,
Newfoundland and Labrador,50 to 64 years,Females,75.4,
Newfoundland and Labrador,50 to 64 years,Females,74.9,
Newfoundland and Labrador,50 to 64 years,Females,71.2,
Newfoundland and Labrador,50 to 64 years,Females,66.2,
Newfoundland and Labrador,50 to 64 years,Females,72.3,
Newfoundland and Labrador,65 years and over,Both sexes,68.7,
Newfoundland and Labrador,65 years and over,Both sexes,67.4,
