Year,Geography,Selected diseases,Age,Value
2017,Alberta,Diphtheria,by 2 years of age,79.9
2021,Alberta,Diphtheria,by 2 years of age,74.6
2017,British Columbia,Diphtheria,by 2 years of age,76.6
2021,British Columbia,Diphtheria,by 2 years of age,83.6
2017,Canada,Diphtheria,by 2 years of age,75.8
2019,Canada,Diphtheria,by 2 years of age,77.5
2021,Canada,Diphtheria,by 2 years of age,77.1
2017,Manitoba,Diphtheria,by 2 years of age,67.5
2021,Manitoba,Diphtheria,by 2 years of age,75.5
2017,New Brunswick,Diphtheria,by 2 years of age,75.5
2021,New Brunswick,Diphtheria,by 2 years of age,78.1
2017,Newfoundland and Labrador,Diphtheria,by 2 years of age,88.9
2021,Newfoundland and Labrador,Diphtheria,by 2 years of age,80.0
2017,Northwest Territories,Diphtheria,by 2 years of age,76.7
2021,Northwest Territories,Diphtheria,by 2 years of age,66.0
2017,Nova Scotia,Diphtheria,by 2 years of age,73.8
2021,Nova Scotia,Diphtheria,by 2 years of age,70.3
2017,Nunavut,Diphtheria,by 2 years of age,63.8
2021,Nunavut,Diphtheria,by 2 years of age,24.1
2017,Ontario,Diphtheria,by 2 years of age,75.7
2021,Ontario,Diphtheria,by 2 years of age,76.7
2017,Prince Edward Island,Diphtheria,by 2 years of age,81.2
2021,Prince Edward Island,Diphtheria,by 2 years of age,95.8
2017,Quebec,Diphtheria,by 2 years of age,73.7
2021,Quebec,Diphtheria,by 2 years of age,76.2
2017,Saskatchewan,Diphtheria,by 2 years of age,78.6
2021,Saskatchewan,Diphtheria,by 2 years of age,80.9
2017,Yukon,Diphtheria,by 2 years of age,70.7
2021,Yukon,Diphtheria,by 2 years of age,66.6
2017,Canada,Diphtheria,by 7 years of age,80.5
2019,Canada,Diphtheria,by 7 years of age,78.1
2021,Canada,Diphtheria,by 7 years of age,71.9
2017,Canada,Diphtheria - Tetanus - acellular Pertussis (Tdap) booster,by 17 years of age,89.3
2019,Canada,Diphtheria - Tetanus - acellular Pertussis (Tdap) booster,by 17 years of age,95.3
2021,Canada,Diphtheria - Tetanus - acellular Pertussis (Tdap) booster,by 17 years of age,92.8
2017,Alberta,Haemophilus influenzae type B (Hib),by 2 years of age,79.1
2021,Alberta,Haemophilus influenzae type B (Hib),by 2 years of age,71.1
2017,British Columbia,Haemophilus influenzae type B (Hib),by 2 years of age,74.4
2021,British Columbia,Haemophilus influenzae type B (Hib),by 2 years of age,82.8
2017,Canada,Haemophilus influenzae type B (Hib),by 2 years of age,73.4
2019,Canada,Haemophilus influenzae type B (Hib),by 2 years of age,74.4
2021,Canada,Haemophilus influenzae type B (Hib),by 2 years of age,75.3
2017,Manitoba,Haemophilus influenzae type B (Hib),by 2 years of age,62.2
2021,Manitoba,Haemophilus influenzae type B (Hib),by 2 years of age,75.3
2017,New Brunswick,Haemophilus influenzae type B (Hib),by 2 years of age,74.7
2021,New Brunswick,Haemophilus influenzae type B (Hib),by 2 years of age,75.9
2017,Newfoundland and Labrador,Haemophilus influenzae type B (Hib),by 2 years of age,87.7
2021,Newfoundland and Labrador,Haemophilus influenzae type B (Hib),by 2 years of age,76.8
2017,Northwest Territories,Haemophilus influenzae type B (Hib),by 2 years of age,75.5
2021,Northwest Territories,Haemophilus influenzae type B (Hib),by 2 years of age,60.0
2017,Nova Scotia,Haemophilus influenzae type B (Hib),by 2 years of age,68.5
2021,Nova Scotia,Haemophilus influenzae type B (Hib),by 2 years of age,66.8
2017,Nunavut,Haemophilus influenzae type B (Hib),by 2 years of age,57.2
2021,Nunavut,Haemophilus influenzae type B (Hib),by 2 years of age,24.1
2017,Ontario,Haemophilus influenzae type B (Hib),by 2 years of age,72.9
2021,Ontario,Haemophilus influenzae type B (Hib),by 2 years of age,73.8
2017,Prince Edward Island,Haemophilus influenzae type B (Hib),by 2 years of age,79.8
2021,Prince Edward Island,Haemophilus influenzae type B (Hib),by 2 years of age,95.8
2017,Quebec,Haemophilus influenzae type B (Hib),by 2 years of age,71.3
2021,Quebec,Haemophilus influenzae type B (Hib),by 2 years of age,75.8
2017,Saskatchewan,Haemophilus influenzae type B (Hib),by 2 years of age,75.1
2021,Saskatchewan,Haemophilus influenzae type B (Hib),by 2 years of age,80.6
2017,Yukon,Haemophilus influenzae type B (Hib),by 2 years of age,69.3
2021,Yukon,Haemophilus influenzae type B (Hib),by 2 years of age,64.0
2017,Canada,Haemophilus influenzae type B (Hib),by 7 years of age,83.9
2019,Canada,Haemophilus influenzae type B (Hib),by 7 years of age,80.0
2021,Canada,Haemophilus influenzae type B (Hib),by 7 years of age,78.5
2017,Canada,Hepatitis B,by 14 years of age,83.1
2019,Canada,Hepatitis B,by 14 years of age,84.5
2021,Canada,Hepatitis B,by 14 years of age,89.0
2017,British Columbia,Hepatitis B,by 2 years of age,69.7
2021,British Columbia,Hepatitis B,by 2 years of age,87.1
2017,Canada,Hepatitis B,by 2 years of age,74.1
2019,Canada,Hepatitis B,by 2 years of age,83.6
2021,Canada,Hepatitis B,by 2 years of age,82.6
2017,New Brunswick,Hepatitis B,by 2 years of age,81.0
2021,New Brunswick,Hepatitis B,by 2 years of age,79.8
2017,Northwest Territories,Hepatitis B,by 2 years of age,80.5
2021,Northwest Territories,Hepatitis B,by 2 years of age,81.0
2017,Nunavut,Hepatitis B,by 2 years of age,70.8
2021,Nunavut,Hepatitis B,by 2 years of age,32.5
2017,Prince Edward Island,Hepatitis B,by 2 years of age,86.7
2021,Prince Edward Island,Hepatitis B,by 2 years of age,97.7
2017,Quebec,Hepatitis B,by 2 years of age,75.7
