Year,Series,Disease,Value
2010,Number of cases,Creutzfeldt-Jakob,38.0
2010,Number of cases,HIV and AIDS,52020.0
2010,"Rate per 100,000",Diabetes,686.0
2010,"Rate per 100,000",Ischemic heart disease,738.0
2010,"Rate per 100,000","Dementia, including Alzheimer's disease",1569.0
2010,"Rate per 100,000",Hypertension,2525.0
2010,"Rate per 100,000",Chronic obstructive pulmonary disease,980.0
2010,"Rate per 100,000",Cancer,538.3
2010,"Rate per 100,000",Tuberculosis,4.7
2011,Number of cases,Creutzfeldt-Jakob,51.0
2011,Number of cases,HIV and AIDS,53140.0
2011,"Rate per 100,000",Diabetes,662.0
2011,"Rate per 100,000",Ischemic heart disease,712.0
2011,"Rate per 100,000","Dementia, including Alzheimer's disease",1551.0
2011,"Rate per 100,000",Hypertension,2399.0
2011,"Rate per 100,000",Chronic obstructive pulmonary disease,920.0
2011,"Rate per 100,000",Cancer,542.2
2011,"Rate per 100,000",Tuberculosis,4.7
2012,Number of cases,Creutzfeldt-Jakob,63.0
2012,Number of cases,HIV and AIDS,54100.0
2012,"Rate per 100,000",Diabetes,619.0
2012,"Rate per 100,000",Ischemic heart disease,681.0
2012,"Rate per 100,000","Dementia, including Alzheimer's disease",1514.0
2012,"Rate per 100,000",Hypertension,2236.0
2012,"Rate per 100,000",Chronic obstructive pulmonary disease,883.0
2012,"Rate per 100,000",Cancer,530.4
2012,"Rate per 100,000",Tuberculosis,4.9
2013,Number of cases,Creutzfeldt-Jakob,51.0
2013,Number of cases,HIV and AIDS,55040.0
2013,"Rate per 100,000",Diabetes,627.0
2013,"Rate per 100,000",Ischemic heart disease,658.0
2013,"Rate per 100,000","Dementia, including Alzheimer's disease",1480.0
2013,"Rate per 100,000",Hypertension,2210.0
2013,"Rate per 100,000",Chronic obstructive pulmonary disease,846.0
2013,"Rate per 100,000",Cancer,524.4
2013,"Rate per 100,000",Tuberculosis,4.7
2014,Number of cases,Creutzfeldt-Jakob,56.0
2014,Number of cases,HIV and AIDS,56030.0
2014,"Rate per 100,000",Diabetes,615.0
2014,"Rate per 100,000",Ischemic heart disease,641.0
2014,"Rate per 100,000","Dementia, including Alzheimer's disease",1489.0
2014,"Rate per 100,000",Hypertension,2115.0
2014,"Rate per 100,000",Chronic obstructive pulmonary disease,860.0
2014,"Rate per 100,000",Cancer,519.1
2014,"Rate per 100,000",Tuberculosis,4.5
2015,Number of cases,Creutzfeldt-Jakob,52.0
2015,Number of cases,HIV and AIDS,57080.0
2015,"Rate per 100,000",Diabetes,614.0
2015,"Rate per 100,000",Ischemic heart disease,632.0
2015,"Rate per 100,000","Dementia, including Alzheimer's disease",1467.0
2015,"Rate per 100,000",Hypertension,2048.0
2015,"Rate per 100,000",Chronic obstructive pulmonary disease,828.0
2015,"Rate per 100,000",Cancer,517.1
2015,"Rate per 100,000",Tuberculosis,4.6
2016,Number of cases,Creutzfeldt-Jakob,64.0
2016,Number of cases,HIV and AIDS,58290.0
2016,"Rate per 100,000",Diabetes,616.0
2016,"Rate per 100,000",Ischemic heart disease,629.0
2016,"Rate per 100,000","Dementia, including Alzheimer's disease",1445.0
2016,"Rate per 100,000",Hypertension,1975.0
2016,"Rate per 100,000",Chronic obstructive pulmonary disease,819.0
2016,"Rate per 100,000",Cancer,514.4
2016,"Rate per 100,000",Tuberculosis,4.8
2017,Number of cases,Creutzfeldt-Jakob,87.0
2017,Number of cases,HIV and AIDS,60160.0
2017,"Rate per 100,000",Cancer,495.9
2017,"Rate per 100,000",Tuberculosis,4.9
2018,Number of cases,Creutzfeldt-Jakob,81.0
2018,Number of cases,HIV and AIDS,62050.0
2019,Number of cases,Creutzfeldt-Jakob,78.0
2020,Number of cases,Creutzfeldt-Jakob,54.0
2021,Number of cases,Creutzfeldt-Jakob,2.0
