Year,Units,Sector,Value
2013,Growth rate,Accommodation and food services,21.9
2015,Growth rate,Accommodation and food services,-4.2
2017,Growth rate,Accommodation and food services,-6.8
2013,Growth rate,"Administrative and support, waste management and remediation services",36.5
2015,Growth rate,"Administrative and support, waste management and remediation services",64.3
2017,Growth rate,"Administrative and support, waste management and remediation services",2.2
2013,Growth rate,"Agriculture, forestry, fishing and hunting",20.6
2015,Growth rate,"Agriculture, forestry, fishing and hunting",52.7
2017,Growth rate,"Agriculture, forestry, fishing and hunting",14.6
2013,Growth rate,"Arts, entertainment and recreation",27.6
2015,Growth rate,"Arts, entertainment and recreation",-11.9
2017,Growth rate,"Arts, entertainment and recreation",-11.0
2013,Growth rate,Construction,21.5
2015,Growth rate,Construction,-10.3
2017,Growth rate,Construction,-12.5
2013,Growth rate,Educational services,5.0
2015,Growth rate,Educational services,-13.4
2017,Growth rate,Educational services,0.2
2013,Growth rate,Finance and insurance,19.4
2015,Growth rate,Finance and insurance,-20.4
2017,Growth rate,Finance and insurance,-8.4
2013,Growth rate,Government Education Services,45.2
2015,Growth rate,Government Education Services,-13.2
2017,Growth rate,Government Education Services,-12.3
2013,Growth rate,Government Health Services,48.8
2015,Growth rate,Government Health Services,-16.1
2017,Growth rate,Government Health Services,-13.1
2013,Growth rate,Health care and social assistance,24.8
2015,Growth rate,Health care and social assistance,-17.6
2017,Growth rate,Health care and social assistance,-15.1
2013,Growth rate,Households,-10.8
2015,Growth rate,Households,1.0
2017,Growth rate,Households,-6.1
2013,Growth rate,Information and cultural industries,37.1
2015,Growth rate,Information and cultural industries,-27.1
2017,Growth rate,Information and cultural industries,96.4
2013,Growth rate,Manufacturing,4.6
2015,Growth rate,Manufacturing,-7.7
2017,Growth rate,Manufacturing,1.9
2013,Growth rate,"Mining, quarrying, and oil and gas extraction",18.3
2015,Growth rate,"Mining, quarrying, and oil and gas extraction",0.3
2017,Growth rate,"Mining, quarrying, and oil and gas extraction",10.5
2013,Growth rate,Miscellaneous non-profit institutions serving households,15.5
2015,Growth rate,Miscellaneous non-profit institutions serving households,-18.5
2017,Growth rate,Miscellaneous non-profit institutions serving households,-7.0
2013,Growth rate,"Non-profit arts, entertainment and recreation",32.0
2015,Growth rate,"Non-profit arts, entertainment and recreation",-23.1
2017,Growth rate,"Non-profit arts, entertainment and recreation",-26.2
2013,Growth rate,Non-Profit Education Services,10.3
2015,Growth rate,Non-Profit Education Services,-15.9
2017,Growth rate,Non-Profit Education Services,-2.4
2013,Growth rate,Non-Profit Social Assistance,54.7
2015,Growth rate,Non-Profit Social Assistance,-21.8
2017,Growth rate,Non-Profit Social Assistance,-12.1
2013,Growth rate,Other Aboriginal Government Services,-0.3
2015,Growth rate,Other Aboriginal Government Services,-7.6
2017,Growth rate,Other Aboriginal Government Services,-15.5
2013,Growth rate,Other federal government services,-12.9
2015,Growth rate,Other federal government services,-22.5
2017,Growth rate,Other federal government services,-19.5
2013,Growth rate,"Other finance, insurance and real estate services and management of companies and enterprises",29.9
2015,Growth rate,"Other finance, insurance and real estate services and management of companies and enterprises",-10.1
2017,Growth rate,"Other finance, insurance and real estate services and management of companies and enterprises",-12.4
2013,Growth rate,Other Municipal Government Services,16.7
2015,Growth rate,Other Municipal Government Services,-19.1
2017,Growth rate,Other Municipal Government Services,-12.8
2013,Growth rate,Other provincial and territorial government services,-31.4
2015,Growth rate,Other provincial and territorial government services,-44.8
2017,Growth rate,Other provincial and territorial government services,-10.3
2013,Growth rate,Other services (except public administration),19.5
2015,Growth rate,Other services (except public administration),-15.6
2017,Growth rate,Other services (except public administration),-10.8
2013,Growth rate,"Professional, scientific and technical services",7.1
2015,Growth rate,"Professional, scientific and technical services",-20.2
2017,Growth rate,"Professional, scientific and technical services",-15.3
2013,Growth rate,Real estate and rental and leasing,20.2
2015,Growth rate,Real estate and rental and leasing,-14.7
2017,Growth rate,Real estate and rental and leasing,-12.9
2013,Growth rate,Religious organizations,27.5
2015,Growth rate,Religious organizations,-29.6
2017,Growth rate,Religious organizations,-6.6
2013,Growth rate,Retail trade,32.1
2015,Growth rate,Retail trade,-13.1
2017,Growth rate,Retail trade,-14.5
2013,Growth rate,"Total, industries",7.2
2015,Growth rate,"Total, industries",-3.0
2017,Growth rate,"Total, industries",1.7
2013,Growth rate,,5.4
2015,Growth rate,,-2.7
2017,Growth rate,,1.0
2013,Growth rate,Transportation and warehousing,23.2
2015,Growth rate,Transportation and warehousing,-1.5
2017,Growth rate,Transportation and warehousing,-8.4
2013,Growth rate,Utilities,5.7
2015,Growth rate,Utilities,-6.6
2017,Growth rate,Utilities,0.0
2013,Growth rate,Wholesale trade,31.8
2015,Growth rate,Wholesale trade,-17.4
2017,Growth rate,Wholesale trade,-14.5
