Year,Units,Geography,Fuel type,Demand characteristics,Value
2015,Terajoules,,,,8246990
2016,Terajoules,,,,8155257
2017,Terajoules,,,,8472571
2018,Terajoules,,,,8852052
2019,Terajoules,,,,8882020
2020,Terajoules,,,,"7,947,788"
2021,Terajoules,,,,"8,166,974"
2015,Terajoules,Canada,Total primary and secondary energy,Total industrial,2715105
2016,Terajoules,Canada,Total primary and secondary energy,Total industrial,2665852
2017,Terajoules,Canada,Total primary and secondary energy,Total industrial,2782616
2018,Terajoules,Canada,Total primary and secondary energy,Total industrial,2943256
2019,Terajoules,Canada,Total primary and secondary energy,Total industrial,2969004
2015,Terajoules,Canada,Total primary and secondary energy,Total transportation,2690184
2016,Terajoules,Canada,Total primary and secondary energy,Total transportation,2685273
2017,Terajoules,Canada,Total primary and secondary energy,Total transportation,2723111
2018,Terajoules,Canada,Total primary and secondary energy,Total transportation,2835153
2019,Terajoules,Canada,Total primary and secondary energy,Total transportation,2859564
2015,Terajoules,Canada,Total primary and secondary energy,Agriculture,299012
2016,Terajoules,Canada,Total primary and secondary energy,Agriculture,301913
2017,Terajoules,Canada,Total primary and secondary energy,Agriculture,307916
2018,Terajoules,Canada,Total primary and secondary energy,Agriculture,319001
2019,Terajoules,Canada,Total primary and secondary energy,Agriculture,307901
2015,Terajoules,Canada,Total primary and secondary energy,Residential,1374039
2016,Terajoules,Canada,Total primary and secondary energy,Residential,1327994
2017,Terajoules,Canada,Total primary and secondary energy,Residential,1376349
2018,Terajoules,Canada,Total primary and secondary energy,Residential,1429611
2019,Terajoules,Canada,Total primary and secondary energy,Residential,1422090
2015,Terajoules,Canada,Total primary and secondary energy,Public administration,121943
2016,Terajoules,Canada,Total primary and secondary energy,Public administration,125669
2017,Terajoules,Canada,Total primary and secondary energy,Public administration,130095
2018,Terajoules,Canada,Total primary and secondary energy,Public administration,134171
2019,Terajoules,Canada,Total primary and secondary energy,Public administration,134978
2015,Terajoules,Canada,Total primary and secondary energy,Commercial and other institutional,1048046
2016,Terajoules,Canada,Total primary and secondary energy,Commercial and other institutional,1048549
2017,Terajoules,Canada,Total primary and secondary energy,Commercial and other institutional,1148803
2018,Terajoules,Canada,Total primary and secondary energy,Commercial and other institutional,1185457
2019,Terajoules,Canada,Total primary and secondary energy,Commercial and other institutional,1212605
2015,Terajoules,Canada,Total coal,Energy use - final demand,46410
2016,Terajoules,Canada,Total coal,Energy use - final demand,40275
2017,Terajoules,Canada,Total coal,Energy use - final demand,39664
2018,Terajoules,Canada,Total coal,Energy use - final demand,38972
2019,Terajoules,Canada,Total coal,Energy use - final demand,39237
2015,Terajoules,Canada,Total coal,Total industrial,45006
2016,Terajoules,Canada,Total coal,Total industrial,
2017,Terajoules,Canada,Total coal,Total industrial,38411
2018,Terajoules,Canada,Total coal,Total industrial,37989
2019,Terajoules,Canada,Total coal,Total industrial,39237
2015,Terajoules,Canada,Total coal,Agriculture,
2016,Terajoules,Canada,Total coal,Agriculture,
2017,Terajoules,Canada,Total coal,Agriculture,
2018,Terajoules,Canada,Total coal,Agriculture,
2015,Terajoules,Canada,Total coal,Residential,55
2016,Terajoules,Canada,Total coal,Residential,
2017,Terajoules,Canada,Total coal,Residential,
2018,Terajoules,Canada,Total coal,Residential,0
2015,Terajoules,Canada,Total coal,Commercial and other institutional,
2016,Terajoules,Canada,Total coal,Commercial and other institutional,
2017,Terajoules,Canada,Total coal,Commercial and other institutional,
2018,Terajoules,Canada,Total coal,Commercial and other institutional,0
2019,Terajoules,Canada,Total coal,Commercial and other institutional,0
2015,Terajoules,Canada,Natural gas,Energy use - final demand,2875528
2016,Terajoules,Canada,Natural gas,Energy use - final demand,2785651
2017,Terajoules,Canada,Natural gas,Energy use - final demand,2939389
2018,Terajoules,Canada,Natural gas,Energy use - final demand,3146045
2019,Terajoules,Canada,Natural gas,Energy use - final demand,3170754
2015,Terajoules,Canada,Natural gas,Total industrial,1485959
2016,Terajoules,Canada,Natural gas,Total industrial,1414041
2017,Terajoules,Canada,Natural gas,Total industrial,1488661
2018,Terajoules,Canada,Natural gas,Total industrial,1614300
2019,Terajoules,Canada,Natural gas,Total industrial,1627365
2015,Terajoules,Canada,Natural gas,Total transportation,167166
2016,Terajoules,Canada,Natural gas,Total transportation,170861
2017,Terajoules,Canada,Natural gas,Total transportation,151132
2018,Terajoules,Canada,Natural gas,Total transportation,167409
2019,Terajoules,Canada,Natural gas,Total transportation,169080
2015,Terajoules,Canada,Natural gas,Agriculture,39125
2016,Terajoules,Canada,Natural gas,Agriculture,41293
2017,Terajoules,Canada,Natural gas,Agriculture,39621
2018,Terajoules,Canada,Natural gas,Agriculture,43077
2019,Terajoules,Canada,Natural gas,Agriculture,43438
2015,Terajoules,Canada,Natural gas,Residential,676325
2016,Terajoules,Canada,Natural gas,Residential,649265
2017,Terajoules,Canada,Natural gas,Residential,696843
2018,Terajoules,Canada,Natural gas,Residential,734933
2019,Terajoules,Canada,Natural gas,Residential,731054
2015,Terajoules,Canada,Natural gas,Public administration,23260
2016,Terajoules,Canada,Natural gas,Public administration,24475
2017,Terajoules,Canada,Natural gas,Public administration,28425
2018,Terajoules,Canada,Natural gas,Public administration,29102
2019,Terajoules,Canada,Natural gas,Public administration,31167
2015,Terajoules,Canada,Natural gas,Commercial and other institutional,483693
2016,Terajoules,Canada,Natural gas,Commercial and other institutional,485716
2017,Terajoules,Canada,Natural gas,Commercial and other institutional,534707
2018,Terajoules,Canada,Natural gas,Commercial and other institutional,557225
2019,Terajoules,Canada,Natural gas,Commercial and other institutional,568649
2015,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Energy use - final demand,126133
2016,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Energy use - final demand,130540
2017,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Energy use - final demand,139562
2018,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Energy use - final demand,147619
2019,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Energy use - final demand,148907
