Year,Geography,Industry,Value
2015,Canada,All industries,1.716483
2016,Canada,All industries,1.6816213
2017,Canada,All industries,1.7161676
2018,Canada,All industries,1.7090543
2019,Canada,All industries,1.7531492
2015,Canada,Utilities,55.9694607
2016,Canada,Utilities,56.8557891
2017,Canada,Utilities,58.7697759
2018,Canada,Utilities,59.2795472
2019,Canada,Utilities,61.2472889
2015,Canada,Construction,5.6102516
2016,Canada,Construction,5.2477201
2017,Canada,Construction,5.0022669
2018,Canada,Construction,4.2209556
2019,Canada,Construction,4.2640188
2015,Canada,Manufacturing,2.1994372
2016,Canada,Manufacturing,1.8980394
2017,Canada,Manufacturing,2.2220485
2018,Canada,Manufacturing,2.401851
2019,Canada,Manufacturing,2.4071571
2015,Canada,"Professional, scientific and technical services",3.1431428
2016,Canada,"Professional, scientific and technical services",3.3323208
2017,Canada,"Professional, scientific and technical services",3.5353489
2018,Canada,"Professional, scientific and technical services",3.7405163
2019,Canada,"Professional, scientific and technical services",4.000353
2015,Canada,"Administrative and support, waste management and remediation services",4.3089583
2016,Canada,"Administrative and support, waste management and remediation services",4.6237337
2017,Canada,"Administrative and support, waste management and remediation services",4.6754721
2018,Canada,"Administrative and support, waste management and remediation services",4.9554573
2019,Canada,"Administrative and support, waste management and remediation services",4.9488701
2015,Canada,Other industries,0.4072426
2016,Canada,Other industries,0.408637
2017,Canada,Other industries,0.4212947
2018,Canada,Other industries,0.4287545
2019,Canada,Other industries,0.4325874
2015,Newfoundland and Labrador,All industries,5.4644526
2016,Newfoundland and Labrador,All industries,5.4911144
2017,Newfoundland and Labrador,All industries,5.6370709
2018,Newfoundland and Labrador,All industries,5.3254384
2019,Newfoundland and Labrador,All industries,5.6858532
2015,Newfoundland and Labrador,Utilities,84.5922747
2016,Newfoundland and Labrador,Utilities,88.9848812
2017,Newfoundland and Labrador,Utilities,91.4159292
2018,Newfoundland and Labrador,Utilities,96.3992172
2019,Newfoundland and Labrador,Utilities,109.2653061
2015,Newfoundland and Labrador,Construction,28.8180693
2016,Newfoundland and Labrador,Construction,30.5862362
2017,Newfoundland and Labrador,Construction,34.4071763
2018,Newfoundland and Labrador,Construction,34.0900819
2019,Newfoundland and Labrador,Construction,34.3439384
2015,Newfoundland and Labrador,Manufacturing,0.5007991
2016,Newfoundland and Labrador,Manufacturing,0.4817789
2017,Newfoundland and Labrador,Manufacturing,0.8412483
2018,Newfoundland and Labrador,Manufacturing,1.4154653
2019,Newfoundland and Labrador,Manufacturing,1.2476606
2015,Newfoundland and Labrador,"Professional, scientific and technical services",2.7784578
2016,Newfoundland and Labrador,"Professional, scientific and technical services",3.4354354
2017,Newfoundland and Labrador,"Professional, scientific and technical services",2.3791822
2018,Newfoundland and Labrador,"Professional, scientific and technical services",2.3981374
2019,Newfoundland and Labrador,"Professional, scientific and technical services",2.4636058
2015,Newfoundland and Labrador,"Administrative and support, waste management and remediation services",7.4896437
2016,Newfoundland and Labrador,"Administrative and support, waste management and remediation services",7.2925764
2017,Newfoundland and Labrador,"Administrative and support, waste management and remediation services",8.3095417
2018,Newfoundland and Labrador,"Administrative and support, waste management and remediation services",9.5069904
2019,Newfoundland and Labrador,"Administrative and support, waste management and remediation services",9.2020129
2015,Newfoundland and Labrador,Other industries,0.3881206
2016,Newfoundland and Labrador,Other industries,0.380557
2017,Newfoundland and Labrador,Other industries,0.369722
2018,Newfoundland and Labrador,Other industries,0.4022077
2019,Newfoundland and Labrador,Other industries,0.3954769
2015,Prince Edward Island,All industries,1.2302113
2016,Prince Edward Island,All industries,1.5922799
2017,Prince Edward Island,All industries,1.4012131
2018,Prince Edward Island,All industries,1.3629075
2019,Prince Edward Island,All industries,1.4168618
2015,Prince Edward Island,Utilities,37.9220779
2016,Prince Edward Island,Utilities,36.2025316
2017,Prince Edward Island,Utilities,30.2380952
2018,Prince Edward Island,Utilities,36.1445783
2019,Prince Edward Island,Utilities,44.1025641
2015,Prince Edward Island,Construction,4.3076923
2016,Prince Edward Island,Construction,10.0547645
2017,Prince Edward Island,Construction,7.6552363
2018,Prince Edward Island,Construction,3.9103139
2019,Prince Edward Island,Construction,3.3653008
2015,Prince Edward Island,Manufacturing,0.5137615
2016,Prince Edward Island,Manufacturing,0.6280667
2017,Prince Edward Island,Manufacturing,0.7372401
2018,Prince Edward Island,Manufacturing,1.8478261
2019,Prince Edward Island,Manufacturing,1.7605634
2015,Prince Edward Island,"Professional, scientific and technical services",2.0920502
2016,Prince Edward Island,"Professional, scientific and technical services",2.0964361
2017,Prince Edward Island,"Professional, scientific and technical services",1.7241379
2018,Prince Edward Island,"Professional, scientific and technical services",2.7898551
2019,Prince Edward Island,"Professional, scientific and technical services",2.8951747
2015,Prince Edward Island,"Administrative and support, waste management and remediation services",4.4197138
2016,Prince Edward Island,"Administrative and support, waste management and remediation services",4.6183953
2017,Prince Edward Island,"Administrative and support, waste management and remediation services",4.2307692
2018,Prince Edward Island,"Administrative and support, waste management and remediation services",5.2290076
2019,Prince Edward Island,"Administrative and support, waste management and remediation services",6.8123862
2015,Prince Edward Island,Other industries,0.5791125
2016,Prince Edward Island,Other industries,0.5768884
2017,Prince Edward Island,Other industries,0.5170903
2018,Prince Edward Island,Other industries,0.5798102
2019,Prince Edward Island,Other industries,0.5918557
2015,Nova Scotia,All industries,1.1809902
2016,Nova Scotia,All industries,1.1328779
2017,Nova Scotia,All industries,1.1976599
2018,Nova Scotia,All industries,1.2578427
2019,Nova Scotia,All industries,1.2683444
2015,Nova Scotia,Utilities,11.2955466
2016,Nova Scotia,Utilities,11.8714556
2017,Nova Scotia,Utilities,13.1782946
2018,Nova Scotia,Utilities,14.1001855
2019,Nova Scotia,Utilities,13.2368897
2015,Nova Scotia,Construction,4.8491119
2016,Nova Scotia,Construction,3.0273698
2017,Nova Scotia,Construction,3.3333333
2018,Nova Scotia,Construction,3.0255591
2019,Nova Scotia,Construction,2.7028704
2015,Nova Scotia,Manufacturing,1.4920997
2016,Nova Scotia,Manufacturing,1.9052272
2017,Nova Scotia,Manufacturing,1.9338761
2018,Nova Scotia,Manufacturing,1.6273813
2019,Nova Scotia,Manufacturing,1.2430081
2015,Nova Scotia,"Professional, scientific and technical services",2.4945926
2016,Nova Scotia,"Professional, scientific and technical services",2.565101
2017,Nova Scotia,"Professional, scientific and technical services",3.3435366
2018,Nova Scotia,"Professional, scientific and technical services",4.2290553
2019,Nova Scotia,"Professional, scientific and technical services",4.9339207
2015,Nova Scotia,"Administrative and support, waste management and remediation services",7.7833028
2016,Nova Scotia,"Administrative and support, waste management and remediation services",7.8881531
2017,Nova Scotia,"Administrative and support, waste management and remediation services",7.0613929
2018,Nova Scotia,"Administrative and support, waste management and remediation services",7.8440582
2019,Nova Scotia,"Administrative and support, waste management and remediation services",8.5955848
2015,Nova Scotia,Other industries,0.3420216
2016,Nova Scotia,Other industries,0.3432887
2017,Nova Scotia,Other industries,0.3752554
2018,Nova Scotia,Other industries,0.3916721
2019,Nova Scotia,Other industries,0.3878408
2015,New Brunswick,All industries,1.4998778
2016,New Brunswick,All industries,1.5992397
2017,New Brunswick,All industries,1.5854376
2018,New Brunswick,All industries,1.6427341
2019,New Brunswick,All industries,1.6654808
2015,New Brunswick,Utilities,46.1595547
2016,New Brunswick,Utilities,47.4906367
2017,New Brunswick,Utilities,48.1654676
2018,New Brunswick,Utilities,49.0405904
2019,New Brunswick,Utilities,54.4347826
2015,New Brunswick,Construction,2.6277683
2016,New Brunswick,Construction,3.9184692
2017,New Brunswick,Construction,4.4907319
2018,New Brunswick,Construction,4.5420816
2019,New Brunswick,Construction,3.8854489
2015,New Brunswick,Manufacturing,3.5332894
2016,New Brunswick,Manufacturing,3.562864
2017,New Brunswick,Manufacturing,2.9780926
2018,New Brunswick,Manufacturing,2.6568266
2019,New Brunswick,Manufacturing,2.9232562
2015,New Brunswick,"Professional, scientific and technical services",2.3911383
2016,New Brunswick,"Professional, scientific and technical services",2.7319211
2017,New Brunswick,"Professional, scientific and technical services",1.8635363
2018,New Brunswick,"Professional, scientific and technical services",3.6174636
2019,New Brunswick,"Professional, scientific and technical services",3.4715201
2015,New Brunswick,"Administrative and support, waste management and remediation services",3.8135938
2016,New Brunswick,"Administrative and support, waste management and remediation services",4.5716946
2017,New Brunswick,"Administrative and support, waste management and remediation services",5.1003009
