Year,Géographie,Type de région,Mode d'occupation,Select housing-vulnerable populations,GeoCode,Value
2018,,,,,,11.3
2018,Canada (provinces seulement),Canada (provinces seulement),Propriétaire,,,6.1
2018,Canada (provinces seulement),Canada (provinces seulement),Propriétaire qui est un accédant à la propriété,,,6.4
2018,Canada (provinces seulement),Canada (provinces seulement),Propriétaire qui n'est pas un accédant à la propriété,,,6.1
2018,Canada (provinces seulement),Canada (provinces seulement),Locataire,,,22.0
2018,Canada (provinces seulement),Canada (provinces seulement),Locataire n'habitant pas dans un logement social et abordable,,,21.0
2018,Canada (provinces seulement),Canada (provinces seulement),Locataire habitant dans un logement social et abordable,,,32.0
2018,Terre-Neuve-et-Labrador,Province,"Total, mode d'occupation",,10,8.9
2018,Terre-Neuve-et-Labrador,Province,Propriétaire,,10,4.4
2018,Terre-Neuve-et-Labrador,Province,Propriétaire qui est un accédant à la propriété,,10,
2018,Terre-Neuve-et-Labrador,Province,Propriétaire qui n'est pas un accédant à la propriété,,10,4.7
2018,Terre-Neuve-et-Labrador,Province,Locataire,,10,26.0
2018,Terre-Neuve-et-Labrador,Province,Locataire n'habitant pas dans un logement social et abordable,,10,23.0
2018,Terre-Neuve-et-Labrador,Province,Locataire habitant dans un logement social et abordable,,10,38.0
2018,Terre-Neuve-et-Labrador,Grands centres de population urbains,"Total, mode d'occupation",,,10.3
2018,Terre-Neuve-et-Labrador,Grands centres de population urbains,Propriétaire,,,3.7
2018,Terre-Neuve-et-Labrador,Grands centres de population urbains,Propriétaire qui est un accédant à la propriété,,,
2018,Terre-Neuve-et-Labrador,Grands centres de population urbains,Propriétaire qui n'est pas un accédant à la propriété,,,4.2
2018,Terre-Neuve-et-Labrador,Grands centres de population urbains,Locataire,,,26.0
2018,Terre-Neuve-et-Labrador,Grands centres de population urbains,Locataire n'habitant pas dans un logement social et abordable,,,23.0
2018,Terre-Neuve-et-Labrador,Grands centres de population urbains,Locataire habitant dans un logement social et abordable,,,38.0
2018,Terre-Neuve-et-Labrador,Petits centres de population,"Total, mode d'occupation",,,9.1
2018,Terre-Neuve-et-Labrador,Petits centres de population,Propriétaire,,,2.7
2018,Terre-Neuve-et-Labrador,Petits centres de population,Propriétaire qui est un accédant à la propriété,,,
2018,Terre-Neuve-et-Labrador,Petits centres de population,Propriétaire qui n'est pas un accédant à la propriété,,,3.0
2018,Terre-Neuve-et-Labrador,Petits centres de population,Locataire,,,27.0
2018,Terre-Neuve-et-Labrador,Petits centres de population,Locataire n'habitant pas dans un logement social et abordable,,,24.0
2018,Terre-Neuve-et-Labrador,Petits centres de population,Locataire habitant dans un logement social et abordable,,,35.0
2018,Terre-Neuve-et-Labrador,Régions rurales,"Total, mode d'occupation",,,7.6
2018,Terre-Neuve-et-Labrador,Régions rurales,Propriétaire,,,6.0
