Year,Géographie,Genre,Principal mode de transport pour la navette,GeoCode,Value
2016,Terre-Neuve-et-Labrador,Total,Transport durable,10,7.5
2016,Terre-Neuve-et-Labrador,Total,Transport en commun,10,2.5
2016,Terre-Neuve-et-Labrador,Total,Transport actif,10,5.0
2016,"St. John's (RMR), T.-N.-L.",Total,Transport durable,001,7.9
2016,"St. John's (RMR), T.-N.-L.",Total,Transport en commun,001,3.1
2016,"St. John's (RMR), T.-N.-L.",Total,Transport actif,001,4.8
2016,Île-du-Prince-Édouard,Total,Transport durable,11,7.2
2016,Île-du-Prince-Édouard,Total,Transport en commun,11,1.4
2016,Île-du-Prince-Édouard,Total,Transport actif,11,5.8
2016,Nouvelle-Écosse,Total,Transport durable,12,13.3
2016,Nouvelle-Écosse,Total,Transport en commun,12,6.4
2016,Nouvelle-Écosse,Total,Transport actif,12,6.9
2016,"Halifax (RMR), N.-É.",Total,Transport durable,205,21.0
2016,"Halifax (RMR), N.-É.",Total,Transport en commun,205,11.8
2016,"Halifax (RMR), N.-É.",Total,Transport actif,205,9.2
2016,Nouveau-Brunswick,Total,Transport durable,13,7.3
2016,Nouveau-Brunswick,Total,Transport en commun,13,2.3
2016,Nouveau-Brunswick,Total,Transport actif,13,5.0
2016,"Moncton (RMR), N.-B.",Total,Transport durable,305,9.4
2016,"Moncton (RMR), N.-B.",Total,Transport en commun,305,3.4
2016,"Moncton (RMR), N.-B.",Total,Transport actif,305,6.0
2016,"Saint John (RMR), N.-B.",Total,Transport durable,310,9.5
2016,"Saint John (RMR), N.-B.",Total,Transport en commun,310,4.1
2016,"Saint John (RMR), N.-B.",Total,Transport actif,310,5.4
2016,Québec,Total,Transport durable,24,20.8
2016,Québec,Total,Transport en commun,24,13.7
2016,Québec,Total,Transport actif,24,7.1
2016,"Montréal (RMR), Qc",Total,Transport durable,462,29.5
2016,"Montréal (RMR), Qc",Total,Transport en commun,462,22.3
2016,"Montréal (RMR), Qc",Total,Transport actif,462,7.2
2016,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Total,Transport durable,24505,20.5
2016,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Total,Transport en commun,24505,14.5
2016,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Total,Transport actif,24505,6.0
2016,"Québec (RMR), Qc",Total,Transport durable,421,18.7
2016,"Québec (RMR), Qc",Total,Transport en commun,421,11.1
2016,"Québec (RMR), Qc",Total,Transport actif,421,7.6
2016,"Saguenay (RMR), Qc",Total,Transport durable,408,6.5
