Year,Géographie,Catégorie de produits,GeoCode,Value
2015,,,,1.43
2016,,,,1.42
2017,,,,1.42
2018,,,,1.43
2019,,,,1.42
2020,,,,1.43
2021,,,,1.43
2022,,,,1.43
2015,Canada,Matériaux de construction,,1.17
2015,Canada,Équipements électriques et électroniques,,1.0
2015,Canada,Matériel électronique,,1.06
2015,Canada,Gros appareils électroménagers,,0.31
2015,Canada,Autres équipements électriques et électroniques,,1.06
2015,Canada,Emballages,,1.35
2015,Canada,Bouteilles,,1.36
2015,Canada,Films,,1.35
2015,Canada,Rigides non-bouteilles,,1.35
2015,Canada,Autres produits d'emballage,,1.35
2015,Canada,Films agricoles,,1.2
2015,Canada,Textiles,,1.09
2015,Canada,Véhicules de transport,,1.37
2015,Canada,Véhicules légers,,1.45
2015,Canada,Autres véhicules de transport,,1.26
2015,Canada,Autres produits,,1.82
2015,Terre-Neuve-et-Labrador,"Total, toutes les catégories de produits",10,2.34
2015,Terre-Neuve-et-Labrador,Matériaux de construction,10,1.19
2015,Terre-Neuve-et-Labrador,Équipements électriques et électroniques,10,0.99
2015,Terre-Neuve-et-Labrador,Emballages,10,1.35
2015,Terre-Neuve-et-Labrador,Films agricoles,10,1.43
2015,Terre-Neuve-et-Labrador,Textiles,10,1.08
2015,Terre-Neuve-et-Labrador,Véhicules de transport,10,6.04
2015,Terre-Neuve-et-Labrador,Autres produits,10,1.78
2015,Île-du-Prince-Édouard,"Total, toutes les catégories de produits",11,1.38
2015,Île-du-Prince-Édouard,Matériaux de construction,11,1.31
2015,Île-du-Prince-Édouard,Équipements électriques et électroniques,11,1.0
2015,Île-du-Prince-Édouard,Emballages,11,1.34
2015,Île-du-Prince-Édouard,Films agricoles,11,1.26
2015,Île-du-Prince-Édouard,Textiles,11,1.05
2015,Île-du-Prince-Édouard,Véhicules de transport,11,1.26
2015,Île-du-Prince-Édouard,Autres produits,11,1.79
2015,Nouvelle-Écosse,"Total, toutes les catégories de produits",12,1.37
2015,Nouvelle-Écosse,Matériaux de construction,12,1.17
2015,Nouvelle-Écosse,Équipements électriques et électroniques,12,0.96
2015,Nouvelle-Écosse,Emballages,12,1.35
2015,Nouvelle-Écosse,Films agricoles,12,1.26
2015,Nouvelle-Écosse,Textiles,12,1.08
2015,Nouvelle-Écosse,Véhicules de transport,12,1.24
2015,Nouvelle-Écosse,Autres produits,12,1.8
2015,Nouveau-Brunswick,"Total, toutes les catégories de produits",13,1.39
2015,Nouveau-Brunswick,Matériaux de construction,13,1.16
2015,Nouveau-Brunswick,Équipements électriques et électroniques,13,1.0
2015,Nouveau-Brunswick,Emballages,13,1.35
2015,Nouveau-Brunswick,Films agricoles,13,1.26
2015,Nouveau-Brunswick,Textiles,13,1.09
2015,Nouveau-Brunswick,Véhicules de transport,13,1.23
2015,Nouveau-Brunswick,Autres produits,13,1.78
2015,Québec,"Total, toutes les catégories de produits",24,1.39
2015,Québec,Matériaux de construction,24,1.17
2015,Québec,Équipements électriques et électroniques,24,0.99
2015,Québec,Emballages,24,1.35
2015,Québec,Films agricoles,24,1.19
2015,Québec,Textiles,24,1.09
2015,Québec,Véhicules de transport,24,1.23
2015,Québec,Autres produits,24,1.83
2015,Ontario,"Total, toutes les catégories de produits",35,1.42
2015,Ontario,Matériaux de construction,35,1.17
2015,Ontario,Équipements électriques et électroniques,35,1.0
2015,Ontario,Emballages,35,1.35
2015,Ontario,Films agricoles,35,1.2
2015,Ontario,Textiles,35,1.09
2015,Ontario,Véhicules de transport,35,1.26
2015,Ontario,Autres produits,35,1.82
2015,Manitoba,"Total, toutes les catégories de produits",46,1.4
2015,Manitoba,Matériaux de construction,46,1.18
2015,Manitoba,Équipements électriques et électroniques,46,0.99
2015,Manitoba,Emballages,46,1.35
2015,Manitoba,Films agricoles,46,1.21
2015,Manitoba,Textiles,46,1.09
2015,Manitoba,Véhicules de transport,46,1.23
2015,Manitoba,Autres produits,46,1.84
2015,Saskatchewan,"Total, toutes les catégories de produits",47,1.39
2015,Saskatchewan,Matériaux de construction,47,1.17
2015,Saskatchewan,Équipements électriques et électroniques,47,1.0
2015,Saskatchewan,Emballages,47,1.35
2015,Saskatchewan,Films agricoles,47,1.2
2015,Saskatchewan,Textiles,47,1.09
2015,Saskatchewan,Véhicules de transport,47,1.24
2015,Saskatchewan,Autres produits,47,1.75
2015,Alberta,"Total, toutes les catégories de produits",48,1.43
2015,Alberta,Matériaux de construction,48,1.17
2015,Alberta,Équipements électriques et électroniques,48,1.03
2015,Alberta,Emballages,48,1.35
2015,Alberta,Films agricoles,48,1.2
2015,Alberta,Textiles,48,1.09
2015,Alberta,Véhicules de transport,48,1.24
2015,Alberta,Autres produits,48,1.79
2015,Colombie-Britannique,"Total, toutes les catégories de produits",59,1.41
2015,Colombie-Britannique,Matériaux de construction,59,1.17
2015,Colombie-Britannique,Équipements électriques et électroniques,59,0.97
2015,Colombie-Britannique,Emballages,59,1.35
2015,Colombie-Britannique,Films agricoles,59,1.2
2015,Colombie-Britannique,Textiles,59,1.09
2015,Colombie-Britannique,Véhicules de transport,59,1.24
2015,Colombie-Britannique,Autres produits,59,1.82
2015,Yukon,"Total, toutes les catégories de produits",60,2.1
2015,Yukon,Matériaux de construction,60,1.08
2015,Yukon,Équipements électriques et électroniques,60,1.07
2015,Yukon,Emballages,60,1.35
2015,Yukon,Films agricoles,60,0.0
2015,Yukon,Textiles,60,0.95
2015,Yukon,Véhicules de transport,60,5.76
2015,Yukon,Autres produits,60,1.8
2015,Territoires du Nord-Ouest,"Total, toutes les catégories de produits",61,1.91
2015,Territoires du Nord-Ouest,Matériaux de construction,61,1.12
2015,Territoires du Nord-Ouest,Équipements électriques et électroniques,61,0.85
2015,Territoires du Nord-Ouest,Emballages,61,1.35
2015,Territoires du Nord-Ouest,Films agricoles,61,0.0
