Year,Units,État des stocks,Région,Groupe de stocks,Value
2011,Nombre de stocks,Zone saine,Canada,Tous les groupes de stocks,72.0
2012,Nombre de stocks,Zone saine,Canada,Tous les groupes de stocks,75.0
2013,Nombre de stocks,Zone saine,Canada,Tous les groupes de stocks,74.0
2014,Nombre de stocks,Zone saine,Canada,Tous les groupes de stocks,75.0
2015,Nombre de stocks,Zone saine,Canada,Tous les groupes de stocks,78.0
2016,Nombre de stocks,Zone saine,Canada,Tous les groupes de stocks,76.0
2017,Nombre de stocks,Zone saine,Canada,Tous les groupes de stocks,63.0
2018,Nombre de stocks,Zone saine,Canada,Tous les groupes de stocks,58.0
2019,Nombre de stocks,Zone saine,Canada,Tous les groupes de stocks,52.0
2020,Nombre de stocks,Zone saine,Canada,Tous les groupes de stocks,56.0
2021,Nombre de stocks,Zone saine,Canada,Tous les groupes de stocks,66.0
2022,Nombre de stocks,Zone saine,Canada,Tous les groupes de stocks,66.0
2011,Nombre de stocks,Zone de prudence,Canada,Tous les groupes de stocks,31.0
2012,Nombre de stocks,Zone de prudence,Canada,Tous les groupes de stocks,37.0
2013,Nombre de stocks,Zone de prudence,Canada,Tous les groupes de stocks,41.0
2014,Nombre de stocks,Zone de prudence,Canada,Tous les groupes de stocks,40.0
2015,Nombre de stocks,Zone de prudence,Canada,Tous les groupes de stocks,31.0
2016,Nombre de stocks,Zone de prudence,Canada,Tous les groupes de stocks,31.0
2017,Nombre de stocks,Zone de prudence,Canada,Tous les groupes de stocks,25.0
2018,Nombre de stocks,Zone de prudence,Canada,Tous les groupes de stocks,27.0
2019,Nombre de stocks,Zone de prudence,Canada,Tous les groupes de stocks,29.0
2020,Nombre de stocks,Zone de prudence,Canada,Tous les groupes de stocks,23.0
2021,Nombre de stocks,Zone de prudence,Canada,Tous les groupes de stocks,27.0
2022,Nombre de stocks,Zone de prudence,Canada,Tous les groupes de stocks,24.0
2011,Nombre de stocks,Zone critique,Canada,Tous les groupes de stocks,17.0
2012,Nombre de stocks,Zone critique,Canada,Tous les groupes de stocks,15.0
2013,Nombre de stocks,Zone critique,Canada,Tous les groupes de stocks,16.0
2014,Nombre de stocks,Zone critique,Canada,Tous les groupes de stocks,15.0
2015,Nombre de stocks,Zone critique,Canada,Tous les groupes de stocks,19.0
2016,Nombre de stocks,Zone critique,Canada,Tous les groupes de stocks,21.0
2017,Nombre de stocks,Zone critique,Canada,Tous les groupes de stocks,18.0
