Year,Groupe d'espèces ou système,Value
2015,,-6.61
2016,,-6.44
2017,,-7.48
2018,,-7.43
2015,Indice des oiseaux,6.08
2016,Indice des oiseaux,5.73
2017,Indice des oiseaux,5.67
2018,Indice des oiseaux,5.79
2015,Indice des mammifères,-37.45
2016,Indice des mammifères,-36.99
2017,Indice des mammifères,-42.68
2018,Indice des mammifères,-42.26
2015,Indice des poissons,-23.58
2016,Indice des poissons,-22.8
2017,Indice des poissons,-26.55
2018,Indice des poissons,-29.81
2015,Indice terrestre,-13.55
2016,Indice terrestre,-13.44
2017,Indice terrestre,-14.25
2018,Indice terrestre,-14.21
2015,Indice d'eau douce,36.56
2016,Indice d'eau douce,36.52
2017,Indice d'eau douce,37.83
2018,Indice d'eau douce,37.71
2015,Indice marin,-11.12
2016,Indice marin,-10.82
2017,Indice marin,-16.94
2018,Indice marin,-16.49
