Year,Indice,Value
2001,,62
2006,,65
2011,,66
2016,,67
2021,,65
2001,Biodiversité,51
2006,Biodiversité,54
2011,Biodiversité,55
1981,Qualité des sols,64
1986,Qualité des sols,65
1991,Qualité des sols,66
1996,Qualité des sols,70
2001,Qualité des sols,75
2006,Qualité des sols,78
2011,Qualité des sols,78
1981,Qualité de l'eau,82
1986,Qualité de l'eau,79
1991,Qualité de l'eau,79
1996,Qualité de l'eau,76
2001,Qualité de l'eau,74
2006,Qualité de l'eau,75
2011,Qualité de l'eau,75
1981,Qualité de l'air,51
1986,Qualité de l'air,52
1991,Qualité de l'air,54
1996,Qualité de l'air,54
2001,Qualité de l'air,55
2006,Qualité de l'air,60
2011,Qualité de l'air,63
2016,Qualité des sols,77
2016,Qualité de l'eau,77
2016,Qualité de l'air,63
2016,Biodiversité,54
