Year,Units,Géographie,Type d'événement,GeoCode,Value
2016,Taux par 100 000 personnes,Canada,Décès totaux apparemment liés à une intoxication aux opioïdes,,7.8
2016,Nombre,Canada,Décès totaux apparemment liés à une intoxication aux opioïdes,,2830
2017,Taux par 100 000 personnes,Canada,Décès totaux apparemment liés à une intoxication aux opioïdes,,10.7
2017,Nombre,Canada,Décès totaux apparemment liés à une intoxication aux opioïdes,,3924
2018,Taux par 100 000 personnes,Canada,Décès totaux apparemment liés à une intoxication aux opioïdes,,11.3
2018,Nombre,Canada,Décès totaux apparemment liés à une intoxication aux opioïdes,,4201
2019,Taux par 100 000 personnes,Canada,Décès totaux apparemment liés à une intoxication aux opioïdes,,9.9
2019,Nombre,Canada,Décès totaux apparemment liés à une intoxication aux opioïdes,,3711
2020,Taux par 100 000 personnes,Canada,Décès totaux apparemment liés à une intoxication aux opioïdes,,16.9
2020,Nombre,Canada,Décès totaux apparemment liés à une intoxication aux opioïdes,,6423
2021,Taux par 100 000 personnes,Canada,Décès totaux apparemment liés à une intoxication aux opioïdes,,20.9
2021,Nombre,Canada,Décès totaux apparemment liés à une intoxication aux opioïdes,,8006
2016,Taux par 100 000 personnes,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux opioïdes,59,16.6
2016,Nombre,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux opioïdes,59,805
2017,Taux par 100 000 personnes,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux opioïdes,59,26.3
2017,Nombre,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux opioïdes,59,1296
2018,Taux par 100 000 personnes,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux opioïdes,59,26.9
2018,Nombre,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux opioïdes,59,1348
2019,Taux par 100 000 personnes,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux opioïdes,59,20
2019,Nombre,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux opioïdes,59,1020
2020,Taux par 100 000 personnes,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux opioïdes,59,34.8
2020,Nombre,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux opioïdes,59,1794
2021,Taux par 100 000 personnes,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux opioïdes,59,44.8
2021,Nombre,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux opioïdes,59,2333
2016,Taux par 100 000 personnes,Alberta,Décès totaux apparemment liés à une intoxication aux opioïdes,48,14.3
2016,Nombre,Alberta,Décès totaux apparemment liés à une intoxication aux opioïdes,48,602
2017,Taux par 100 000 personnes,Alberta,Décès totaux apparemment liés à une intoxication aux opioïdes,48,17.5
2017,Nombre,Alberta,Décès totaux apparemment liés à une intoxication aux opioïdes,48,744
2018,Taux par 100 000 personnes,Alberta,Décès totaux apparemment liés à une intoxication aux opioïdes,48,18.7
2018,Nombre,Alberta,Décès totaux apparemment liés à une intoxication aux opioïdes,48,805
