Year,Géographie,Groupe d'âge,Genre,GeoCode,Value
2018,,,,,5.1
2019,,,,,6.1
2020,,,,,7.2
2021,,,,,7.9
2022,,,,,9.2
2023,,,,,9.1
2024,,,,,8.8
2018,Canada,15 à 24 ans,Total - Genre,,4.0
2018,Canada,15 à 24 ans,Hommes+,,3.5
2018,Canada,15 à 24 ans,Femmes+,,4.6
2018,Canada,25 à 54 ans,Total - Genre,,5.7
2018,Canada,25 à 54 ans,Hommes+,,4.9
2018,Canada,25 à 54 ans,Femmes+,,6.5
2018,Canada,25 à 34 ans,Total - Genre,,5.9
2018,Canada,25 à 34 ans,Hommes+,,4.9
2018,Canada,25 à 34 ans,Femmes+,,6.9
2018,Canada,35 à 44 ans,Total - Genre,,5.8
2018,Canada,35 à 44 ans,Hommes+,,5.5
2018,Canada,35 à 44 ans,Femmes+,,6.0
2018,Canada,45 à 54 ans,Total - Genre,,5.4
2018,Canada,45 à 54 ans,Hommes+,,4.4
2018,Canada,45 à 54 ans,Femmes+,,6.5
2018,Canada,55 à 64 ans,Total - Genre,,5.7
2018,Canada,55 à 64 ans,Hommes+,,6.1
2018,Canada,55 à 64 ans,Femmes+,,5.3
2018,Canada,65 ans et plus,Total - Genre,,3.9
2018,Canada,65 ans et plus,Hommes+,,3.2
2018,Canada,65 ans et plus,Femmes+,,4.5
2019,Canada,15 à 24 ans,Total - Genre,,3.8
2019,Canada,15 à 24 ans,Hommes+,,1.8
2019,Canada,15 à 24 ans,Femmes+,,5.8
2019,Canada,25 à 54 ans,Total - Genre,,6.9
2019,Canada,25 à 54 ans,Hommes+,,6.5
2019,Canada,25 à 54 ans,Femmes+,,7.4
2019,Canada,25 à 34 ans,Total - Genre,,7.5
2019,Canada,25 à 34 ans,Hommes+,,6.9
2019,Canada,25 à 34 ans,Femmes+,,8.1
2019,Canada,35 à 44 ans,Total - Genre,,6.9
2019,Canada,35 à 44 ans,Hommes+,,6.5
2019,Canada,35 à 44 ans,Femmes+,,7.2
2019,Canada,45 à 54 ans,Total - Genre,,6.3
2019,Canada,45 à 54 ans,Hommes+,,5.9
2019,Canada,45 à 54 ans,Femmes+,,6.8
2019,Canada,55 à 64 ans,Total - Genre,,6.1
2019,Canada,55 à 64 ans,Hommes+,,5.1
2019,Canada,55 à 64 ans,Femmes+,,7.1
2019,Canada,65 ans et plus,Total - Genre,,5.6
2019,Canada,65 ans et plus,Hommes+,,5.1
2019,Canada,65 ans et plus,Femmes+,,5.9
2020,Canada,15 à 24 ans,Total - Genre,,5.3
2020,Canada,15 à 24 ans,Hommes+,,4.7
2020,Canada,15 à 24 ans,Femmes+,,5.9
2020,Canada,25 à 54 ans,Total - Genre,,8.3
2020,Canada,25 à 54 ans,Hommes+,,7.0
2020,Canada,25 à 54 ans,Femmes+,,9.7
2020,Canada,25 à 34 ans,Total - Genre,,8.7
2020,Canada,25 à 34 ans,Hommes+,,7.2
2020,Canada,25 à 34 ans,Femmes+,,10.2
2020,Canada,35 à 44 ans,Total - Genre,,8.5
2020,Canada,35 à 44 ans,Hommes+,,7.4
2020,Canada,35 à 44 ans,Femmes+,,9.5
2020,Canada,45 à 54 ans,Total - Genre,,7.8
2020,Canada,45 à 54 ans,Hommes+,,6.2
2020,Canada,45 à 54 ans,Femmes+,,9.3
2020,Canada,55 à 64 ans,Total - Genre,,7.5
2020,Canada,55 à 64 ans,Hommes+,,6.9
2020,Canada,55 à 64 ans,Femmes+,,8.1
2020,Canada,65 ans et plus,Total - Genre,,5.5
2020,Canada,65 ans et plus,Hommes+,,5.1
2020,Canada,65 ans et plus,Femmes+,,5.8
2021,Canada,15 à 24 ans,Total - Genre,,6.1
2021,Canada,15 à 24 ans,Hommes+,,3.9
2021,Canada,15 à 24 ans,Femmes+,,8.4
2021,Canada,25 à 54 ans,Total - Genre,,9.3
2021,Canada,25 à 54 ans,Hommes+,,8.2
2021,Canada,25 à 54 ans,Femmes+,,10.4
2021,Canada,25 à 34 ans,Total - Genre,,9.2
2021,Canada,25 à 34 ans,Hommes+,,8.2
2021,Canada,25 à 34 ans,Femmes+,,10.2
2021,Canada,35 à 44 ans,Total - Genre,,9.5
2021,Canada,35 à 44 ans,Hommes+,,7.5
2021,Canada,35 à 44 ans,Femmes+,,11.4
2021,Canada,45 à 54 ans,Total - Genre,,9.2
2021,Canada,45 à 54 ans,Hommes+,,8.9
2021,Canada,45 à 54 ans,Femmes+,,9.5
2021,Canada,55 à 64 ans,Total - Genre,,7.3
2021,Canada,55 à 64 ans,Hommes+,,6.8
2021,Canada,55 à 64 ans,Femmes+,,7.8
2021,Canada,65 ans et plus,Total - Genre,,6.4
2021,Canada,65 ans et plus,Hommes+,,5.9
2021,Canada,65 ans et plus,Femmes+,,6.9
2022,Canada,15 à 24 ans,Total - Genre,,7.4
2022,Canada,15 à 24 ans,Hommes+,,5.2
2022,Canada,15 à 24 ans,Femmes+,,9.8
2022,Canada,25 à 54 ans,Total - Genre,,11.0
2022,Canada,25 à 54 ans,Hommes+,,9.5
2022,Canada,25 à 54 ans,Femmes+,,12.4
2022,Canada,25 à 34 ans,Total - Genre,,11.1
2022,Canada,25 à 34 ans,Hommes+,,9.0
2022,Canada,25 à 34 ans,Femmes+,,13.3
2022,Canada,35 à 44 ans,Total - Genre,,11.0
2022,Canada,35 à 44 ans,Hommes+,,9.7
2022,Canada,35 à 44 ans,Femmes+,,12.2
2022,Canada,45 à 54 ans,Total - Genre,,10.8
2022,Canada,45 à 54 ans,Hommes+,,10.0
2022,Canada,45 à 54 ans,Femmes+,,11.6
2022,Canada,55 à 64 ans,Total - Genre,,9.3
2022,Canada,55 à 64 ans,Hommes+,,8.9
2022,Canada,55 à 64 ans,Femmes+,,9.8
2022,Canada,65 ans et plus,Total - Genre,,6.5
2022,Canada,65 ans et plus,Hommes+,,6.0
2022,Canada,65 ans et plus,Femmes+,,7.1
2023,Canada,15 à 24 ans,Total - Genre,,6.9
2023,Canada,15 à 24 ans,Hommes+,,5.6
2023,Canada,15 à 24 ans,Femmes+,,8.3
