Year,Géographie,Antigène ou vaccin,Âge,Value
2017,Alberta,Diphtérie,2 ans,79.9
2021,Alberta,Diphtérie,2 ans,74.6
2017,Colombie-Britannique,Diphtérie,2 ans,76.6
2021,Colombie-Britannique,Diphtérie,2 ans,83.6
2017,Canada,Diphtérie,2 ans,75.8
2019,Canada,Diphtérie,2 ans,77.5
2021,Canada,Diphtérie,2 ans,77.1
2017,Manitoba,Diphtérie,2 ans,67.5
2021,Manitoba,Diphtérie,2 ans,75.5
2017,Nouveau-Brunswick,Diphtérie,2 ans,75.5
2021,Nouveau-Brunswick,Diphtérie,2 ans,78.1
2017,Terre-Neuve-et-Labrador,Diphtérie,2 ans,88.9
2021,Terre-Neuve-et-Labrador,Diphtérie,2 ans,80.0
2017,Territoires du Nord-Ouest,Diphtérie,2 ans,76.7
2021,Territoires du Nord-Ouest,Diphtérie,2 ans,66.0
2017,Nouvelle-Écosse,Diphtérie,2 ans,73.8
2021,Nouvelle-Écosse,Diphtérie,2 ans,70.3
2017,Nunavut,Diphtérie,2 ans,63.8
2021,Nunavut,Diphtérie,2 ans,24.1
2017,Ontario,Diphtérie,2 ans,75.7
2021,Ontario,Diphtérie,2 ans,76.7
2017,Île-du-Prince-Édouard,Diphtérie,2 ans,81.2
2021,Île-du-Prince-Édouard,Diphtérie,2 ans,95.8
2017,Québec,Diphtérie,2 ans,73.7
2021,Québec,Diphtérie,2 ans,76.2
2017,Saskatchewan,Diphtérie,2 ans,78.6
2021,Saskatchewan,Diphtérie,2 ans,80.9
2017,Yukon,Diphtérie,2 ans,70.7
2021,Yukon,Diphtérie,2 ans,66.6
2017,Canada,Diphtérie,7 ans,80.5
2019,Canada,Diphtérie,7 ans,78.1
2021,Canada,Diphtérie,7 ans,71.9
2017,Canada,"Vaccin de rappel contre la diphtérie, la coqueluche et le tétanos (dcaT)",17 ans,89.3
2019,Canada,"Vaccin de rappel contre la diphtérie, la coqueluche et le tétanos (dcaT)",17 ans,95.3
2021,Canada,"Vaccin de rappel contre la diphtérie, la coqueluche et le tétanos (dcaT)",17 ans,92.8
2017,Alberta,Haemophilus influenzae de type B (Hib),2 ans,79.1
2021,Alberta,Haemophilus influenzae de type B (Hib),2 ans,71.1
2017,Colombie-Britannique,Haemophilus influenzae de type B (Hib),2 ans,74.4
2021,Colombie-Britannique,Haemophilus influenzae de type B (Hib),2 ans,82.8
2017,Canada,Haemophilus influenzae de type B (Hib),2 ans,73.4
2019,Canada,Haemophilus influenzae de type B (Hib),2 ans,74.4
2021,Canada,Haemophilus influenzae de type B (Hib),2 ans,75.3
2017,Manitoba,Haemophilus influenzae de type B (Hib),2 ans,62.2
2021,Manitoba,Haemophilus influenzae de type B (Hib),2 ans,75.3
2017,Nouveau-Brunswick,Haemophilus influenzae de type B (Hib),2 ans,74.7
2021,Nouveau-Brunswick,Haemophilus influenzae de type B (Hib),2 ans,75.9
2017,Terre-Neuve-et-Labrador,Haemophilus influenzae de type B (Hib),2 ans,87.7
2021,Terre-Neuve-et-Labrador,Haemophilus influenzae de type B (Hib),2 ans,76.8
2017,Territoires du Nord-Ouest,Haemophilus influenzae de type B (Hib),2 ans,75.5
2021,Territoires du Nord-Ouest,Haemophilus influenzae de type B (Hib),2 ans,60.0
2017,Nouvelle-Écosse,Haemophilus influenzae de type B (Hib),2 ans,68.5
2021,Nouvelle-Écosse,Haemophilus influenzae de type B (Hib),2 ans,66.8
2017,Nunavut,Haemophilus influenzae de type B (Hib),2 ans,57.2
2021,Nunavut,Haemophilus influenzae de type B (Hib),2 ans,24.1
2017,Ontario,Haemophilus influenzae de type B (Hib),2 ans,72.9
2021,Ontario,Haemophilus influenzae de type B (Hib),2 ans,73.8
2017,Île-du-Prince-Édouard,Haemophilus influenzae de type B (Hib),2 ans,79.8
2021,Île-du-Prince-Édouard,Haemophilus influenzae de type B (Hib),2 ans,95.8
2017,Québec,Haemophilus influenzae de type B (Hib),2 ans,71.3
2021,Québec,Haemophilus influenzae de type B (Hib),2 ans,75.8
2017,Saskatchewan,Haemophilus influenzae de type B (Hib),2 ans,75.1
2021,Saskatchewan,Haemophilus influenzae de type B (Hib),2 ans,80.6
2017,Yukon,Haemophilus influenzae de type B (Hib),2 ans,69.3
2021,Yukon,Haemophilus influenzae de type B (Hib),2 ans,64.0
2017,Canada,Haemophilus influenzae de type B (Hib),7 ans,83.9
2019,Canada,Haemophilus influenzae de type B (Hib),7 ans,80.0
2021,Canada,Haemophilus influenzae de type B (Hib),7 ans,78.5
2017,Canada,Hépatite B,14 ans,83.1
2019,Canada,Hépatite B,14 ans,84.5
2021,Canada,Hépatite B,14 ans,89.0
2017,Colombie-Britannique,Hépatite B,2 ans,69.7
2021,Colombie-Britannique,Hépatite B,2 ans,87.1
2017,Canada,Hépatite B,2 ans,74.1
2019,Canada,Hépatite B,2 ans,83.6
2021,Canada,Hépatite B,2 ans,82.6
2017,Nouveau-Brunswick,Hépatite B,2 ans,81.0
2021,Nouveau-Brunswick,Hépatite B,2 ans,79.8
2017,Territoires du Nord-Ouest,Hépatite B,2 ans,80.5
2021,Territoires du Nord-Ouest,Hépatite B,2 ans,81.0
2017,Nunavut,Hépatite B,2 ans,70.8
2021,Nunavut,Hépatite B,2 ans,32.5
2017,Île-du-Prince-Édouard,Hépatite B,2 ans,86.7
2021,Île-du-Prince-Édouard,Hépatite B,2 ans,97.7
2017,Québec,Hépatite B,2 ans,75.7
2021,Québec,Hépatite B,2 ans,80.6
2017,Yukon,Hépatite B,2 ans,62.8
2021,Yukon,Hépatite B,2 ans,71.3
2021,Canada,Hépatite B,7 ans,78.4
2019,Canada,Virus du papillome humain (VPH),14 ans,80.2
2021,Canada,Virus du papillome humain (VPH),14 ans,84.0
2017,Alberta,Rougeole,2 ans,91.7
