Year,Units,Géographie,Type de combustible,Caractéristiques d’écoulement,Value
2015,Térajoules,,,,8246990
2016,Térajoules,,,,8155257
2017,Térajoules,,,,8472571
2018,Térajoules,,,,8852052
2019,Térajoules,,,,8882020
2020,Térajoules,,,,"7,947,788"
2021,Térajoules,,,,"8,166,974"
2015,Térajoules,Canada,Énergie primaire et secondaire totale,Total industriel,2715105
2016,Térajoules,Canada,Énergie primaire et secondaire totale,Total industriel,2665852
2017,Térajoules,Canada,Énergie primaire et secondaire totale,Total industriel,2782616
2018,Térajoules,Canada,Énergie primaire et secondaire totale,Total industriel,2943256
2019,Térajoules,Canada,Énergie primaire et secondaire totale,Total industriel,2969004
2015,Térajoules,Canada,Énergie primaire et secondaire totale,Total transport,2690184
2016,Térajoules,Canada,Énergie primaire et secondaire totale,Total transport,2685273
2017,Térajoules,Canada,Énergie primaire et secondaire totale,Total transport,2723111
2018,Térajoules,Canada,Énergie primaire et secondaire totale,Total transport,2835153
2019,Térajoules,Canada,Énergie primaire et secondaire totale,Total transport,2859564
2015,Térajoules,Canada,Énergie primaire et secondaire totale,Agriculture,299012
2016,Térajoules,Canada,Énergie primaire et secondaire totale,Agriculture,301913
2017,Térajoules,Canada,Énergie primaire et secondaire totale,Agriculture,307916
2018,Térajoules,Canada,Énergie primaire et secondaire totale,Agriculture,319001
2019,Térajoules,Canada,Énergie primaire et secondaire totale,Agriculture,307901
2015,Térajoules,Canada,Énergie primaire et secondaire totale,Résidentiel,1374039
2016,Térajoules,Canada,Énergie primaire et secondaire totale,Résidentiel,1327994
2017,Térajoules,Canada,Énergie primaire et secondaire totale,Résidentiel,1376349
2018,Térajoules,Canada,Énergie primaire et secondaire totale,Résidentiel,1429611
2019,Térajoules,Canada,Énergie primaire et secondaire totale,Résidentiel,1422090
2015,Térajoules,Canada,Énergie primaire et secondaire totale,Administrations publiques,121943
2016,Térajoules,Canada,Énergie primaire et secondaire totale,Administrations publiques,125669
2017,Térajoules,Canada,Énergie primaire et secondaire totale,Administrations publiques,130095
2018,Térajoules,Canada,Énergie primaire et secondaire totale,Administrations publiques,134171
2019,Térajoules,Canada,Énergie primaire et secondaire totale,Administrations publiques,134978
2015,Térajoules,Canada,Énergie primaire et secondaire totale,Commerces et autres institutions,1048046
2016,Térajoules,Canada,Énergie primaire et secondaire totale,Commerces et autres institutions,1048549
2017,Térajoules,Canada,Énergie primaire et secondaire totale,Commerces et autres institutions,1148803
2018,Térajoules,Canada,Énergie primaire et secondaire totale,Commerces et autres institutions,1185457
2019,Térajoules,Canada,Énergie primaire et secondaire totale,Commerces et autres institutions,1212605
2015,Térajoules,Canada,Total charbon,Consommation énergétique finale,46410
2016,Térajoules,Canada,Total charbon,Consommation énergétique finale,40275
2017,Térajoules,Canada,Total charbon,Consommation énergétique finale,39664
2018,Térajoules,Canada,Total charbon,Consommation énergétique finale,38972
2019,Térajoules,Canada,Total charbon,Consommation énergétique finale,39237
2015,Térajoules,Canada,Total charbon,Total industriel,45006
2016,Térajoules,Canada,Total charbon,Total industriel,
2017,Térajoules,Canada,Total charbon,Total industriel,38411
2018,Térajoules,Canada,Total charbon,Total industriel,37989
2019,Térajoules,Canada,Total charbon,Total industriel,39237
2015,Térajoules,Canada,Total charbon,Agriculture,
2016,Térajoules,Canada,Total charbon,Agriculture,
2017,Térajoules,Canada,Total charbon,Agriculture,
2018,Térajoules,Canada,Total charbon,Agriculture,
2015,Térajoules,Canada,Total charbon,Résidentiel,55
2016,Térajoules,Canada,Total charbon,Résidentiel,
2017,Térajoules,Canada,Total charbon,Résidentiel,
2018,Térajoules,Canada,Total charbon,Résidentiel,0
2015,Térajoules,Canada,Total charbon,Commerces et autres institutions,
2016,Térajoules,Canada,Total charbon,Commerces et autres institutions,
2017,Térajoules,Canada,Total charbon,Commerces et autres institutions,
2018,Térajoules,Canada,Total charbon,Commerces et autres institutions,0
2019,Térajoules,Canada,Total charbon,Commerces et autres institutions,0
2015,Térajoules,Canada,Gaz naturel,Consommation énergétique finale,2875528
2016,Térajoules,Canada,Gaz naturel,Consommation énergétique finale,2785651
2017,Térajoules,Canada,Gaz naturel,Consommation énergétique finale,2939389
2018,Térajoules,Canada,Gaz naturel,Consommation énergétique finale,3146045
2019,Térajoules,Canada,Gaz naturel,Consommation énergétique finale,3170754
2015,Térajoules,Canada,Gaz naturel,Total industriel,1485959
2016,Térajoules,Canada,Gaz naturel,Total industriel,1414041
2017,Térajoules,Canada,Gaz naturel,Total industriel,1488661
2018,Térajoules,Canada,Gaz naturel,Total industriel,1614300
2019,Térajoules,Canada,Gaz naturel,Total industriel,1627365
2015,Térajoules,Canada,Gaz naturel,Total transport,167166
2016,Térajoules,Canada,Gaz naturel,Total transport,170861
2017,Térajoules,Canada,Gaz naturel,Total transport,151132
2018,Térajoules,Canada,Gaz naturel,Total transport,167409
2019,Térajoules,Canada,Gaz naturel,Total transport,169080
2015,Térajoules,Canada,Gaz naturel,Agriculture,39125
2016,Térajoules,Canada,Gaz naturel,Agriculture,41293
2017,Térajoules,Canada,Gaz naturel,Agriculture,39621
2018,Térajoules,Canada,Gaz naturel,Agriculture,43077
