Year,Géographie,GeoCode,Value
2015,Canada,,55750.10865
2016,Canada,,56094.26132
2017,Canada,,58575.10402
2018,Canada,,60317.54845
2019,Canada,,61468.5743
2020,Canada,,58015.93619
2015,Terre-Neuve-et-Labrador,10,59003.97071
2016,Terre-Neuve-et-Labrador,10,59534.28808
2017,Terre-Neuve-et-Labrador,10,63776.74165
2018,Terre-Neuve-et-Labrador,10,65813.60834
2019,Terre-Neuve-et-Labrador,10,67598.72914
2020,Terre-Neuve-et-Labrador,10,60571.88452
2015,Île-du-Prince-Édouard,11,42118.08006
2016,Île-du-Prince-Édouard,11,43383.29852
2017,Île-du-Prince-Édouard,11,45145.67625
2018,Île-du-Prince-Édouard,11,45522.69942
2019,Île-du-Prince-Édouard,11,47287.81151
2020,Île-du-Prince-Édouard,11,46538.44008
2015,Nouvelle-Écosse,12,43459.59798
2016,Nouvelle-Écosse,12,44123.29363
2017,Nouvelle-Écosse,12,45588.50152
2018,Nouvelle-Écosse,12,46822.53659
2019,Nouvelle-Écosse,12,47950.87416
2020,Nouvelle-Écosse,12,47713.13254
2015,Nouveau-Brunswick,13,44084.27578
2016,Nouveau-Brunswick,13,44972.81719
2017,Nouveau-Brunswick,13,46734.95769
2018,Nouveau-Brunswick,13,48238.28607
2019,Nouveau-Brunswick,13,48940.45769
2020,Nouveau-Brunswick,13,47950.47012
2015,Québec,24,47419.46201
2016,Québec,24,48532.38836
2017,Québec,24,50430.11598
2018,Québec,24,52332.62451
2019,Québec,24,54125.11556
2020,Québec,24,52347.31823
2015,Ontario,35,55477.38044
2016,Ontario,35,56989.30063
2017,Ontario,35,58633.31434
2018,Ontario,35,60110.57471
2019,Ontario,35,61343.71549
2020,Ontario,35,58792.68495
2015,Manitoba,46,51030.5078
2016,Manitoba,46,51210.71667
2017,Manitoba,46,53405.4046
2018,Manitoba,46,54236.13549
2019,Manitoba,46,53943.41708
2020,Manitoba,46,52764.35413
2015,Saskatchewan,47,71081.4859
2016,Saskatchewan,47,66632.80478
2017,Saskatchewan,47,69768.61442
2018,Saskatchewan,47,72021.32614
2019,Saskatchewan,47,71066.51804
2020,Saskatchewan,47,65999.32163
2015,Alberta,48,78189.09487
2016,Alberta,48,72518.96481
2017,Alberta,48,78341.93959
2018,Alberta,48,80534.63308
2019,Alberta,48,80546.21856
2020,Alberta,48,66700.46735
2015,Colombie-Britannique,59,52504.94725
2016,Colombie-Britannique,59,54311.26203
2017,Colombie-Britannique,59,57265.37028
2018,Colombie-Britannique,59,59354.04141
2019,Colombie-Britannique,59,61038.3615
2020,Colombie-Britannique,59,59961.87432
2015,Yukon,60,69938.97586
2016,Yukon,60,72353.23112
2017,Yukon,60,72784.65034
2018,Yukon,60,73866.58111
2019,Yukon,60,72578.69542
2020,Yukon,60,75449.32897
2015,Territoires du Nord-Ouest,61,106720.6185
2016,Territoires du Nord-Ouest,61,99666.28592
2017,Territoires du Nord-Ouest,61,103071.8852
2018,Territoires du Nord-Ouest,61,104666.4147
2019,Territoires du Nord-Ouest,61,101397.8256
2020,Territoires du Nord-Ouest,61,95256.98669
2015,Nunavut,62,66350.58101
2016,Nunavut,62,69830.96687
2017,Nunavut,62,80727.64076
2018,Nunavut,62,83055.8687
2019,Nunavut,62,89681.79934
2020,Nunavut,62,106244.4132
