Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2010,,,,107
2011,,,,119
2012,,,,147
2013,,,,218
2014,,,,337
2015,,,,664
2016,,,,845
2017,,,,1339
2018,,,,1727
2019,,,,3586
2020,,,,4107
2021,,,,5010
2022,,,,7006
2023,,,,9619
2024,,,,12001
2025,,,,14181
2026,,,,15330
2010,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,26
2010,Alberta,Propane,48,26
2011,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,27
2011,Alberta,Propane,48,27
2012,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,32
2012,Alberta,Électrique,48,2
2012,Alberta,Propane,48,30
2013,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,39
2013,Alberta,Électrique,48,8
2013,Alberta,Propane,48,31
2014,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,45
2014,Alberta,Électrique,48,14
2015,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,75
2015,Alberta,Électrique,48,43
2015,Alberta,Propane,48,32
2016,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,85
2016,Alberta,Électrique,48,52
2016,Alberta,Propane,48,33
2017,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,135
2017,Alberta,Gaz naturel comprimé,48,1
2017,Alberta,Électrique,48,66
2017,Alberta,Propane,48,68
2018,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,218
2018,Alberta,Gaz naturel comprimé,48,10
2018,Alberta,Électrique,48,75
2018,Alberta,Propane,48,133
2019,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,243
2019,Alberta,Électrique,48,99
2019,Alberta,Propane,48,134
2020,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,256
2020,Alberta,Gaz naturel comprimé,48,11
2020,Alberta,Électrique,48,108
2020,Alberta,Propane,48,137
2021,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,300
2021,Alberta,Électrique,48,149
2021,Alberta,Propane,48,140
2022,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,448
2022,Alberta,Électrique,48,297
2023,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,646
2023,Alberta,Gaz naturel comprimé,48,12
2023,Alberta,Électrique,48,493
2023,Alberta,Propane,48,141
2024,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,809
2024,Alberta,Électrique,48,653
2024,Alberta,Propane,48,144
2025,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,966
2025,Alberta,Gaz naturel comprimé,48,14
2025,Alberta,Électrique,48,807
2025,Alberta,Propane,48,145
2026,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,1040
2026,Alberta,Gaz naturel comprimé,48,15
2026,Alberta,Électrique,48,880
2010,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,35
2010,Colombie-Britannique,Biodiesel,59,1
2010,Colombie-Britannique,Propane,59,34
2011,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,40
2011,Colombie-Britannique,Électrique,59,5
2012,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,45
2012,Colombie-Britannique,Électrique,59,9
2012,Colombie-Britannique,Propane,59,35
2013,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,58
2013,Colombie-Britannique,Électrique,59,22
2014,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,81
2014,Colombie-Britannique,Électrique,59,45
2015,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,173
2015,Colombie-Britannique,Gaz naturel comprimé,59,2
2015,Colombie-Britannique,Électrique,59,134
2015,Colombie-Britannique,Propane,59,36
2016,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,194
2016,Colombie-Britannique,Électrique,59,154
2016,Colombie-Britannique,Propane,59,37
2017,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,273
2017,Colombie-Britannique,Gaz naturel comprimé,59,4
2017,Colombie-Britannique,Électrique,59,200
2017,Colombie-Britannique,Propane,59,68
2018,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,355
2018,Colombie-Britannique,Électrique,59,248
2018,Colombie-Britannique,Hydrogène,59,1
2018,Colombie-Britannique,Propane,59,101
2019,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,514
2019,Colombie-Britannique,Électrique,59,403
2019,Colombie-Britannique,Hydrogène,59,2
2019,Colombie-Britannique,Propane,59,104
2020,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,583
2020,Colombie-Britannique,Électrique,59,469
2020,Colombie-Britannique,Hydrogène,59,3
2020,Colombie-Britannique,Propane,59,106
2021,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,736
2021,Colombie-Britannique,Gaz naturel comprimé,59,5
2021,Colombie-Britannique,Électrique,59,619
2021,Colombie-Britannique,Hydrogène,59,4
2021,Colombie-Britannique,Propane,59,107
2022,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,1132
2022,Colombie-Britannique,Électrique,59,1012
2022,Colombie-Britannique,Propane,59,110
2023,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,1570
