Year,Units,Géographie,Type de famille économique,GeoCode,Value
2015,Dollars constants de 2024,,,,70900.0
2016,Dollars constants de 2024,,,,70900.0
2017,Dollars constants de 2024,,,,72700.0
2018,Dollars constants de 2024,,,,72700.0
2019,Dollars constants de 2024,,,,72500.0
2020,Dollars constants de 2024,,,,77400.0
2021,Dollars constants de 2024,,,,76800.0
2022,Dollars constants de 2024,,,,73900.0
2023,Dollars constants de 2024,,,,75100.0
2024,Dollars constants de 2024,,,,75500.0
2015,Dollars constants de 2024,Canada,Familles économiques,,98300.0
2015,Dollars constants de 2024,Canada,Familles de personnes âgées,,73300.0
2015,Dollars constants de 2024,Canada,Couples de personnes âgées,,71500.0
2015,Dollars constants de 2024,Canada,Autres familles de personnes âgées,,81100.0
2015,Dollars constants de 2024,Canada,Familles de personnes non âgées,,105500.0
2015,Dollars constants de 2024,Canada,Couples,,95100.0
2015,Dollars constants de 2024,Canada,Couples avec des enfants,,120000.0
2015,Dollars constants de 2024,Canada,Couples avec d'autres personnes apparentées,,145900.0
2015,Dollars constants de 2024,Canada,One-parent families,,57700.0
2015,Dollars constants de 2024,Canada,One-parent families in which the parent is a man+,,73300.0
2015,Dollars constants de 2024,Canada,One-parent families in which the parent is a woman+,,54200.0
2015,Dollars constants de 2024,Canada,Autres familles de personnes non âgées,,86000.0
2015,Dollars constants de 2024,Canada,Personnes hors famille économique,,35900.0
2015,Dollars constants de 2024,Canada,Personnes âgées hors famille économique,,33500.0
2015,Dollars constants de 2024,Canada,Senior men+ not in an economic family,,34700.0
2015,Dollars constants de 2024,Canada,Senior women+ not in an economic family,,32800.0
2015,Dollars constants de 2024,Canada,Personnes non âgées hors famille économique,,37500.0
2015,Dollars constants de 2024,Canada,Non-senior men+ not in an economic family,,40500.0
2015,Dollars constants de 2024,Canada,Non-senior women+ not in an economic family,,33300.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Familles économiques et personnes hors famille économique,,63700.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Familles économiques,,87600.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Familles de personnes âgées,,62500.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Couples de personnes âgées,,61600.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Autres familles de personnes âgées,,66500.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Familles de personnes non âgées,,97000.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Couples,,86200.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Couples avec des enfants,,114600.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Couples avec d'autres personnes apparentées,,130500.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,One-parent families,,48800.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,One-parent families in which the parent is a man+,,59400.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,One-parent families in which the parent is a woman+,,47300.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Autres familles de personnes non âgées,,72200.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Personnes hors famille économique,,30700.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Personnes âgées hors famille économique,,29800.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Senior men+ not in an economic family,,33100.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Senior women+ not in an economic family,,28600.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Personnes non âgées hors famille économique,,31400.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Non-senior men+ not in an economic family,,33700.0
2015,Dollars constants de 2024,Provinces de l'Atlantique,Non-senior women+ not in an economic family,,30000.0
2015,Dollars constants de 2024,Terre-Neuve-et-Labrador,Familles économiques et personnes hors famille économique,10,68500.0
2015,Dollars constants de 2024,Terre-Neuve-et-Labrador,Familles économiques,10,96800.0
