Year,Géographie,Entité de déclaration,Infraction,Value
2016,,,,3.9
2016,Terre-Neuve-et-Labrador,Déclarés par la police,Crimes haineux,0.4
2016,Île-du-Prince-Édouard,Déclarés par la police,Crimes haineux,2.0
2016,Nouvelle-Écosse,Déclarés par la police,Crimes haineux,2.2
2016,Nouveau-Brunswick,Déclarés par la police,Crimes haineux,2.4
2016,Québec,Déclarés par la police,Crimes haineux,4.0
2016,Ontario,Déclarés par la police,Crimes haineux,4.4
2016,Manitoba,Déclarés par la police,Crimes haineux,2.8
2016,Saskatchewan,Déclarés par la police,Crimes haineux,2.6
2016,Alberta,Déclarés par la police,Crimes haineux,3.3
2016,Colombie-Britannique,Déclarés par la police,Crimes haineux,4.3
2017,,,,5.7
2017,Terre-Neuve-et-Labrador,Déclarés par la police,Crimes haineux,0.4
2017,Île-du-Prince-Édouard,Déclarés par la police,Crimes haineux,0.7
2017,Nouvelle-Écosse,Déclarés par la police,Crimes haineux,2.2
2017,Nouveau-Brunswick,Déclarés par la police,Crimes haineux,2.9
2017,Québec,Déclarés par la police,Crimes haineux,5.9
2017,Ontario,Déclarés par la police,Crimes haineux,7.3
2017,Manitoba,Déclarés par la police,Crimes haineux,2.7
2017,Saskatchewan,Déclarés par la police,Crimes haineux,1.8
2017,Alberta,Déclarés par la police,Crimes haineux,4.5
2017,Colombie-Britannique,Déclarés par la police,Crimes haineux,5.2
2018,,,,4.9
2018,Terre-Neuve-et-Labrador,Déclarés par la police,Crimes haineux,0.4
2018,Île-du-Prince-Édouard,Déclarés par la police,Crimes haineux,1.3
2018,Nouvelle-Écosse,Déclarés par la police,Crimes haineux,3.3
2018,Nouveau-Brunswick,Déclarés par la police,Crimes haineux,1.9
2018,Québec,Déclarés par la police,Crimes haineux,4.5
2018,Ontario,Déclarés par la police,Crimes haineux,5.7
2018,Manitoba,Déclarés par la police,Crimes haineux,3.1
2018,Saskatchewan,Déclarés par la police,Crimes haineux,2.6
2018,Alberta,Déclarés par la police,Crimes haineux,5.7
2018,Colombie-Britannique,Déclarés par la police,Crimes haineux,5.2
2019,,,,5.2
2019,Terre-Neuve-et-Labrador,Déclarés par la police,Crimes haineux,1.1
2019,Île-du-Prince-Édouard,Déclarés par la police,Crimes haineux,4.5
2019,Nouvelle-Écosse,Déclarés par la police,Crimes haineux,3.3
2019,Nouveau-Brunswick,Déclarés par la police,Crimes haineux,4.2
2019,Québec,Déclarés par la police,Crimes haineux,4.8
2019,Ontario,Déclarés par la police,Crimes haineux,5.9
2019,Manitoba,Déclarés par la police,Crimes haineux,4.1
2019,Saskatchewan,Déclarés par la police,Crimes haineux,2.8
2019,Alberta,Déclarés par la police,Crimes haineux,4.7
2019,Colombie-Britannique,Déclarés par la police,Crimes haineux,6.1
