Year,Géographie,Industries,Environmental management practices,GeoCode,Environmental protection activities,Value
2018,,,,,"Total, activités de protection de l'environnement",90.3
2019,,,,,"Total, activités de protection de l'environnement",86.6
2020,,,,,"Total, activités de protection de l'environnement",86.3
2021,,,,,"Total, activités de protection de l'environnement",86.4
2022,,,,,"Total, activités de protection de l'environnement",86.6
2023,,,,,"Total, activités de protection de l'environnement",86.4
2018,,,Reported using one or more environmental management practices,,,40.7
2019,,,Reported using one or more environmental management practices,,,35.2
2020,,,Reported using one or more environmental management practices,,,34.9
2021,,,Reported using one or more environmental management practices,,,40.4
2022,,,Reported using one or more environmental management practices,,,36.3
2023,,,Reported using one or more environmental management practices,,,36.5
2018,Canada,"Total, industries",Environmental management system,,,22.3
2018,Canada,"Total, industries",Pollution prevention plan,,,19.9
2018,Canada,"Total, industries",Life cycle management,,,7.5
2018,Canada,"Total, industries",ISO 14000 family certification,,,7.3
2018,Canada,"Total, industries",Environmental voluntary agreements or programs,,,6.5
2018,Canada,"Total, industries",Green procurements policy or guidelines,,,10.0
2018,Canada,"Total, industries",Environmental supply chain management policy,,,7.6
2018,Canada,"Total, industries",New or improved environmental supply chain management policy,,,3.8
2018,Canada,"Total, industries","Environmental incentive programs, grants, loans, or tax credits",,,7.1
2018,Canada,"Total, industries",Greenhouse gas emission inventory,,,13.1
2018,Canada,"Total, industries",Purchased carbon offset credits only or purchased more than sold,,,0.9
2018,Canada,"Total, industries",Redevances écologiques,,,0.9
2018,Canada,"Total, industries",Other environmental management practices,,,6.2
2018,Canada,Exploitation forestière (sauf à forfait),Reported using one or more environmental management practices,,,33.6
2018,Canada,Exploitation forestière (sauf à forfait),Environmental management system,,,20.0
2018,Canada,Exploitation forestière (sauf à forfait),Pollution prevention plan,,,20.8
2018,Canada,Exploitation forestière (sauf à forfait),Life cycle management,,,1.7
2018,Canada,Exploitation forestière (sauf à forfait),ISO 14000 family certification,,,2.9
2018,Canada,Exploitation forestière (sauf à forfait),Environmental voluntary agreements or programs,,,6.5
2018,Canada,Exploitation forestière (sauf à forfait),Green procurements policy or guidelines,,,2.4
2018,Canada,Exploitation forestière (sauf à forfait),Environmental supply chain management policy,,,2.9
2018,Canada,Exploitation forestière (sauf à forfait),New or improved environmental supply chain management policy,,,1.0
2018,Canada,Exploitation forestière (sauf à forfait),"Environmental incentive programs, grants, loans, or tax credits",,,1.4
2018,Canada,Exploitation forestière (sauf à forfait),Greenhouse gas emission inventory,,,0.6
2018,Canada,Exploitation forestière (sauf à forfait),Purchased carbon offset credits only or purchased more than sold,,,0.0
2018,Canada,Exploitation forestière (sauf à forfait),Redevances écologiques,,,
2018,Canada,Exploitation forestière (sauf à forfait),Other environmental management practices,,,2.2
2018,Canada,Extraction de pétrole et de gaz,Reported using one or more environmental management practices,,,74.3
2018,Canada,Extraction de pétrole et de gaz,Environmental management system,,,61.8
2018,Canada,Extraction de pétrole et de gaz,Pollution prevention plan,,,43.1
2018,Canada,Extraction de pétrole et de gaz,Life cycle management,,,11.2
2018,Canada,Extraction de pétrole et de gaz,ISO 14000 family certification,,,5.2
