Year,Géographie,data.Type of materials diverted,data.Sources of materials prepared for recycling,Value
2018,Canada,data.All materials diverted,data.All sources of diverted materials,264.874136
2018,Canada,data.All materials diverted,data.Residential sources of diverted materials,
2018,Canada,data.All materials diverted,data.Non-residential sources of diverted materials,
2018,Canada,data.All paper fibres,data.All sources of diverted materials,94.95945224
2018,Canada,data.All paper fibres,data.Residential sources of diverted materials,41.46908454
2018,Canada,data.All paper fibres,data.Non-residential sources of diverted materials,53.4903677
2018,Canada,data.Glass,data.All sources of diverted materials,10.55435374
2018,Canada,data.Glass,data.Residential sources of diverted materials,8.041294176
2018,Canada,data.Glass,data.Non-residential sources of diverted materials,2.513059562
2018,Canada,data.Ferrous metals,data.All sources of diverted materials,16.85857276
2018,Canada,data.Ferrous metals,data.Residential sources of diverted materials,3.098892443
2018,Canada,data.Ferrous metals,data.Non-residential sources of diverted materials,13.75968031
2018,Canada,data.Copper and aluminum,data.All sources of diverted materials,3.562966836
2018,Canada,data.Copper and aluminum,data.Residential sources of diverted materials,1.098470376
2018,Canada,data.Copper and aluminum,data.Non-residential sources of diverted materials,2.464496461
2018,Canada,data.Mixed metals,data.All sources of diverted materials,3.156250862
2018,Canada,data.Mixed metals,data.Residential sources of diverted materials,1.615046878
2018,Canada,data.Mixed metals,data.Non-residential sources of diverted materials,1.541203984
2018,Canada,data.White goods,data.All sources of diverted materials,9.215361113
2018,Canada,data.White goods,data.Residential sources of diverted materials,1.04148967
2018,Canada,data.White goods,data.Non-residential sources of diverted materials,8.173871443
2018,Canada,data.Electronics,data.All sources of diverted materials,2.840132051
2018,Canada,data.Electronics,data.Residential sources of diverted materials,
2018,Canada,data.Electronics,data.Non-residential sources of diverted materials,
2018,Canada,data.Plastics,data.All sources of diverted materials,9.565824829
2018,Canada,data.Plastics,data.Residential sources of diverted materials,6.753589582
2018,Canada,data.Plastics,data.Non-residential sources of diverted materials,2.812235247
2018,Canada,data.Gable top and aseptic containers,data.All sources of diverted materials,0.680503949
2018,Canada,data.Gable top and aseptic containers,data.Residential sources of diverted materials,0.599079816
2018,Canada,data.Gable top and aseptic containers,data.Non-residential sources of diverted materials,0.081424133
2018,Canada,data.Textiles,data.All sources of diverted materials,1.5889577
2018,Canada,data.Textiles,data.Residential sources of diverted materials,1.575791704
2018,Canada,data.Textiles,data.Non-residential sources of diverted materials,0.013165996
2018,Canada,data.Tires,data.All sources of diverted materials,13.16340636
2018,Canada,data.Tires,data.Residential sources of diverted materials,
2018,Canada,data.Tires,data.Non-residential sources of diverted materials,
2018,Canada,data.Construction + renovation and demolition,data.All sources of diverted materials,19.49136734
2018,Canada,data.Construction + renovation and demolition,data.Residential sources of diverted materials,3.173490763
2018,Canada,data.Construction + renovation and demolition,data.Non-residential sources of diverted materials,16.31787658
2018,Canada,data.Organics,data.All sources of diverted materials,77.51102666
2018,Canada,data.Organics,data.Residential sources of diverted materials,61.32397368
2018,Canada,data.Organics,data.Non-residential sources of diverted materials,16.18705298
2018,Canada,data.Other materials,data.All sources of diverted materials,1.725959606
2018,Canada,data.Other materials,data.Residential sources of diverted materials,1.254142095
2018,Canada,data.Other materials,data.Non-residential sources of diverted materials,0.47181751
2018,Terre-Neuve-et-Labrador,data.All materials diverted,data.All sources of diverted materials,79.41814446
2018,Terre-Neuve-et-Labrador,data.All materials diverted,data.Residential sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.All materials diverted,data.Non-residential sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.All paper fibres,data.All sources of diverted materials,54.56846031
2018,Terre-Neuve-et-Labrador,data.All paper fibres,data.Residential sources of diverted materials,25.59365248
2018,Terre-Neuve-et-Labrador,data.All paper fibres,data.Non-residential sources of diverted materials,28.97480782
2018,Terre-Neuve-et-Labrador,data.Glass,data.All sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.Glass,data.Residential sources of diverted materials,
