Year,Géographie,Source,GeoCode,Value
1990,,,,607.907
1991,,,,603.23
1992,,,,621.376
1993,,,,626.533
1994,,,,648.617
1995,,,,666.95
1996,,,,688.359
1997,,,,704.827
1998,,,,711.291
1999,,,,721.214
2000,,,,748.696
2001,,,,741.534
2002,,,,748.752
2003,,,,767.211
2004,,,,767.348
2005,,,,763.017
2006,,,,759.131
2007,,,,778.556
2008,,,,761.206
2009,,,,717.107
2010,,,,732.333
2011,,,,740.2
2012,,,,744.212
2013,,,,751.357
2014,,,,748.409
2015,,,,743.371
2016,,,,726.808
2017,,,,738.815
2018,,,,749.308
2019,,,,748.008
2020,,,,680.926
2021,,,,691.322
2022,,,,695.853
2023,,,,686.881
2024,,,,684.704
1990,Alberta,Inventaire provincial,48,176.606
1990,Alberta,Exploitation pétrolière et gazière,48,72.556
1990,Alberta,Transports,48,15.292
1990,Alberta,Industrie lourde,48,12.792
1990,Alberta,"Fabrication légère, construction et ressources forestières",48,6.268
1990,Alberta,Bâtiments,48,12.194
1990,Alberta,Déchets et autres,48,2.146
1990,Alberta,Agriculture,48,14.7
1990,Colombie-Britannique,Inventaire provincial,59,50.721
1990,Colombie-Britannique,Exploitation pétrolière et gazière,59,7.954
1990,Colombie-Britannique,Transports,59,15.174
1990,Colombie-Britannique,Industrie lourde,59,8.904
1990,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",59,3.327
1990,Colombie-Britannique,Bâtiments,59,7.55
1990,Colombie-Britannique,Déchets et autres,59,2.654
1990,Colombie-Britannique,Agriculture,59,2.476
1990,Canada,Exploitation pétrolière et gazière,,118.231
1990,Canada,Transports,,117.749
1990,Canada,Industrie lourde,,97.624
1990,Canada,"Fabrication légère, construction et ressources forestières",,31.456
1990,Canada,Bâtiments,,71.574
1990,Canada,Déchets et autres,,21.288
1990,Canada,Agriculture,,50.958
1990,Manitoba,Inventaire provincial,46,18.349
1990,Manitoba,Exploitation pétrolière et gazière,46,1.562
1990,Manitoba,Transports,46,4.959
1990,Manitoba,Industrie lourde,46,1.452
1990,Manitoba,"Fabrication légère, construction et ressources forestières",46,0.772
1990,Manitoba,Bâtiments,46,3.109
1990,Manitoba,Déchets et autres,46,0.891
1990,Manitoba,Agriculture,46,5.08
1990,Nouveau-Brunswick,Inventaire provincial,13,16.17
1990,Nouveau-Brunswick,Exploitation pétrolière et gazière,13,1.28
1990,Nouveau-Brunswick,Transports,13,3.498
1990,Nouveau-Brunswick,Industrie lourde,13,1.812
