Year,Month,Value
1972,April,8.0
1973,April,7.45
1974,April,8.1
1975,April,8.34
1976,April,6.83
1977,April,7.26
1978,April,7.89
1979,April,8.38
1980,April,7.49
1981,April,7.26
1982,April,8.36
1983,April,7.66
1984,April,6.71
1985,April,7.73
1986,April,7.2
1987,April,6.59
1988,April,7.34
1989,April,7.75
1990,April,7.47
1991,April,7.0
1992,April,7.49
1993,April,6.58
1994,April,7.39
1995,April,7.56
1996,April,7.88
1997,April,7.96
1998,April,6.5
1999,April,7.01
2000,April,6.96
2001,April,7.41
2002,April,8.0
2003,April,7.47
2004,April,7.29
2005,April,6.82
2006,April,6.72
2007,April,7.45
2008,April,7.99
2009,April,7.75
2010,April,5.87
2011,April,7.88
2012,April,6.87
2013,April,8.34
2014,April,8.08
2015,April,7.13
2016,April,7.3
2017,April,7.43
2018,April,8.36
2019,April,6.85
1972,May,5.33
1973,May,4.55
1974,May,6.41
1975,May,5.23
1976,May,4.94
1977,May,4.97
1978,May,5.81
1979,May,5.64
1980,May,4.4
1981,May,5.09
1982,May,5.51
1983,May,5.34
1984,May,4.47
1985,May,5.41
1986,May,5.12
1987,May,4.78
1988,May,4.84
1989,May,4.73
1990,May,5.14
1991,May,4.67
1992,May,5.58
1993,May,4.43
1994,May,4.73
1995,May,4.32
1996,May,5.52
1997,May,5.13
1998,May,3.8
1999,May,4.69
2000,May,5.0
2001,May,4.72
2002,May,5.84
2003,May,4.83
2004,May,5.75
2005,May,4.5
2006,May,4.22
2007,May,4.82
2008,May,4.7
2009,May,5.37
2010,May,4.22
2011,May,5.11
2012,May,4.71
2013,May,5.21
2014,May,4.83
2015,May,4.36
2016,May,4.19
2017,May,4.91
2018,May,5.05
2019,May,4.75
1972,June,2.8
1973,June,2.53
1974,June,2.7
1975,June,2.66
1976,June,2.9
1977,June,2.79
1978,June,3.19
1979,June,2.84
1980,June,2.35
1981,June,2.46
1982,June,2.84
1983,June,2.37
1984,June,2.09
1985,June,2.33
1986,June,2.83
1987,June,2.72
1988,June,2.42
1989,June,2.29
1990,June,2.41
1991,June,2.26
1992,June,2.94
1993,June,2.09
1994,June,2.04
1995,June,2.03
1996,June,2.41
1997,June,2.25
1998,June,1.92
1999,June,2.5
2000,June,2.55
2001,June,2.4
2002,June,2.51
2003,June,2.32
2004,June,2.58
2005,June,2.17
2006,June,2.05
2007,June,2.57
2008,June,2.13
2009,June,2.39
2010,June,2.12
2011,June,2.32
2012,June,2.08
2013,June,2.24
2014,June,2.04
2015,June,2.03
2016,June,2.01
2017,June,2.01
2018,June,2.47
2019,June,1.92
