Year,Geography,Area,Value
1990,Canada,Terrestrial,5.8
1991,Canada,Terrestrial,5.8
1992,Canada,Terrestrial,5.9
1993,Canada,Terrestrial,6.1
1994,Canada,Terrestrial,6.1
1995,Canada,Terrestrial,6.4
1996,Canada,Terrestrial,6.6
1997,Canada,Terrestrial,6.8
1998,Canada,Terrestrial,7.1
1999,Canada,Terrestrial,7.3
2000,Canada,Terrestrial,7.4
2001,Canada,Terrestrial,7.7
2002,Canada,Terrestrial,7.7
2003,Canada,Terrestrial,8.4
2004,Canada,Terrestrial,8.4
2005,Canada,Terrestrial,8.7
2006,Canada,Terrestrial,8.7
2007,Canada,Terrestrial,9.0
2008,Canada,Terrestrial,9.6
2009,Canada,Terrestrial,9.8
2010,Canada,Terrestrial,9.9
2011,Canada,Terrestrial,10.2
2012,Canada,Terrestrial,10.3
2013,Canada,Terrestrial,11.0
2014,Canada,Terrestrial,11.0
2015,Canada,Terrestrial,11.2
2016,Canada,Terrestrial,11.3
2017,Canada,Terrestrial,11.3
2018,Canada,Terrestrial,11.7
2019,Canada,Terrestrial,12.1
1990,Canada,Marine,0.35
1991,Canada,Marine,0.35
1992,Canada,Marine,0.36
1993,Canada,Marine,0.37
1994,Canada,Marine,0.37
1995,Canada,Marine,0.4
1996,Canada,Marine,0.41
1997,Canada,Marine,0.41
1998,Canada,Marine,0.45
1999,Canada,Marine,0.49
2000,Canada,Marine,0.49
2001,Canada,Marine,0.49
2002,Canada,Marine,0.5
2003,Canada,Marine,0.56
2004,Canada,Marine,0.6
2005,Canada,Marine,0.67
2006,Canada,Marine,0.68
2007,Canada,Marine,0.86
2008,Canada,Marine,1.0
2009,Canada,Marine,1.0
2010,Canada,Marine,1.2
2011,Canada,Marine,1.2
2012,Canada,Marine,1.2
2013,Canada,Marine,1.2
2014,Canada,Marine,1.2
2015,Canada,Marine,1.2
2016,Canada,Marine,1.4
2017,Canada,Marine,7.9
2018,Canada,Marine,8.1
2019,Canada,Marine,13.8
