Year,Minorité visible,data.Selected sociodemographic characteristics,Value
2021,data.Arab,15 à 24 ans,70.0
2021,data.Arab,25 à 64 ans,78.0
2021,data.Arab,65 ans et plus,67.0
2021,data.Arab,Immigrants,79.0
2021,data.Arab,Hommes+,80.0
2021,data.Arab,data.Non-immigrants,63.0
2021,data.Arab,"Total, 15 ans et plus",76.0
2021,data.Arab,Femmes+,72.0
2021,Noirs,15 à 24 ans,75.0
2021,Noirs,25 à 64 ans,76.0
2021,Noirs,65 ans et plus,76.0
2021,Noirs,Immigrants,74.0
2021,Noirs,Hommes+,77.0
2021,Noirs,data.Non-immigrants,76.0
2021,Noirs,"Total, 15 ans et plus",75.0
2021,Noirs,Femmes+,74.0
2021,data.Chinese,15 à 24 ans,76.0
2021,data.Chinese,25 à 64 ans,76.0
2021,data.Chinese,65 ans et plus,78.0
2021,data.Chinese,Immigrants,77.0
2021,data.Chinese,Hommes+,77.0
2021,data.Chinese,data.Non-immigrants,72.0
2021,data.Chinese,"Total, 15 ans et plus",76.0
2021,data.Chinese,Femmes+,76.0
2021,data.Filipino,15 à 24 ans,74.0
2021,data.Filipino,25 à 64 ans,78.0
2021,data.Filipino,65 ans et plus,71.0
2021,data.Filipino,Immigrants,76.0
2021,data.Filipino,Hommes+,77.0
2021,data.Filipino,data.Non-immigrants,74.0
2021,data.Filipino,"Total, 15 ans et plus",77.0
2021,data.Filipino,Femmes+,76.0
2021,data.Latin American,15 à 24 ans,74.0
2021,data.Latin American,25 à 64 ans,81.2
2021,data.Latin American,65 ans et plus,65.0
2021,data.Latin American,Immigrants,78.0
2021,data.Latin American,Hommes+,80.0
2021,data.Latin American,data.Non-immigrants,76.0
2021,data.Latin American,"Total, 15 ans et plus",78.0
2021,data.Latin American,Femmes+,77.0
2021,Pas une minorité visible,15 à 24 ans,80.8
2021,Pas une minorité visible,25 à 64 ans,81.6
2021,Pas une minorité visible,65 ans et plus,74.0
2021,Pas une minorité visible,Immigrants,79.0
2021,Pas une minorité visible,Hommes+,82.6
2021,Pas une minorité visible,data.Non-immigrants,80.0
2021,Pas une minorité visible,"Total, 15 ans et plus",80.0
2021,Pas une minorité visible,Femmes+,77.0
2021,data.South Asian,15 à 24 ans,80.0
2021,data.South Asian,25 à 64 ans,80.5
2021,data.South Asian,65 ans et plus,85.5
2021,data.South Asian,Immigrants,83.2
2021,data.South Asian,Hommes+,83.6
2021,data.South Asian,data.Non-immigrants,71.0
2021,data.South Asian,"Total, 15 ans et plus",81.0
2021,data.South Asian,Femmes+,78.0
2021,data.Southeast Asian,15 à 24 ans,57.0
2021,data.Southeast Asian,25 à 64 ans,69.0
2021,data.Southeast Asian,65 ans et plus,78.0
2021,data.Southeast Asian,Immigrants,66.0
2021,data.Southeast Asian,Hommes+,75.0
2021,data.Southeast Asian,data.Non-immigrants,59.0
2021,data.Southeast Asian,"Total, 15 ans et plus",67.0
2021,data.Southeast Asian,Femmes+,63.0
2021,"data.Total, Visible minority",15 à 24 ans,78.0
2021,"data.Total, Visible minority",25 à 64 ans,80.4
2021,"data.Total, Visible minority",65 ans et plus,75.0
2021,"data.Total, Visible minority",Immigrants,78.0
2021,"data.Total, Visible minority",Hommes+,81.5
2021,"data.Total, Visible minority",data.Non-immigrants,79.0
2021,"data.Total, Visible minority","Total, 15 ans et plus",79.0
2021,"data.Total, Visible minority",Femmes+,76.0
2021,Total de la population des minorités visibles,15 à 24 ans,75.0
2021,Total de la population des minorités visibles,25 à 64 ans,78.0
2021,Total de la population des minorités visibles,65 ans et plus,78.0
2021,Total de la population des minorités visibles,Immigrants,78.0
2021,Total de la population des minorités visibles,Hommes+,79.0
2021,Total de la population des minorités visibles,data.Non-immigrants,72.0
2021,Total de la population des minorités visibles,"Total, 15 ans et plus",77.0
2021,Total de la population des minorités visibles,Femmes+,75.0
2014,,15 à 24 ans,88.0
2014,,25 à 64 ans,92.75
2014,,65 ans et plus,91.5
2014,,Hommes,96.0
2019,,Hommes,92.0
2014,,Femmes,88.0
2019,,Femmes,83.0
