Year,Units,Géographie,Type d'infractions reliée à la cybercriminalité,Infraction reliée à la cybercriminalité,Value
2015,Taux par 100 000 personnes,,,,55.6
2016,Taux par 100 000 personnes,,,,73.7
2017,Taux par 100 000 personnes,,,,81.7
2018,Taux par 100 000 personnes,,,,91.9
2019,Taux par 100 000 personnes,,,,129.3
2020,Taux par 100 000 personnes,,,,172.0
2021,Taux par 100 000 personnes,,,,188.2
2022,Taux par 100 000 personnes,,,,191.0
2015,Nombre,,,,17887.0
2016,Nombre,,,,23996.0
2017,Nombre,,,,27829.0
2018,Nombre,,,,33893.0
2019,Nombre,,,,48318.0
2020,Nombre,,,,65141.0
2021,Nombre,,,,71727.0
2022,Nombre,,,,74073.0
2015,Nombre,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,850.0
2015,Nombre,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,97.0
2015,Nombre,Canada,Contre la personne,Extorsion,709.0
2015,Nombre,Canada,Contre la personne,Harcèlement criminel,1001.0
2015,Nombre,Canada,Contre la personne,Communications indécentes ou harcelantes,1202.0
2015,Nombre,Canada,Contre la personne,Menaces,1139.0
2015,Nombre,Canada,Contre la personne,Fraude,8429.0
2015,Nombre,Canada,Contre la personne,Vol d'identité,191.0
2015,Nombre,Canada,Contre la personne,Fraude à l'identité,695.0
2015,Nombre,Canada,Contre la personne,Pornographie juvénile,1753.0
2015,Nombre,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,850.0
2016,Nombre,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,1108.0
2016,Nombre,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,295.0
2016,Nombre,Canada,Contre la personne,Extorsion,797.0
2016,Nombre,Canada,Contre la personne,Harcèlement criminel,1058.0
2016,Nombre,Canada,Contre la personne,Communications indécentes ou harcelantes,1655.0
2016,Nombre,Canada,Contre la personne,Menaces,1356.0
2016,Nombre,Canada,Contre la personne,Fraude,11383.0
2016,Nombre,Canada,Contre la personne,Vol d'identité,260.0
2016,Nombre,Canada,Contre la personne,Fraude à l'identité,828.0
2016,Nombre,Canada,Contre la personne,Pornographie juvénile,1278.0
2016,Nombre,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,2886.0
2017,Nombre,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,1132.0
2017,Nombre,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,516.0
2017,Nombre,Canada,Contre la personne,Extorsion,893.0
2017,Nombre,Canada,Contre la personne,Harcèlement criminel,1291.0
2017,Nombre,Canada,Contre la personne,Communications indécentes ou harcelantes,2302.0
