Year,Géographie,data.Age group,Sexe,Value
,,,,72.4
,,,,70.9
,,,,70.3
,,,,68.6
,,,,67.1
Canada,"Total, 12 ans et plus",Hommes,74.5,
Canada,"Total, 12 ans et plus",Hommes,72.9,
Canada,"Total, 12 ans et plus",Hommes,72.7,
Canada,"Total, 12 ans et plus",Hommes,71.2,
Canada,"Total, 12 ans et plus",Hommes,69.7,
Canada,"Total, 12 ans et plus",Femmes,70.5,
Canada,"Total, 12 ans et plus",Femmes,68.9,
Canada,"Total, 12 ans et plus",Femmes,68.0,
Canada,"Total, 12 ans et plus",Femmes,66.1,
Canada,"Total, 12 ans et plus",Femmes,64.5,
Canada,12 à 17 ans,Les deux sexes,77.9,
Canada,12 à 17 ans,Les deux sexes,77.4,
Canada,12 à 17 ans,Les deux sexes,76.0,
Canada,12 à 17 ans,Les deux sexes,74.1,
Canada,12 à 17 ans,Les deux sexes,73.0,
Canada,12 à 17 ans,Hommes,80.2,
Canada,12 à 17 ans,Hommes,79.1,
Canada,12 à 17 ans,Hommes,79.6,
Canada,12 à 17 ans,Hommes,78.5,
Canada,12 à 17 ans,Hommes,79.0,
Canada,12 à 17 ans,Femmes,75.6,
Canada,12 à 17 ans,Femmes,75.5,
Canada,12 à 17 ans,Femmes,72.2,
Canada,12 à 17 ans,Femmes,69.5,
Canada,12 à 17 ans,Femmes,66.7,
Canada,18 à 34 ans,Les deux sexes,72.5,
Canada,18 à 34 ans,Les deux sexes,69.8,
Canada,18 à 34 ans,Les deux sexes,68.7,
Canada,18 à 34 ans,Les deux sexes,64.0,
Canada,18 à 34 ans,Les deux sexes,60.9,
Canada,18 à 34 ans,Hommes,75.3,
Canada,18 à 34 ans,Hommes,72.3,
Canada,18 à 34 ans,Hommes,73.2,
Canada,18 à 34 ans,Hommes,68.5,
Canada,18 à 34 ans,Hommes,65.5,
Canada,18 à 34 ans,Femmes,69.6,
Canada,18 à 34 ans,Femmes,67.1,
Canada,18 à 34 ans,Femmes,64.2,
Canada,18 à 34 ans,Femmes,59.5,
Canada,18 à 34 ans,Femmes,56.2,
Canada,35 à 49 ans,Les deux sexes,72.4,
Canada,35 à 49 ans,Les deux sexes,71.1,
Canada,35 à 49 ans,Les deux sexes,69.9,
Canada,35 à 49 ans,Les deux sexes,68.5,
Canada,35 à 49 ans,Les deux sexes,66.6,
Canada,35 à 49 ans,Hommes,74.3,
Canada,35 à 49 ans,Hommes,74.5,
Canada,35 à 49 ans,Hommes,71.5,
Canada,35 à 49 ans,Hommes,71.6,
Canada,35 à 49 ans,Hommes,69.3,
Canada,35 à 49 ans,Femmes,70.6,
Canada,35 à 49 ans,Femmes,67.8,
Canada,35 à 49 ans,Femmes,68.2,
Canada,35 à 49 ans,Femmes,65.5,
Canada,35 à 49 ans,Femmes,63.9,
Canada,50 à 64 ans,Les deux sexes,72.0,
Canada,50 à 64 ans,Les deux sexes,70.4,
Canada,50 à 64 ans,Les deux sexes,70.0,
Canada,50 à 64 ans,Les deux sexes,69.4,
Canada,50 à 64 ans,Les deux sexes,69.6,
Canada,50 à 64 ans,Hommes,73.6,
Canada,50 à 64 ans,Hommes,71.4,
Canada,50 à 64 ans,Hommes,71.5,
Canada,50 à 64 ans,Hommes,70.3,
Canada,50 à 64 ans,Hommes,70.8,
Canada,50 à 64 ans,Femmes,70.5,
Canada,50 à 64 ans,Femmes,69.5,
Canada,50 à 64 ans,Femmes,68.5,
Canada,50 à 64 ans,Femmes,68.6,
Canada,50 à 64 ans,Femmes,68.5,
Canada,65 ans et plus,Les deux sexes,70.5,
Canada,65 ans et plus,Les deux sexes,70.3,
Canada,65 ans et plus,Les deux sexes,71.4,
Canada,65 ans et plus,Les deux sexes,72.2,
Canada,65 ans et plus,Les deux sexes,70.8,
Canada,65 ans et plus,Hommes,71.9,
Canada,65 ans et plus,Hommes,71.2,
Canada,65 ans et plus,Hommes,72.3,
Canada,65 ans et plus,Hommes,73.2,
Canada,65 ans et plus,Hommes,71.4,
Canada,65 ans et plus,Femmes,69.4,
Canada,65 ans et plus,Femmes,69.5,
Canada,65 ans et plus,Femmes,70.6,
Canada,65 ans et plus,Femmes,71.3,
Canada,65 ans et plus,Femmes,70.3,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,71.6,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,70.3,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,69.1,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,69.2,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,68.7,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,73.7,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,71.0,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,70.5,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,72.3,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,69.8,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,69.7,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,69.6,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,67.8,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,66.3,
Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,67.7,
Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,83.7,
Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,70.8,
Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,71.4,
Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,78.9,
Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,73.4,
Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,89.1,
Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,80.7,
Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,70.3,
Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,83.4,
Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,72.7,
Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,77.7,
Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,60.9,
Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,72.5,
Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,73.7,
Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,74.1,
Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,66.7,
Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,69.5,
Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,66.3,
Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,67.6,
Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,63.5,
Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,69.4,
Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,78.4,
Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,72.8,
Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,68.4,
Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,60.5,
Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,64.1,
Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,60.4,
Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,59.5,
Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,66.8,
Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,66.5,
Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,72.8,
Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,69.7,
Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,68.3,
Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,70.9,
Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,67.8,
Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,76.9,
Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,65.9,
Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,71.2,
