Year,Géographie,Selected diseases,Âge,Sexe,Value
2017,Canada,Diphtheria,by 2 years of age,All children,75.8
2017,Canada,Pertussis,by 2 years of age,All children,75.8
2017,Canada,Tetanus,by 2 years of age,All children,75.8
2017,Canada,Polio,by 2 years of age,All children,90.7
2017,Canada,Haemophilus influenzae type B,by 2 years of age,All children,73.4
2017,Canada,Measles,by 2 years of age,All children,90.2
2017,Canada,Mumps,by 2 years of age,All children,89.9
2017,Canada,Rubella,by 2 years of age,All children,90.0
2017,Canada,Hepatitis B,by 2 years of age,All children,74.1
2017,Canada,Varicella,by 2 years of age,All children,82.9
2017,Canada,Meningococcal type C,by 2 years of age,All children,87.6
2017,Canada,Pneumococcal,by 2 years of age,All children,81.4
2017,Canada,Rotavirus,by 2 years of age,All children,78.8
2017,Canada,Diphtheria,by 2 years of age,Male,74.1
2017,Canada,Pertussis,by 2 years of age,Male,74.1
2017,Canada,Tetanus,by 2 years of age,Male,74.1
2017,Canada,Polio,by 2 years of age,Male,90.0
2017,Canada,Haemophilus influenzae type B,by 2 years of age,Male,72.1
2017,Canada,Measles,by 2 years of age,Male,88.9
2017,Canada,Mumps,by 2 years of age,Male,88.8
2017,Canada,Rubella,by 2 years of age,Male,88.8
2017,Canada,Hepatitis B,by 2 years of age,Male,72.5
2017,Canada,Varicella,by 2 years of age,Male,82.1
2017,Canada,Meningococcal type C,by 2 years of age,Male,87.1
2017,Canada,Pneumococcal,by 2 years of age,Male,80.1
2017,Canada,Rotavirus,by 2 years of age,Male,78.3
2017,Canada,Diphtheria,by 2 years of age,Female,77.5
2017,Canada,Pertussis,by 2 years of age,Female,77.5
2017,Canada,Tetanus,by 2 years of age,Female,77.5
2017,Canada,Polio,by 2 years of age,Female,91.4
2017,Canada,Haemophilus influenzae type B,by 2 years of age,Female,74.7
2017,Canada,Measles,by 2 years of age,Female,91.6
2017,Canada,Mumps,by 2 years of age,Female,91.1
2017,Canada,Rubella,by 2 years of age,Female,91.1
2017,Canada,Hepatitis B,by 2 years of age,Female,75.8
2017,Canada,Varicella,by 2 years of age,Female,83.8
2017,Canada,Meningococcal type C,by 2 years of age,Female,88.3
2017,Canada,Pneumococcal,by 2 years of age,Female,82.6
2017,Canada,Rotavirus,by 2 years of age,Female,79.3
2017,Canada,Diphtheria,by 7 years of age,All children,80.5
2017,Canada,Pertussis,by 7 years of age,All children,80.5
2017,Canada,Tetanus,by 7 years of age,All children,80.5
2017,Canada,Polio,by 7 years of age,All children,92.3
2017,Canada,Haemophilus influenzae type B,by 7 years of age,All children,83.9
2017,Canada,Measles,by 7 years of age,All children,87.0
2017,Canada,Mumps,by 7 years of age,All children,86.4
2017,Canada,Rubella,by 7 years of age,All children,94.5
2017,Canada,Diphtheria,by 7 years of age,Male,76.4
2017,Canada,Pertussis,by 7 years of age,Male,76.4
2017,Canada,Tetanus,by 7 years of age,Male,76.4
2017,Canada,Polio,by 7 years of age,Male,91.7
2017,Canada,Haemophilus influenzae type B,by 7 years of age,Male,83.8
2017,Canada,Measles,by 7 years of age,Male,86.5
2017,Canada,Mumps,by 7 years of age,Male,86.5
2017,Canada,Rubella,by 7 years of age,Male,93.8
2017,Canada,Diphtheria,by 7 years of age,Female,85.5
2017,Canada,Pertussis,by 7 years of age,Female,85.5
2017,Canada,Tetanus,by 7 years of age,Female,85.5
2017,Canada,Polio,by 7 years of age,Female,93.0
2017,Canada,Haemophilus influenzae type B,by 7 years of age,Female,84.1
2017,Canada,Measles,by 7 years of age,Female,87.9
2017,Canada,Mumps,by 7 years of age,Female,86.7
2017,Canada,Rubella,by 7 years of age,Female,95.8
2017,Canada,Hepatitis B,by 14 years of age,All children,83.1
2017,Canada,Human Papillomavirus,by 14 years of age,All children,
2017,Canada,Diphtheria - Tetanus - acellular Pertussis booster,by 17 years of age,All children,89.3
2017,Canada,Hepatitis B,by 14 years of age,Male,82.1
2017,Canada,Human Papillomavirus,by 14 years of age,Male,
2017,Canada,Diphtheria - Tetanus - acellular Pertussis booster,by 17 years of age,Male,87.9
2017,Canada,Hepatitis B,by 14 years of age,Female,84.1
2017,Canada,Human Papillomavirus,by 14 years of age,Female,83.0
2017,Canada,Diphtheria - Tetanus - acellular Pertussis booster,by 17 years of age,Female,90.7
2017,Terre-Neuve-et-Labrador,Diphtheria - Pertussis and tetanus,by 2 years of age,All children,88.9
2017,Terre-Neuve-et-Labrador,Polio,by 2 years of age,All children,96.9
2017,Terre-Neuve-et-Labrador,Haemophilus influenzae type B,by 2 years of age,All children,87.7
2017,Terre-Neuve-et-Labrador,Measles,by 2 years of age,All children,96.9
2017,Terre-Neuve-et-Labrador,Mumps,by 2 years of age,All children,96.9
2017,Terre-Neuve-et-Labrador,Rubella,by 2 years of age,All children,96.9
2017,Île-du-Prince-Édouard,Diphtheria - Pertussis and tetanus,by 2 years of age,All children,81.2
2017,Île-du-Prince-Édouard,Polio,by 2 years of age,All children,93.9
2017,Île-du-Prince-Édouard,Haemophilus influenzae type B,by 2 years of age,All children,79.8
2017,Île-du-Prince-Édouard,Measles,by 2 years of age,All children,93.2
2017,Île-du-Prince-Édouard,Mumps,by 2 years of age,All children,92.6
2017,Île-du-Prince-Édouard,Rubella,by 2 years of age,All children,92.6
2017,Nouvelle-Écosse,Diphtheria - Pertussis and tetanus,by 2 years of age,All children,73.8
2017,Nouvelle-Écosse,Polio,by 2 years of age,All children,93.5
2017,Nouvelle-Écosse,Haemophilus influenzae type B,by 2 years of age,All children,68.5
2017,Nouvelle-Écosse,Measles,by 2 years of age,All children,87.1
2017,Nouvelle-Écosse,Mumps,by 2 years of age,All children,86.8
2017,Nouvelle-Écosse,Rubella,by 2 years of age,All children,86.8
2017,Nouveau-Brunswick,Diphtheria - Pertussis and tetanus,by 2 years of age,All children,75.5
2017,Nouveau-Brunswick,Polio,by 2 years of age,All children,90.1
2017,Nouveau-Brunswick,Haemophilus influenzae type B,by 2 years of age,All children,74.7
2017,Nouveau-Brunswick,Measles,by 2 years of age,All children,92.0
2017,Nouveau-Brunswick,Mumps,by 2 years of age,All children,92.0
2017,Nouveau-Brunswick,Rubella,by 2 years of age,All children,92.0
2017,Québec,Diphtheria - Pertussis and tetanus,by 2 years of age,All children,73.7
2017,Québec,Polio,by 2 years of age,All children,90.9
2017,Québec,Haemophilus influenzae type B,by 2 years of age,All children,71.3
2017,Québec,Measles,by 2 years of age,All children,91.0
2017,Québec,Mumps,by 2 years of age,All children,90.5
2017,Québec,Rubella,by 2 years of age,All children,90.5
2017,Ontario,Diphtheria - Pertussis and tetanus,by 2 years of age,All children,75.7
2017,Ontario,Polio,by 2 years of age,All children,91.0
2017,Ontario,Haemophilus influenzae type B,by 2 years of age,All children,72.9
2017,Ontario,Measles,by 2 years of age,All children,90.9
2017,Ontario,Mumps,by 2 years of age,All children,90.5
2017,Ontario,Rubella,by 2 years of age,All children,90.5
2017,Manitoba,Diphtheria - Pertussis and tetanus,by 2 years of age,All children,67.5
2017,Manitoba,Polio,by 2 years of age,All children,85.6
2017,Manitoba,Haemophilus influenzae type B,by 2 years of age,All children,62.2
2017,Manitoba,Measles,by 2 years of age,All children,86.1
2017,Manitoba,Mumps,by 2 years of age,All children,85.9
2017,Manitoba,Rubella,by 2 years of age,All children,86.2
2017,Saskatchewan,Diphtheria - Pertussis and tetanus,by 2 years of age,All children,78.6
2017,Saskatchewan,Polio,by 2 years of age,All children,90.0
2017,Saskatchewan,Haemophilus influenzae type B,by 2 years of age,All children,75.1
2017,Saskatchewan,Measles,by 2 years of age,All children,89.5
2017,Saskatchewan,Mumps,by 2 years of age,All children,89.5
2017,Saskatchewan,Rubella,by 2 years of age,All children,89.5
2017,Alberta,Diphtheria - Pertussis and tetanus,by 2 years of age,All children,79.9
2017,Alberta,Polio,by 2 years of age,All children,93.0
2017,Alberta,Haemophilus influenzae type B,by 2 years of age,All children,79.0
2017,Alberta,Measles,by 2 years of age,All children,91.7
2017,Alberta,Mumps,by 2 years of age,All children,91.4
2017,Alberta,Rubella,by 2 years of age,All children,91.4
2017,Colombie-Britannique,Diphtheria - Pertussis and tetanus,by 2 years of age,All children,76.6
2017,Colombie-Britannique,Polio,by 2 years of age,All children,87.5
2017,Colombie-Britannique,Haemophilus influenzae type B,by 2 years of age,All children,74.4
2017,Colombie-Britannique,Measles,by 2 years of age,All children,86.1
2017,Colombie-Britannique,Mumps,by 2 years of age,All children,86.1
2017,Colombie-Britannique,Rubella,by 2 years of age,All children,86.1
2017,Yukon,Diphtheria - Pertussis and tetanus,by 2 years of age,All children,70.7
2017,Yukon,Polio,by 2 years of age,All children,93.7
