Year,data.Disease,Value
2010,data.Creutzfeldt-Jakob,38
2011,data.Creutzfeldt-Jakob,51
2012,data.Creutzfeldt-Jakob,63
2013,data.Creutzfeldt-Jakob,51
2014,data.Creutzfeldt-Jakob,56
2015,data.Creutzfeldt-Jakob,52
2016,data.Creutzfeldt-Jakob,64
2017,data.Creutzfeldt-Jakob,87
2018,data.Creutzfeldt-Jakob,81
2019,data.Creutzfeldt-Jakob,78
2020,data.Creutzfeldt-Jakob,54
2021,data.Creutzfeldt-Jakob,2
2010,data.HIV and AIDS,52020
2011,data.HIV and AIDS,53140
2012,data.HIV and AIDS,54100
2013,data.HIV and AIDS,55040
2014,data.HIV and AIDS,56030
2015,data.HIV and AIDS,57080
2016,data.HIV and AIDS,58290
2017,data.HIV and AIDS,60160
2018,data.HIV and AIDS,62050
