Year,Géographie,Sexe,Groupe d'âge,Selected demographic characteristics,Value
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",79.3
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,78.5
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Immigrants,80.9
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,89.1
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,82.2
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Not a visible minority,78.5
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Total identité autochtone,61.6
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",First Nations (North American Indian),56.8
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",data.M�tis,70.3
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),40.2
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Identité non autochtone,80.1
2016,Canada,Les deux sexes,15 to 24 years,"Total, toutes les personnes",65.2
2016,Canada,Les deux sexes,15 to 24 years,Non-immigrants,63.7
2016,Canada,Les deux sexes,15 to 24 years,Immigrants,69.0
2016,Canada,Les deux sexes,15 to 24 years,Résidents non permanents,84.5
2016,Canada,Les deux sexes,15 to 24 years,Total de la population des minorités visibles,69.5
2016,Canada,Les deux sexes,15 to 24 years,Not a visible minority,63.6
2016,Canada,Les deux sexes,15 to 24 years,Total identité autochtone,47.0
2016,Canada,Les deux sexes,15 to 24 years,First Nations (North American Indian),42.4
2016,Canada,Les deux sexes,15 to 24 years,data.M�tis,56.8
2016,Canada,Les deux sexes,15 to 24 years,Inuk (Inuit),30.2
2016,Canada,Les deux sexes,15 to 24 years,Identité non autochtone,66.5
2016,Canada,Les deux sexes,25 à 64 ans,"Total, toutes les personnes",86.3
2016,Canada,Les deux sexes,25 à 64 ans,Non-immigrants,85.8
2016,Canada,Les deux sexes,25 à 64 ans,Immigrants,87.4
2016,Canada,Les deux sexes,25 à 64 ans,Résidents non permanents,92.4
2016,Canada,Les deux sexes,25 à 64 ans,Total de la population des minorités visibles,88.3
2016,Canada,Les deux sexes,25 à 64 ans,Not a visible minority,85.7
2016,Canada,Les deux sexes,25 à 64 ans,Total identité autochtone,68.8
2016,Canada,Les deux sexes,25 à 64 ans,First Nations (North American Indian),64.0
2016,Canada,Les deux sexes,25 à 64 ans,data.M�tis,77.4
2016,Canada,Les deux sexes,25 à 64 ans,Inuk (Inuit),45.4
2016,Canada,Les deux sexes,25 à 64 ans,Identité non autochtone,87.1
2016,Canada,Les deux sexes,65 à 74 ans,"Total, toutes les personnes",73.1
2016,Canada,Les deux sexes,65 à 74 ans,Non-immigrants,72.9
2016,Canada,Les deux sexes,65 à 74 ans,Immigrants,73.9
2016,Canada,Les deux sexes,65 à 74 ans,Résidents non permanents,65.9
2016,Canada,Les deux sexes,65 à 74 ans,Total de la population des minorités visibles,72.6
2016,Canada,Les deux sexes,65 à 74 ans,Not a visible minority,73.2
