Year,Series,Units,Secteur,Value
2013,Annual growth rate of water use,Pourcentage,,4.9
2015,Annual growth rate of water use,Pourcentage,,-3.5
2017,Annual growth rate of water use,Pourcentage,,1.2
2019,Annual growth rate of water use,Pourcentage,,-0.8
2021,Annual growth rate of water use,Pourcentage,,0.2
2013,Annual growth rate of water use,Pourcentage,Ménages,-10.9
2015,Annual growth rate of water use,Pourcentage,Ménages,0.3
2017,Annual growth rate of water use,Pourcentage,Ménages,-4.9
2019,Annual growth rate of water use,Pourcentage,Ménages,1.3
2021,Annual growth rate of water use,Pourcentage,Ménages,5.7
2013,Annual growth rate of water use,Pourcentage,Industries,6.6
2015,Annual growth rate of water use,Pourcentage,Industries,-3.8
2017,Annual growth rate of water use,Pourcentage,Industries,1.8
2019,Annual growth rate of water use,Pourcentage,Industries,-1.0
2021,Annual growth rate of water use,Pourcentage,Industries,-0.3
2013,Annual growth rate of water use per capita,Pourcentage,,-12.8
2015,Annual growth rate of water use per capita,Pourcentage,,-1.5
2017,Annual growth rate of water use per capita,Pourcentage,,-7.1
2019,Annual growth rate of water use per capita,Pourcentage,,-1.6
2021,Annual growth rate of water use per capita,Pourcentage,,4.0
2013,Total water use,Mètres cubes,,37197793.0
2015,Total water use,Mètres cubes,,35913582.0
2017,Total water use,Mètres cubes,,36334509.0
2019,Total water use,Mètres cubes,,36047231.0
2021,Total water use,Mètres cubes,,36127599.0
2013,Total water use,Mètres cubes,Ménages,3122546.0
2015,Total water use,Mètres cubes,Ménages,3130439.0
2017,Total water use,Mètres cubes,Ménages,2975593.0
2019,Total water use,Mètres cubes,Ménages,3014417.0
2021,Total water use,Mètres cubes,Ménages,3185653.0
2013,Total water use,Mètres cubes,Industries,34075247.0
2015,Total water use,Mètres cubes,Industries,32783143.0
2017,Total water use,Mètres cubes,Industries,33358916.0
2019,Total water use,Mètres cubes,Industries,33032814.0
2021,Total water use,Mètres cubes,Industries,32941946.0
