Year,Units,Géographie,Catégorie d'utilisation des sols,Qualité de l'eau,Value
2016-2018,Percentage,Canada,Agriculture,Excellente,0
2016-2018,Percentage,Canada,Agriculture,Bonne,6
2016-2018,Percentage,Canada,Agriculture,Satisfaisante,9
2016-2018,Percentage,Canada,Agriculture,Douteuse,2
2016-2018,Percentage,Canada,Agriculture,Mauvaise,1
2016-2018,Percentage,Canada,Foresterie,Excellente,1
2016-2018,Percentage,Canada,Foresterie,Bonne,6
2016-2018,Percentage,Canada,Foresterie,Satisfaisante,2
2016-2018,Percentage,Canada,Foresterie,Douteuse,1
2016-2018,Percentage,Canada,Foresterie,Mauvaise,0
2016-2018,Percentage,Canada,Exploitation minière,Excellente,0
2016-2018,Percentage,Canada,Exploitation minière,Bonne,2
2016-2018,Percentage,Canada,Exploitation minière,Satisfaisante,2
2016-2018,Percentage,Canada,Exploitation minière,Douteuse,1
2016-2018,Percentage,Canada,Exploitation minière,Mauvaise,0
2016-2018,Percentage,Canada,Peuplé,Excellente,0
2016-2018,Percentage,Canada,Peuplé,Bonne,0
2016-2018,Percentage,Canada,Peuplé,Satisfaisante,1
2016-2018,Percentage,Canada,Peuplé,Douteuse,2
2016-2018,Percentage,Canada,Peuplé,Mauvaise,0
2016-2018,Percentage,Canada,Pressions mixtes,Excellente,2
2016-2018,Percentage,Canada,Pressions mixtes,Bonne,13
2016-2018,Percentage,Canada,Pressions mixtes,Satisfaisante,23
2016-2018,Percentage,Canada,Pressions mixtes,Douteuse,11
2016-2018,Percentage,Canada,Pressions mixtes,Mauvaise,2
2016-2018,Percentage,Canada,Non aménagés,Excellente,3
2016-2018,Percentage,Canada,Non aménagés,Bonne,7
2016-2018,Percentage,Canada,Non aménagés,Satisfaisante,3
2016-2018,Percentage,Canada,Non aménagés,Douteuse,0
2016-2018,Percentage,Canada,Non aménagés,Mauvaise,0
2016-2018,Percentage,Canada,Total,Excellente,5
2016-2018,Percentage,Canada,Total,Bonne,35
2016-2018,Percentage,Canada,Total,Satisfaisante,40
2016-2018,Percentage,Canada,Total,Douteuse,17
2016-2018,Percentage,Canada,Total,Mauvaise,2
2016-2018,Number,Canada,Agriculture,Excellente,0
2016-2018,Number,Canada,Agriculture,Bonne,11
2016-2018,Number,Canada,Agriculture,Satisfaisante,15
2016-2018,Number,Canada,Agriculture,Douteuse,4
2016-2018,Number,Canada,Agriculture,Mauvaise,1
2016-2018,Number,Canada,Foresterie,Excellente,1
2016-2018,Number,Canada,Foresterie,Bonne,11
2016-2018,Number,Canada,Foresterie,Satisfaisante,4
2016-2018,Number,Canada,Foresterie,Douteuse,1
2016-2018,Number,Canada,Foresterie,Mauvaise,0
2016-2018,Number,Canada,Exploitation minière,Excellente,0
2016-2018,Number,Canada,Exploitation minière,Bonne,4
2016-2018,Number,Canada,Exploitation minière,Satisfaisante,4
2016-2018,Number,Canada,Exploitation minière,Douteuse,2
2016-2018,Number,Canada,Exploitation minière,Mauvaise,0
2016-2018,Number,Canada,Peuplé,Excellente,0
2016-2018,Number,Canada,Peuplé,Bonne,0
2016-2018,Number,Canada,Peuplé,Satisfaisante,1
2016-2018,Number,Canada,Peuplé,Douteuse,3
2016-2018,Number,Canada,Peuplé,Mauvaise,0
2016-2018,Number,Canada,Pressions mixtes,Excellente,3
2016-2018,Number,Canada,Pressions mixtes,Bonne,22
2016-2018,Number,Canada,Pressions mixtes,Satisfaisante,40
2016-2018,Number,Canada,Pressions mixtes,Douteuse,20
2016-2018,Number,Canada,Pressions mixtes,Mauvaise,3
2016-2018,Number,Canada,Non aménagés,Excellente,5
2016-2018,Number,Canada,Non aménagés,Bonne,13
2016-2018,Number,Canada,Non aménagés,Satisfaisante,6
2016-2018,Number,Canada,Non aménagés,Douteuse,0
2016-2018,Number,Canada,Non aménagés,Mauvaise,0
2016-2018,Number,Canada,Total,Excellente,9
2016-2018,Number,Canada,Total,Bonne,61
2016-2018,Number,Canada,Total,Satisfaisante,70
2016-2018,Number,Canada,Total,Douteuse,30
2016-2018,Number,Canada,Total,Mauvaise,4
2016-2018,Percentage,Océan Atlantique,Total,Excellente,4
2016-2018,Percentage,Océan Atlantique,Total,Bonne,53
2016-2018,Percentage,Océan Atlantique,Total,Satisfaisante,29
2016-2018,Percentage,Océan Atlantique,Total,Douteuse,13
2016-2018,Percentage,Océan Atlantique,Total,Mauvaise,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Total,Excellente,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Total,Bonne,29
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Total,Satisfaisante,45
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Total,Douteuse,22
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Total,Mauvaise,3
2016-2018,Percentage,Baie d'Hudson,Total,Excellente,11
2016-2018,Percentage,Baie d'Hudson,Total,Bonne,31
2016-2018,Percentage,Baie d'Hudson,Total,Satisfaisante,40
2016-2018,Percentage,Baie d'Hudson,Total,Douteuse,16
2016-2018,Percentage,Baie d'Hudson,Total,Mauvaise,2
2016-2018,Percentage,Fleuve Mackenzie,Total,Excellente,15
2016-2018,Percentage,Fleuve Mackenzie,Total,Bonne,35
2016-2018,Percentage,Fleuve Mackenzie,Total,Satisfaisante,50
2016-2018,Percentage,Fleuve Mackenzie,Total,Douteuse,0
2016-2018,Percentage,Fleuve Mackenzie,Total,Mauvaise,0
2016-2018,Percentage,Océan Pacifique,Total,Excellente,8
2016-2018,Percentage,Océan Pacifique,Total,Bonne,28
2016-2018,Percentage,Océan Pacifique,Total,Satisfaisante,40
2016-2018,Percentage,Océan Pacifique,Total,Douteuse,20
2016-2018,Percentage,Océan Pacifique,Total,Mauvaise,4
2016-2018,Number,Océan Atlantique,Total,Excellente,2
2016-2018,Number,Océan Atlantique,Total,Bonne,24
2016-2018,Number,Océan Atlantique,Total,Satisfaisante,13
2016-2018,Number,Océan Atlantique,Total,Douteuse,6
2016-2018,Number,Océan Atlantique,Total,Mauvaise,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Total,Excellente,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Total,Bonne,17
2016-2018,Number,data.Great Lakes and St. Lawrence River,Total,Satisfaisante,26
2016-2018,Number,data.Great Lakes and St. Lawrence River,Total,Douteuse,13
2016-2018,Number,data.Great Lakes and St. Lawrence River,Total,Mauvaise,2
2016-2018,Number,Baie d'Hudson,Total,Excellente,5
2016-2018,Number,Baie d'Hudson,Total,Bonne,14
2016-2018,Number,Baie d'Hudson,Total,Satisfaisante,18
2016-2018,Number,Baie d'Hudson,Total,Douteuse,7
2016-2018,Number,Baie d'Hudson,Total,Mauvaise,1
2016-2018,Number,Fleuve Mackenzie,Total,Excellente,3
2016-2018,Number,Fleuve Mackenzie,Total,Bonne,7
2016-2018,Number,Fleuve Mackenzie,Total,Satisfaisante,10
2016-2018,Number,Fleuve Mackenzie,Total,Douteuse,0
2016-2018,Number,Fleuve Mackenzie,Total,Mauvaise,0
2016-2018,Number,Océan Pacifique,Total,Excellente,2
2016-2018,Number,Océan Pacifique,Total,Bonne,7
2016-2018,Number,Océan Pacifique,Total,Satisfaisante,10
2016-2018,Number,Océan Pacifique,Total,Douteuse,5
2016-2018,Number,Océan Pacifique,Total,Mauvaise,1
2016-2018,Percentage,Océan Atlantique,Agriculture,Excellente,0
2016-2018,Percentage,Océan Atlantique,Agriculture,Bonne,7
2016-2018,Percentage,Océan Atlantique,Agriculture,Satisfaisante,2
2016-2018,Percentage,Océan Atlantique,Agriculture,Douteuse,0
2016-2018,Percentage,Océan Atlantique,Agriculture,Mauvaise,0
