Year,Géographie,Sexe,Groupe d'âge,GeoCode,Value
2015,,,,,30.53
2016,,,,,29.55
2017,,,,,28.88
2018,,,,,28.93
2019,,,,,27.38
2020,,,,,26.69
2021,,,,,27.19
2022,,,,,24.85
2015,Alberta,Total,Total,48,21.74
2016,Alberta,Total,Total,48,21.88
2017,Alberta,Total,Total,48,21.11
2018,Alberta,Total,Total,48,21.01
2019,Alberta,Total,Total,48,20.03
2020,Alberta,Total,Total,48,21.26
2021,Alberta,Total,Total,48,23.38
2022,Alberta,Total,Total,48,23.33
2015,Colombie-Britannique,Total,Total,59,28.46
2016,Colombie-Britannique,Total,Total,59,28.09
2017,Colombie-Britannique,Total,Total,59,27.27
2018,Colombie-Britannique,Total,Total,59,28.08
2019,Colombie-Britannique,Total,Total,59,24.92
2020,Colombie-Britannique,Total,Total,59,24.3
2021,Colombie-Britannique,Total,Total,59,23.57
2022,Colombie-Britannique,Total,Total,59,20.97
2015,Canada,Total,data.15-24,,73.3
2015,Canada,Total,data.25-54,,21.38
2015,Canada,Total,data.55+,,26.56
2015,Canada,Homme,Total,,25.41
2015,Canada,Homme,data.15-24,,68.81
2015,Canada,Homme,data.25-54,,16.4
2015,Canada,Homme,data.55+,,20.77
2015,Canada,Femme,Total,,35.79
2015,Canada,Femme,data.15-24,,77.81
2015,Canada,Femme,data.25-54,,26.48
2015,Canada,Femme,data.55+,,32.67
2016,Canada,Total,data.15-24,,72.82
2016,Canada,Total,data.25-54,,20.52
2016,Canada,Total,data.55+,,25.27
2016,Canada,Homme,Total,,25.05
2016,Canada,Homme,data.15-24,,68.59
2016,Canada,Homme,data.25-54,,16.04
2016,Canada,Homme,data.55+,,20.81
2016,Canada,Femme,Total,,34.12
2016,Canada,Femme,data.15-24,,77.04
2016,Canada,Femme,data.25-54,,25.05
2016,Canada,Femme,data.55+,,29.94
2017,Canada,Total,data.15-24,,72.41
2017,Canada,Total,data.25-54,,19.73
2017,Canada,Total,data.55+,,24.32
2017,Canada,Homme,Total,,24.22
2017,Canada,Homme,data.15-24,,67.96
2017,Canada,Homme,data.25-54,,15.27
2017,Canada,Homme,data.55+,,18.76
2017,Canada,Femme,Total,,33.66
2017,Canada,Femme,data.15-24,,76.97
2017,Canada,Femme,data.25-54,,24.27
2017,Canada,Femme,data.55+,,30.18
2018,Canada,Total,data.15-24,,70.37
2018,Canada,Total,data.25-54,,20.18
2018,Canada,Total,data.55+,,24.83
2018,Canada,Homme,Total,,24.28
2018,Canada,Homme,data.15-24,,65.66
2018,Canada,Homme,data.25-54,,15.81
2018,Canada,Homme,data.55+,,19.12
2018,Canada,Femme,Total,,33.72
2018,Canada,Femme,data.15-24,,75.26
2018,Canada,Femme,data.25-54,,24.65
2018,Canada,Femme,data.55+,,30.8
2019,Canada,Total,data.15-24,,68.56
2019,Canada,Total,data.25-54,,18.4
2019,Canada,Total,data.55+,,24.15
2019,Canada,Homme,Total,,22.92
2019,Canada,Homme,data.15-24,,63.96
2019,Canada,Homme,data.25-54,,14.19
2019,Canada,Homme,data.55+,,19.09
2019,Canada,Femme,Total,,31.97
2019,Canada,Femme,data.15-24,,73.24
2019,Canada,Femme,data.25-54,,22.68
2019,Canada,Femme,data.55+,,29.6
2020,Canada,Total,data.15-24,,70.81
2020,Canada,Total,data.25-54,,18.12
2020,Canada,Total,data.55+,,24.05
2020,Canada,Homme,Total,,22.84
2020,Canada,Homme,data.15-24,,67.15
2020,Canada,Homme,data.25-54,,14.55
2020,Canada,Homme,data.55+,,19.04
2020,Canada,Femme,Total,,30.73
2020,Canada,Femme,data.15-24,,74.64
2020,Canada,Femme,data.25-54,,21.83
2020,Canada,Femme,data.55+,,29.51
2021,Canada,Total,data.15-24,,71.35
2021,Canada,Total,data.25-54,,18.08
2021,Canada,Total,data.55+,,24.39
2021,Canada,Homme,Total,,23.56
2021,Canada,Homme,data.15-24,,68.29
2021,Canada,Homme,data.25-54,,14.69
2021,Canada,Homme,data.55+,,19.54
2021,Canada,Femme,Total,,30.95
2021,Canada,Femme,data.15-24,,74.5
2021,Canada,Femme,data.25-54,,21.55
2021,Canada,Femme,data.55+,,29.7
2022,Canada,Total,data.15-24,,66.95
2022,Canada,Total,data.25-54,,15.91
2022,Canada,Total,data.55+,,22.52
2022,Canada,Homme,Total,,20.68
2022,Canada,Homme,data.15-24,,63.32
2022,Canada,Homme,data.25-54,,12.04
2022,Canada,Homme,data.55+,,17.41
2022,Canada,Femme,Total,,29.15
2022,Canada,Femme,data.15-24,,70.59
2022,Canada,Femme,data.25-54,,19.88
2022,Canada,Femme,data.55+,,27.98
2015,Manitoba,Total,Total,46,34.01
2016,Manitoba,Total,Total,46,32.4
2017,Manitoba,Total,Total,46,32.19
2018,Manitoba,Total,Total,46,34.22
2019,Manitoba,Total,Total,46,33.79
2020,Manitoba,Total,Total,46,34.37
2021,Manitoba,Total,Total,46,35.63
2022,Manitoba,Total,Total,46,33.97
2015,Nouveau-Brunswick,Total,Total,13,40.61
2016,Nouveau-Brunswick,Total,Total,13,38.56
2017,Nouveau-Brunswick,Total,Total,13,38.21
2018,Nouveau-Brunswick,Total,Total,13,39.1
2019,Nouveau-Brunswick,Total,Total,13,38.28
2020,Nouveau-Brunswick,Total,Total,13,40.05
2021,Nouveau-Brunswick,Total,Total,13,38.51
2022,Nouveau-Brunswick,Total,Total,13,35.16
2015,Terre-Neuve-et-Labrador,Total,Total,10,36.33
