Year,Géographie,GeoCode,Value
2015,,,"55,750"
2016,,,"56,094"
2017,,,"58,575"
2018,,,"60,196"
2019,,,"61,466"
2015,Terre-Neuve-et-Labrador,10,"59,004"
2016,Terre-Neuve-et-Labrador,10,"59,534"
2017,Terre-Neuve-et-Labrador,10,"63,777"
2018,Terre-Neuve-et-Labrador,10,"64,619"
2019,Terre-Neuve-et-Labrador,10,"67,527"
2015,Île-du-Prince-Édouard,11,"42,118"
2016,Île-du-Prince-Édouard,11,"43,383"
2017,Île-du-Prince-Édouard,11,"45,146"
2018,Île-du-Prince-Édouard,11,"45,849"
2019,Île-du-Prince-Édouard,11,"47,837"
2015,Nouvelle-Écosse,12,"43,460"
2016,Nouvelle-Écosse,12,"44,123"
2017,Nouvelle-Écosse,12,"45,589"
2018,Nouvelle-Écosse,12,"46,825"
2019,Nouvelle-Écosse,12,"48,039"
2015,Nouveau-Brunswick,13,"44,084"
2016,Nouveau-Brunswick,13,"44,973"
2017,Nouveau-Brunswick,13,"46,735"
2018,Nouveau-Brunswick,13,"48,169"
2019,Nouveau-Brunswick,13,"49,218"
2015,Québec,24,"47,419"
2016,Québec,24,"48,532"
2017,Québec,24,"50,430"
2018,Québec,24,"52,535"
2019,Québec,24,"54,149"
2015,Ontario,35,"55,477"
2016,Ontario,35,"56,989"
2017,Ontario,35,"58,633"
2018,Ontario,35,"60,039"
2019,Ontario,35,"61,315"
2015,Manitoba,46,"51,031"
2016,Manitoba,46,"51,211"
2017,Manitoba,46,"53,405"
2018,Manitoba,46,"54,025"
2019,Manitoba,46,"53,897"
2015,Saskatchewan,47,"71,081"
2016,Saskatchewan,47,"66,633"
2017,Saskatchewan,47,"69,769"
2018,Saskatchewan,47,"71,311"
2019,Saskatchewan,47,"70,730"
2015,Alberta,48,"78,189"
2016,Alberta,48,"72,519"
2017,Alberta,48,"78,342"
2018,Alberta,48,"79,963"
2019,Alberta,48,"80,905"
2015,Colombie-Britannique,59,"52,505"
2016,Colombie-Britannique,59,"54,311"
2017,Colombie-Britannique,59,"57,265"
2018,Colombie-Britannique,59,"59,103"
2019,Colombie-Britannique,59,"60,707"
2015,Yukon,60,"69,939"
2016,Yukon,60,"72,353"
2017,Yukon,60,"72,676"
2018,Yukon,60,"75,247"
2019,Yukon,60,"76,114"
2015,Territoires du Nord-Ouest,61,"106,721"
2016,Territoires du Nord-Ouest,61,"99,666"
2017,Territoires du Nord-Ouest,61,"103,072"
2018,Territoires du Nord-Ouest,61,"105,333"
2019,Territoires du Nord-Ouest,61,"100,871"
2015,Nunavut,62,"66,351"
2016,Nunavut,62,"69,831"
2017,Nunavut,62,"80,728"
2018,Nunavut,62,"87,906"
2019,Nunavut,62,"95,535"
