Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2010,,,,108
2011,,,,120
2012,,,,148
2013,,,,218
2014,,,,328
2015,,,,570
2016,,,,724
2017,,,,1190
2018,,,,1547
2019,,,,3400
2020,,,,3919
2021,,,,4812
2022,,,,6805
2023,,,,9423
2024,,,,11781
2025,,,,13963
2026,,,,15181
2010,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,26
2010,Alberta,Propane,48,26
2011,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,27
2011,Alberta,Propane,48,27
2012,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,32
2012,Alberta,Électrique,48,2
2012,Alberta,Propane,48,30
2013,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,39
2013,Alberta,Électrique,48,8
2013,Alberta,Propane,48,31
2014,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,44
2014,Alberta,Électrique,48,13
2015,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,63
2015,Alberta,Électrique,48,31
2015,Alberta,Propane,48,32
2016,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,73
2016,Alberta,Électrique,48,40
2016,Alberta,Propane,48,33
2017,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,119
2017,Alberta,Gaz naturel comprimé,48,1
2017,Alberta,Électrique,48,50
2017,Alberta,Propane,48,68
2018,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,198
2018,Alberta,Gaz naturel comprimé,48,10
2018,Alberta,Électrique,48,55
2018,Alberta,Propane,48,133
2019,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,223
2019,Alberta,Électrique,48,79
2019,Alberta,Propane,48,134
2020,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,236
2020,Alberta,Gaz naturel comprimé,48,11
2020,Alberta,Électrique,48,88
2020,Alberta,Propane,48,137
2021,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,280
2021,Alberta,Électrique,48,129
2021,Alberta,Propane,48,140
2022,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,428
2022,Alberta,Électrique,48,277
2023,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,627
2023,Alberta,Gaz naturel comprimé,48,12
2023,Alberta,Électrique,48,474
2023,Alberta,Propane,48,141
2024,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,788
2024,Alberta,Électrique,48,632
2024,Alberta,Propane,48,144
2025,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,946
2025,Alberta,Gaz naturel comprimé,48,14
2025,Alberta,Électrique,48,787
2025,Alberta,Propane,48,145
2026,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,1025
2026,Alberta,Gaz naturel comprimé,48,15
2026,Alberta,Électrique,48,865
2010,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,35
2010,Colombie-Britannique,Biodiesel,59,1
2010,Colombie-Britannique,Propane,59,34
2011,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,40
2011,Colombie-Britannique,Électrique,59,5
2012,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,45
2012,Colombie-Britannique,Électrique,59,9
2012,Colombie-Britannique,Propane,59,35
2013,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,58
2013,Colombie-Britannique,Électrique,59,22
2014,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,77
2014,Colombie-Britannique,Électrique,59,41
2015,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,139
2015,Colombie-Britannique,Gaz naturel comprimé,59,2
2015,Colombie-Britannique,Électrique,59,100
2015,Colombie-Britannique,Propane,59,36
2016,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,154
2016,Colombie-Britannique,Électrique,59,114
2016,Colombie-Britannique,Propane,59,37
2017,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,222
2017,Colombie-Britannique,Gaz naturel comprimé,59,4
2017,Colombie-Britannique,Électrique,59,149
2017,Colombie-Britannique,Propane,59,68
2018,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,299
2018,Colombie-Britannique,Électrique,59,193
2018,Colombie-Britannique,Propane,59,101
2019,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,458
2019,Colombie-Britannique,Électrique,59,348
2019,Colombie-Britannique,Hydrogène,59,1
2019,Colombie-Britannique,Propane,59,104
2020,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,526
2020,Colombie-Britannique,Électrique,59,413
2020,Colombie-Britannique,Hydrogène,59,2
2020,Colombie-Britannique,Propane,59,106
2021,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,678
2021,Colombie-Britannique,Gaz naturel comprimé,59,5
2021,Colombie-Britannique,Électrique,59,562
2021,Colombie-Britannique,Hydrogène,59,3
2021,Colombie-Britannique,Propane,59,107
2022,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,1075
2022,Colombie-Britannique,Électrique,59,956
2022,Colombie-Britannique,Propane,59,110
2023,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,1518
2023,Colombie-Britannique,Gaz naturel comprimé,59,7
2023,Colombie-Britannique,Électrique,59,1395
2023,Colombie-Britannique,Éthanol,59,1
2023,Colombie-Britannique,Hydrogène,59,4
2024,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,1952
2024,Colombie-Britannique,Électrique,59,1824
2024,Colombie-Britannique,Propane,59,115
2025,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,2335
2025,Colombie-Britannique,Gaz naturel comprimé,59,9
2025,Colombie-Britannique,Électrique,59,2200
2025,Colombie-Britannique,Hydrogène,59,5
2025,Colombie-Britannique,Propane,59,119
2026,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,2556
2026,Colombie-Britannique,Électrique,59,2421
2010,Canada,Biodiesel,,1
2010,Canada,Électrique,,4
2010,Canada,Propane,,103
2011,Canada,Électrique,,15
2011,Canada,Propane,,104
2012,Canada,Électrique,,39
2012,Canada,Propane,,108
2013,Canada,Gaz naturel comprimé,,2
2013,Canada,Électrique,,103
2013,Canada,Propane,,112
2014,Canada,Gaz naturel comprimé,,3
2014,Canada,Électrique,,209
2014,Canada,Propane,,115
2015,Canada,Gaz naturel comprimé,,7
2015,Canada,Électrique,,434
2015,Canada,Propane,,128
2016,Canada,Électrique,,583
2016,Canada,Hydrogène,,1
2016,Canada,Propane,,132
2017,Canada,Gaz naturel comprimé,,13
2017,Canada,Électrique,,809
2017,Canada,Propane,,366
2018,Canada,Gaz naturel comprimé,,26
2018,Canada,Électrique,,938
2018,Canada,Hydrogène,,2
2018,Canada,Propane,,580
2019,Canada,Gaz naturel comprimé,,29
2019,Canada,Électrique,,2767
2019,Canada,Hydrogène,,3
2019,Canada,Propane,,600
2020,Canada,Gaz naturel comprimé,,30
2020,Canada,Électrique,,3271
2020,Canada,Hydrogène,,4
2020,Canada,Propane,,613
2021,Canada,Gaz naturel comprimé,,32
2021,Canada,Électrique,,4153
2021,Canada,Hydrogène,,5
2021,Canada,Propane,,621
2022,Canada,Gaz naturel comprimé,,33
2022,Canada,Électrique,,6124
2022,Canada,Propane,,642
2023,Canada,Gaz naturel comprimé,,37
2023,Canada,Électrique,,8729
2023,Canada,Éthanol,,1
2023,Canada,Hydrogène,,6
2023,Canada,Propane,,649
2024,Canada,Électrique,,11054
2024,Canada,Hydrogène,,7
2024,Canada,Propane,,681
2025,Canada,Gaz naturel comprimé,,42
2025,Canada,Électrique,,13222
2025,Canada,Hydrogène,,8
2025,Canada,Propane,,689
2026,Canada,Gaz naturel comprimé,,44
2026,Canada,Électrique,,14422
2026,Canada,Propane,,705
2010,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,3
2010,Manitoba,Électrique,46,1
2013,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,7
2013,Manitoba,Électrique,46,5
2014,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,8
2014,Manitoba,Électrique,46,6
2015,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,11
2015,Manitoba,Électrique,46,9
2016,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,12
2016,Manitoba,Électrique,46,10
2017,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,21
2017,Manitoba,Électrique,46,15
2017,Manitoba,Propane,46,6
2018,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,64
2018,Manitoba,Propane,46,49
2019,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,76
2019,Manitoba,Électrique,46,26
2019,Manitoba,Propane,46,50
2021,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,89
2021,Manitoba,Électrique,46,39
2022,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,144
2022,Manitoba,Électrique,46,94
2023,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,222
2023,Manitoba,Électrique,46,172
2024,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,299
2024,Manitoba,Électrique,46,246
2024,Manitoba,Propane,46,53
2025,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,346
2025,Manitoba,Électrique,46,293
2026,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,378
2026,Manitoba,Gaz naturel comprimé,46,1
2026,Manitoba,Électrique,46,324
2011,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,1
2011,Nouveau-Brunswick,Électrique,13,1
2012,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,4
2012,Nouveau-Brunswick,Électrique,13,4
2013,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,8
2013,Nouveau-Brunswick,Électrique,13,8
2014,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,11
2014,Nouveau-Brunswick,Électrique,13,11
2015,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,14
2015,Nouveau-Brunswick,Électrique,13,14
2016,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,17
2016,Nouveau-Brunswick,Électrique,13,17
2017,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,36
2017,Nouveau-Brunswick,Électrique,13,36
2018,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,42
2018,Nouveau-Brunswick,Électrique,13,41
2018,Nouveau-Brunswick,Propane,13,1
2019,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,58
2019,Nouveau-Brunswick,Électrique,13,57
2020,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,72
2020,Nouveau-Brunswick,Électrique,13,70
2020,Nouveau-Brunswick,Propane,13,2
2021,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,93
2021,Nouveau-Brunswick,Électrique,13,91
2022,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,126
2022,Nouveau-Brunswick,Électrique,13,122
2022,Nouveau-Brunswick,Propane,13,4
2023,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,189
