Year,Series,Units,Value
2016,Number of shelter users experiencing chronic homelessness,Number,26866.0
2017,Number of shelter users experiencing chronic homelessness,Number,28900.0
2018,Number of shelter users experiencing chronic homelessness,Number,27289.0
2019,Number of shelter users experiencing chronic homelessness,Number,29927.0
2020,Number of shelter users experiencing chronic homelessness,Number,28004.0
2021,Number of shelter users experiencing chronic homelessness,Number,28631.0
2022,Number of shelter users experiencing chronic homelessness,Number,31476.0
2017,Percentage change in the number of shelter users experiencing chronic homelessness from the 2016 baseline,Percentage,7.570907467
2018,Percentage change in the number of shelter users experiencing chronic homelessness from the 2016 baseline,Percentage,1.574480756
2019,Percentage change in the number of shelter users experiencing chronic homelessness from the 2016 baseline,Percentage,11.39358297
2020,Percentage change in the number of shelter users experiencing chronic homelessness from the 2016 baseline,Percentage,4.235837118
2021,Percentage change in the number of shelter users experiencing chronic homelessness from the 2016 baseline,Percentage,6.569641927
2022,Percentage change in the number of shelter users experiencing chronic homelessness from the 2016 baseline,Percentage,17.15923472
