Year,data.Geography,GeoCode,Value
2015,,,0.314
2016,,,0.306
2017,,,0.309
2018,,,0.304
2019,,,0.299
2020,,,0.281
2021,,,0.289
2022,,,0.302
2023,,,0.301
2024,,,0.305
2015,data.Newfoundland and Labrador,10,0.314
2015,data.Prince Edward Island,11,0.282
2015,data.Nova Scotia,12,0.297
2015,data.New Brunswick,13,0.273
2015,data.Quebec,24,0.284
2015,data.Ontario,35,0.317
2015,data.Manitoba,46,0.3
2015,data.Saskatchewan,47,0.302
2015,data.Alberta,48,0.322
2015,data.British Columbia,59,0.314
2016,data.Newfoundland and Labrador,10,0.302
2016,data.Prince Edward Island,11,0.278
2016,data.Nova Scotia,12,0.297
2016,data.New Brunswick,13,0.279
2016,data.Quebec,24,0.283
2016,data.Ontario,35,0.318
2016,data.Manitoba,46,0.289
2016,data.Saskatchewan,47,0.289
2016,data.Alberta,48,0.296
2016,data.British Columbia,59,0.298
2017,data.Newfoundland and Labrador,10,0.309
2017,data.Prince Edward Island,11,0.287
2017,data.Nova Scotia,12,0.295
2017,data.New Brunswick,13,0.278
2017,data.Quebec,24,0.287
2017,data.Ontario,35,0.321
2017,data.Manitoba,46,0.304
2017,data.Saskatchewan,47,0.302
2017,data.Alberta,48,0.294
2017,data.British Columbia,59,0.303
2018,data.Newfoundland and Labrador,10,0.3
2018,data.Prince Edward Island,11,0.282
2018,data.Nova Scotia,12,0.288
2018,data.New Brunswick,13,0.283
2018,data.Quebec,24,0.283
2018,data.Ontario,35,0.312
2018,data.Manitoba,46,0.289
2018,data.Saskatchewan,47,0.29
2018,data.Alberta,48,0.299
2018,data.British Columbia,59,0.303
2019,data.Newfoundland and Labrador,10,0.303
2019,data.Prince Edward Island,11,0.262
2019,data.Nova Scotia,12,0.278
2019,data.New Brunswick,13,0.27
2019,data.Quebec,24,0.282
2019,data.Ontario,35,0.303
2019,data.Manitoba,46,0.29
2019,data.Saskatchewan,47,0.293
2019,data.Alberta,48,0.296
2019,data.British Columbia,59,0.305
2020,data.Newfoundland and Labrador,10,0.272
2020,data.Prince Edward Island,11,0.255
2020,data.Nova Scotia,12,0.262
2020,data.New Brunswick,13,0.264
2020,data.Quebec,24,0.261
2020,data.Ontario,35,0.29
2020,data.Manitoba,46,0.269
2020,data.Saskatchewan,47,0.267
2020,data.Alberta,48,0.278
2020,data.British Columbia,59,0.28
2021,data.Newfoundland and Labrador,10,0.283
2021,data.Prince Edward Island,11,0.253
2021,data.Nova Scotia,12,0.267
2021,data.New Brunswick,13,0.265
2021,data.Quebec,24,0.265
2021,data.Ontario,35,0.295
2021,data.Manitoba,46,0.278
2021,data.Saskatchewan,47,0.274
2021,data.Alberta,48,0.299
2021,data.British Columbia,59,0.292
2022,data.Newfoundland and Labrador,10,0.286
2022,data.Prince Edward Island,11,0.251
2022,data.Nova Scotia,12,0.283
2022,data.New Brunswick,13,0.274
2022,data.Quebec,24,0.272
2022,data.Ontario,35,0.313
2022,data.Manitoba,46,0.279
2022,data.Saskatchewan,47,0.289
2022,data.Alberta,48,0.308
2022,data.British Columbia,59,0.308
2023,data.Newfoundland and Labrador,10,0.294
2023,data.Prince Edward Island,11,0.261
2023,data.Nova Scotia,12,0.277
2023,data.New Brunswick,13,0.275
2023,data.Quebec,24,0.273
2023,data.Ontario,35,0.311
2023,data.Manitoba,46,0.28
2023,data.Saskatchewan,47,0.29
2023,data.Alberta,48,0.302
2023,data.British Columbia,59,0.311
2024,data.Newfoundland and Labrador,10,0.288
2024,data.Prince Edward Island,11,0.268
2024,data.Nova Scotia,12,0.277
2024,data.New Brunswick,13,0.275
2024,data.Quebec,24,0.276
2024,data.Ontario,35,0.318
2024,data.Manitoba,46,0.285
2024,data.Saskatchewan,47,0.297
2024,data.Alberta,48,0.308
2024,data.British Columbia,59,0.31
